"Word","Length","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy"
"Aaron","5","9.29","4","2","1","736.06","0.97","686.11","1.00"
"abandon","7","8.23","7","3","1","695.72","0.97","623.96","1.00"
"ability","7","10.95","7","4","2","619.68","0.97","583.04","1.00"
"able","4","12.08","3","2","1","623.30","1.00","628.21","1.00"
"abnormal","8","7.70","7","3","3","684.91","1.00","673.38","1.00"
"abolish","7","7.38","6","3","1","703.22","0.97","654.76","1.00"
"abolished","9","7.28","7","3","2","664.63","0.97","659.32","1.00"
"abort","5","7.93","5","2","1","672.48","0.97","583.70","1.00"
"abortion","8","9.73","6","3","2","686.45","0.97","660.69","1.00"
"above","5","12.09","4","2","1","564.33","0.94","561.39","1.00"
"abroad","6","8.70","5","2","1","654.69","0.97","621.70","1.00"
"abruptly","8","7.11","8","3","2","701.21","0.97","637.79","1.00"
"absence","7","8.90","5","2","2","687.00","0.97","666.15","1.00"
"absent","6","8.01","5","2","2","665.32","1.00","607.88","1.00"
"absolute","8","9.73","7","3","1","707.03","1.00","578.29","1.00"
"absorbed","8","7.99","7","2","3","735.41","0.97","661.16","1.00"
"absorbing","9","6.84","8","3","3","747.06","0.97","644.52","1.00"
"abstract","8","9.06","8","2","2","667.91","0.97","622.59","1.00"
"abundance","9","7.51","8","3","2","698.73","0.97","629.82","1.00"
"abundant","8","7.23","8","3","2","660.75","0.97","618.93","0.96"
"abuse","5","10.16","5","2","1","608.69","0.97","581.20","1.00"
"abused","6","8.71","6","2","2","620.94","0.97","631.96","1.00"
"abuses","6","8.11","7","3","2","632.58","0.97","561.20","1.00"
"accent","6","8.56","6","2","1","674.97","1.00","691.79","1.00"
"accents","7","7.49","7","2","2","641.22","0.94","655.59","1.00"
"accept","6","10.81","6","2","2","556.39","0.97","628.08","1.00"
"accepted","8","10.43","8","3","3","597.79","0.94","630.00","1.00"
"accepting","9","8.94","8","3","3","630.55","1.00","687.63","0.96"
"accepts","7","8.43","7","2","3","735.67","0.94","682.07","1.00"
"access","6","12.06","5","2","2","677.79","0.97","627.54","1.00"
"accessible","10","9.28","8","4","3","709.22","1.00","689.75","1.00"
"accident","8","9.32","7","3","2","621.78","0.97","610.48","1.00"
"accompany","9","7.67","8","4","3","725.84","0.91","664.96","1.00"
"accord","6","8.17","5","2","2","683.71","0.97","602.00","1.00"
"according","9","11.08","7","3","3","707.18","1.00","627.19","1.00"
"accords","7","6.88","6","2","3","680.44","1.00","644.30","1.00"
"account","7","11.02","5","2","1","619.38","1.00","605.89","0.97"
"accounted","9","7.31","7","3","2","664.83","1.00","636.37","1.00"
"accounting","10","9.66","7","3","2","632.09","1.00","681.73","1.00"
"accounts","8","9.80","6","2","2","644.92","1.00","633.19","0.96"
"achieve","7","9.65","4","2","1","702.82","0.97","651.17","1.00"
"achieved","8","9.02","5","2","2","700.09","0.97","657.04","1.00"
"accurate","8","9.98","7","3","2","728.24","1.00","669.56","1.00"
"accusing","8","7.74","7","3","2","743.55","1.00","640.52","0.96"
"aces","4","7.52","4","2","2","768.94","0.91","673.92","1.00"
"achieving","9","8.06","6","3","2","657.17","0.94","680.16","1.00"
"acid","4","9.52","4","2","1","615.69","0.97","590.85","1.00"
"acids","5","7.75","5","2","2","636.75","0.91","628.59","1.00"
"acquire","7","8.78","5","2","2","673.94","0.94","639.44","0.96"
"acquired","8","8.76","6","2","3","710.00","0.97","590.46","1.00"
"acquiring","9","7.58","7","3","3","731.74","0.91","678.86","1.00"
"act","3","11.19","3","1","1","635.18","1.00","626.69","1.00"
"acres","5","8.28","4","2","2","679.03","0.97","661.93","1.00"
"acrobat","7","7.80","7","3","1","755.88","0.97","661.29","1.00"
"across","6","11.04","5","2","1","589.47","1.00","590.75","1.00"
"acting","6","9.68","5","2","2","584.81","0.97","591.96","1.00"
"action","6","11.26","4","2","2","564.13","1.00","571.50","1.00"
"actions","7","10.30","5","2","3","643.75","1.00","642.88","1.00"
"activate","8","8.16","7","3","3","657.35","0.97","688.25","1.00"
"actively","8","8.87","7","3","3","703.78","0.94","672.43","1.00"
"activist","8","8.17","8","3","3","697.69","1.00","605.59","1.00"
"activity","8","10.18","8","4","3","714.84","1.00","633.08","1.00"
"actor","5","9.26","4","2","2","539.97","0.97","555.71","1.00"
"actors","6","8.89","5","2","3","647.87","0.94","607.70","1.00"
"actress","7","8.52","6","2","2","687.53","1.00","611.85","0.96"
"acts","4","9.87","4","1","2","590.34","1.00","600.22","0.96"
"actually","8","12.19","7","3","3","647.27","1.00","612.33","1.00"
"zoom","4","8.50","3","1","1","549.76","1.00","639.86","1.00"
"wonder","6","10.86","5","2","1","590.88","0.97","591.64","1.00"
"wondered","8","9.12","6","2","2","639.88","1.00","594.26","0.96"
"wonderful","9","10.37","7","3","2","625.77","1.00","609.61","1.00"
"wonders","7","8.51","6","2","2","612.03","0.97","629.59","1.00"
"wood","4","10.09","3","1","1","595.42","0.94","580.07","1.00"
"woodland","8","6.83","7","2","2","745.41","0.97","658.63","1.00"
"woods","5","9.14","4","1","2","573.88","0.97","563.89","1.00"
"woody","5","8.03","4","2","2","652.06","1.00","553.71","1.00"
"wool","4","7.63","3","1","1","657.94","0.97","606.81","1.00"
"word","4","11.84","3","1","1","620.22","0.97","571.15","1.00"
"wording","7","8.12","5","2","2","660.06","0.97","614.30","1.00"
"words","5","11.51","4","1","2","598.45","1.00","551.69","1.00"
"workable","8","7.43","6","3","2","712.77","0.97","578.41","1.00"
"workbench","9","7.94","7","2","2","738.27","1.00","599.12","1.00"
"worked","6","11.00","4","1","2","708.65","0.97","594.18","1.00"
"worker","6","8.86","4","2","2","588.14","1.00","589.39","1.00"
"workers","7","9.84","5","2","3","628.09","1.00","570.61","1.00"
"workings","8","7.30","6","2","3","598.22","0.97","560.79","1.00"
"workout","7","7.86","5","2","2","583.60","1.00","589.63","1.00"
"works","5","11.84","4","1","2","672.25","0.97","591.25","1.00"
"workshop","8","9.64","6","2","2","681.31","0.97","586.85","0.96"
"workshops","9","8.59","7","2","3","722.66","1.00","595.54","1.00"
"world","5","12.60","4","1","1","570.82","1.00","558.82","1.00"
"worlds","6","9.32","5","1","2","680.45","0.97","593.35","1.00"
"worms","5","8.58","4","1","2","630.11","1.00","569.43","1.00"
"worried","7","9.30","5","2","2","597.38","1.00","550.89","1.00"
"worries","7","7.82","5","2","2","613.09","0.97","591.54","1.00"
"worry","5","10.21","4","2","1","569.70","0.94","564.21","1.00"
"worrying","8","8.04","6","3","2","630.13","0.97","621.82","1.00"
"worse","5","10.46","3","1","1","653.18","1.00","585.89","1.00"
"worshipped","10","6.87","6","2","2","760.84","0.97","674.81","1.00"
"worst","5","10.08","4","1","1","701.67","0.97","580.46","1.00"
"worth","5","11.31","3","1","1","599.00","0.97","560.93","1.00"
"worthless","9","8.62","6","2","2","703.53","1.00","594.15","1.00"
"worthy","6","8.78","4","2","2","669.31","1.00","610.68","1.00"
"wouldn't","8","11.38","5","2","2","751.09","0.97","592.11","1.00"
"wounded","7","8.26","6","2","2","635.58","0.94","637.68","1.00"
"wounds","6","7.92","5","1","2","629.12","1.00","621.77","1.00"
"woven","5","6.78","4","2","2","712.30","0.94","621.76","1.00"
"wrangler","8","6.67","6","2","2","631.28","0.94","628.64","1.00"
"wrap","4","8.70","3","1","1","555.79","1.00","572.40","1.00"
"wrapper","7","7.47","4","2","2","738.00","0.97","591.96","1.00"
"wrappers","8","6.70","5","2","3","677.67","0.94","624.93","1.00"
"wrapping","8","7.43","5","2","2","682.82","1.00","625.70","1.00"
"wraps","5","7.47","4","1","2","610.63","1.00","568.19","1.00"
"wrath","5","8.64","3","1","1","705.66","0.94","572.59","1.00"
"wreck","5","7.68","3","1","1","625.13","0.94","620.11","1.00"
"wrecked","7","6.69","4","1","2","700.47","1.00","631.32","1.00"
"wrench","6","7.24","4","1","1","637.44","0.97","645.46","1.00"
"wrestle","7","6.86","4","2","1","731.34","1.00","608.63","1.00"
"wrestler","8","7.04","5","2","2","717.42","0.94","618.41","0.96"
"wrestling","9","8.58","6","2","2","630.19","0.97","613.39","1.00"
"wrist","5","8.38","4","1","1","616.42","0.91","582.89","1.00"
"wrists","6","7.72","5","1","2","699.52","0.94","636.85","1.00"
"write","5","11.80","3","1","1","608.00","1.00","597.93","1.00"
"writer","6","10.04","4","2","2","661.59","1.00","606.81","1.00"
"writers","7","9.88","5","2","3","674.06","0.97","649.15","1.00"
"writer's","8","7.60","5","2","3","697.32","0.94","678.15","1.00"
"writing","7","11.20","5","2","2","695.12","0.97","625.37","1.00"
"writings","8","8.68","6","2","3","746.63","0.94","639.54","1.00"
"written","7","11.55","4","2","2","578.63","1.00","627.35","1.00"
"wrongly","7","7.25","5","2","2","669.82","0.97","594.52","1.00"
"wrongs","6","7.17","4","1","2","614.59","0.94","577.75","1.00"
"yahoo","5","7.50","4","2","1","659.19","0.97","594.26","0.96"
"Yale","4","8.33","3","1","1","602.38","0.97","580.64","1.00"
"yank","4","7.35","4","1","1","758.77","0.94","595.12","1.00"
"Yankee","6","7.44","5","2","2","567.52","0.97","604.27","1.00"
"Yankees","7","7.16","6","2","3","693.00","0.94","616.07","1.00"
"yard","4","8.91","4","1","1","623.47","1.00","559.19","1.00"
"yards","5","8.64","5","1","2","654.91","0.97","609.58","1.00"
"yarn","4","8.05","4","1","1","642.13","0.94","602.07","1.00"
"yawn","4","7.20","3","1","1","701.26","0.94","575.66","1.00"
"yeah","4","10.82","3","1","1","672.70","0.97","583.69","1.00"
"yearbook","8","6.78","6","2","2","606.88","1.00","624.71","1.00"
"yearly","6","7.95","5","2","2","664.91","1.00","647.41","1.00"
"yeast","5","8.84","4","1","1","628.09","0.97","621.58","1.00"
"yelled","6","7.65","4","1","2","663.78","0.97","625.11","1.00"
"yelling","7","7.98","5","2","2","636.00","1.00","609.11","1.00"
"yellow","6","9.87","4","2","1","618.91","0.94","560.82","1.00"
"yes","3","12.19","3","1","1","596.82","1.00","584.74","1.00"
"yesterday","9","9.97","7","3","2","696.00","1.00","597.07","1.00"
"yet","3","11.98","3","1","1","600.35","1.00","595.07","1.00"
"yielded","7","6.82","6","2","2","672.21","0.97","644.79","1.00"
"yields","6","7.90","5","1","2","705.39","0.91","648.79","1.00"
"yoga","4","7.59","4","2","1","691.67","0.94","604.63","1.00"
"yogurt","6","7.15","5","2","1","761.52","0.94","573.85","1.00"
"you'll","6","11.39","3","1","2","705.53","0.94","642.18","1.00"
"young","5","11.11","3","1","1","700.34","0.91","556.92","1.00"
"younger","7","9.28","5","2","2","626.13","0.97","604.33","1.00"
"youngest","8","7.34","7","2","2","703.90","0.91","608.26","1.00"
"youngsters","10","6.95","7","2","3","729.06","1.00","647.58","1.00"
"you're","6","12.33","3","1","2","679.09","1.00","633.88","1.00"
"yours","5","10.39","4","1","1","719.25","0.97","560.50","1.00"
"yourself","8","11.34","7","2","2","671.75","1.00","600.69","1.00"
"youthful","8","6.72","5","2","2","745.67","0.97","645.46","1.00"
"youths","6","6.77","4","1","2","731.97","0.94","630.96","1.00"
"you've","6","11.14","3","1","2","725.90","0.91","633.22","1.00"
"zap","3","8.13","3","1","1","675.81","0.97","559.54","1.00"
"zebra","5","6.82","5","2","1","626.68","1.00","643.00","1.00"
"zero","4","9.97","4","2","1","561.76","0.97","588.96","1.00"
"zeros","5","6.80","5","2","2","625.09","1.00","648.30","1.00"
"zip","3","9.72","3","1","1","586.94","0.94","624.88","1.00"
"zipped","6","7.30","4","1","2","668.29","0.94","641.41","1.00"
"zipper","6","7.13","4","2","2","716.52","1.00","629.64","1.00"
"zodiac","6","7.00","6","3","1","714.06","0.94","673.56","1.00"
"zombie","6","8.40","5","2","1","706.28","0.94","653.85","1.00"
"zombies","7","7.86","6","2","2","737.56","1.00","645.26","1.00"
"zone","4","9.76","3","1","1","577.73","1.00","615.36","1.00"
"zones","5","8.13","4","1","2","605.23","1.00","590.08","1.00"
"where's","7","8.39","5","1","2","700.29","1.00","597.07","1.00"
"while","5","12.56","4","1","1","608.50","1.00","613.65","1.00"
"whine","5","8.23","4","1","1","684.48","0.91","587.71","1.00"
"whining","7","8.57","6","2","2","754.58","0.94","626.04","1.00"
"whipped","7","7.65","5","1","2","644.18","1.00","599.82","1.00"
"whipping","8","7.38","6","2","2","625.31","0.97","595.79","1.00"
"whips","5","7.04","5","1","2","593.94","1.00","571.72","1.00"
"whirling","8","7.93","6","2","2","655.65","1.00","630.79","1.00"
"whiskey","7","7.22","6","2","1","622.59","1.00","601.22","1.00"
