Word,Length,Freq_HAL,Log_Freq_HAL,NPhon,NSyll,NMorph,I_Mean_RT,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
zero,4,21278,9.97,4,2,1,561.76,0.97,588.96,1
zeros,5,898,6.8,5,2,2,625.09,1,648.3,1
zest,4,288,5.66,4,1,1,658.82,0.94,637.78,1
zinc,4,1773,7.48,4,1,1,624.03,0.91,665.11,0.96
zip,3,16636,9.72,3,1,1,586.94,0.94,624.88,1
zipped,6,1485,7.3,4,1,2,668.29,0.94,641.41,1
zipper,6,1245,7.13,4,2,2,716.52,1,629.64,1
zippy,5,550,6.31,4,2,2,674.66,0.88,661.82,1
zodiac,6,1098,7,6,3,1,714.06,0.94,673.56,1
zombie,6,4439,8.4,5,2,1,706.28,0.94,653.85,1
zombies,7,2588,7.86,6,2,2,737.56,1,645.26,1
zone,4,17300,9.76,3,1,1,577.73,1,615.36,1
zoned,5,186,5.23,4,1,2,736.3,0.91,656.63,1
zones,5,3388,8.13,4,1,2,605.23,1,590.08,1
zoology,7,707,6.56,7,4,3,685.28,0.97,687.12,0.96
zoom,4,4920,8.5,3,1,1,549.76,1,639.86,1
zooming,7,523,6.26,5,2,2,709.69,0.88,672.37,1
zooms,5,385,5.95,4,1,2,666.93,0.94,613.83,1
wobble,6,552,6.31,4,2,1,748.4,0.88,592.67,0.96
woke,4,3223,8.08,3,1,1,704.9,0.88,592,1
wolf,4,21576,9.98,4,1,1,581.5,0.94,564.86,1
wolves,6,10871,9.29,5,1,2,640.16,0.94,592.36,1
woman,5,66489,11.1,5,2,1,545.7,1,580.93,1
woman's,7,5524,8.62,6,2,2,587.97,1,578,1
women,5,111268,11.62,5,2,1,653.88,1,577.89,1
women's,7,12088,9.4,6,2,2,632.32,0.94,636.78,1
wonder,6,51799,10.86,5,2,1,590.88,0.97,591.64,1
wondered,8,9133,9.12,6,2,2,639.88,1,594.26,0.96
wonderful,9,31958,10.37,7,3,2,625.77,1,609.61,1
wondering,9,41742,10.64,7,3,2,740.37,0.91,615.04,1
wonders,7,4983,8.51,6,2,2,612.03,0.97,629.59,1
won't,5,112554,11.63,4,1,2,629.13,0.91,635.07,1
wood,4,24035,10.09,3,1,1,595.42,0.94,580.07,1
wooden,6,8164,9.01,4,2,2,703.73,0.91,616.67,1
woodland,8,926,6.83,7,2,2,745.41,0.97,658.63,1
woodpecker,10,368,5.91,7,3,3,696.37,1,638.64,1
woods,5,9313,9.14,4,1,2,573.88,0.97,563.89,1
woodwork,8,464,6.14,6,2,2,761.91,1,660.92,1
woody,5,3061,8.03,4,2,2,652.06,1,553.71,1
wool,4,2066,7.63,3,1,1,657.94,0.97,606.81,1
word,4,138155,11.84,3,1,1,620.22,0.97,571.15,1
worded,6,1046,6.95,5,2,2,671.66,0.91,604.82,1
wording,7,3360,8.12,5,2,2,660.06,0.97,614.3,1
words,5,99249,11.51,4,1,2,598.45,1,551.69,1
wordy,5,267,5.59,4,2,2,696.13,0.97,622.39,1
workable,8,1678,7.43,6,3,2,712.77,0.97,578.41,1
workbench,9,2804,7.94,7,2,2,738.27,1,599.12,1
workbook,8,558,6.32,6,2,2,711.79,1,681.04,0.96
worked,6,59752,11,4,1,2,708.65,0.97,594.18,1
worker,6,7057,8.86,4,2,2,588.14,1,589.39,1
workers,7,18819,9.84,5,2,3,628.09,1,570.61,1
worker's,8,484,6.18,5,2,3,648.16,1,609.46,1
workhorse,9,220,5.39,7,2,2,662.66,0.94,560.36,0.97
working,7,134669,11.81,5,2,2,531.82,1,585.89,1
workings,8,1486,7.3,6,2,3,598.22,0.97,560.79,1
workman,7,568,6.34,6,2,2,637.07,0.91,598.96,1
workout,7,2588,7.86,5,2,2,583.6,1,589.63,1
workouts,8,683,6.53,6,2,3,695.5,0.97,631.67,0.96
works,5,139173,11.84,4,1,2,672.25,0.97,591.25,1
worksheet,9,421,6.04,6,2,2,727.09,1,572.22,1
workshop,8,15377,9.64,6,2,2,681.31,0.97,586.85,0.96
workshops,9,5362,8.59,7,2,3,722.66,1,595.54,1
worlds,6,11180,9.32,5,1,2,680.45,0.97,593.35,1
world's,7,12764,9.45,5,1,2,667.71,1,604.38,0.96
worldwide,9,18597,9.83,7,2,2,646.75,0.94,611.58,0.96
worms,5,5342,8.58,4,1,2,630.11,1,569.43,1
worn,4,8275,9.02,4,1,2,575.67,1,600.04,0.96
worried,7,10980,9.3,5,2,2,597.38,1,550.89,1
worries,7,2478,7.82,5,2,2,613.09,0.97,591.54,1
worry,5,27060,10.21,4,2,1,569.7,0.94,564.21,1
worrying,8,3092,8.04,6,3,2,630.13,0.97,621.82,1
worse,5,34812,10.46,3,1,1,653.18,1,585.89,1
worship,7,9668,9.18,5,2,1,610.56,0.9,592.46,1
worshiping,10,508,6.23,7,3,2,704.53,0.91,647.32,1
worshipped,10,959,6.87,6,2,2,760.84,0.97,674.81,1
worst,5,23946,10.08,4,1,1,701.67,0.97,580.46,1
worth,5,81429,11.31,3,1,1,599,0.97,560.93,1
worthless,9,5546,8.62,6,2,2,703.53,1,594.15,1
worthy,6,6530,8.78,4,2,2,669.31,1,610.68,1
wouldn't,8,87980,11.38,5,2,2,751.09,0.97,592.11,1
wounded,7,3852,8.26,6,2,2,635.58,0.94,637.68,1
wounds,6,2743,7.92,5,1,2,629.12,1,621.77,1
woven,5,884,6.78,4,2,2,712.3,0.94,621.76,1
wrangler,8,788,6.67,6,2,2,631.28,0.94,628.64,1
wrap,4,5973,8.7,3,1,1,555.79,1,572.4,1
wrapper,7,1761,7.47,4,2,2,738,0.97,591.96,1
wrappers,8,814,6.7,5,2,3,677.67,0.94,624.93,1
wrapping,8,1681,7.43,5,2,2,682.82,1,625.7,1
wraps,5,1747,7.47,4,1,2,610.63,1,568.19,1
wrath,5,5643,8.64,3,1,1,705.66,0.94,572.59,1
wreck,5,2161,7.68,3,1,1,625.13,0.94,620.11,1
wreckage,8,452,6.11,5,2,2,788.82,0.94,661.65,0.96
wrecked,7,802,6.69,4,1,2,700.47,1,631.32,1
wrecking,8,406,6.01,5,2,2,743.82,1,648.85,0.96
wrench,6,1389,7.24,4,1,1,637.44,0.97,645.46,1
wrenches,8,341,5.83,6,2,2,764.63,0.97,658.76,0.96
wrenching,9,240,5.48,6,2,2,715.13,0.94,693,0.96
wrestle,7,952,6.86,4,2,1,731.34,1,608.63,1
wrestler,8,1141,7.04,5,2,2,717.42,0.94,618.41,0.96
wrestling,9,5323,8.58,6,2,2,630.19,0.97,613.39,1
wrinkle,7,385,5.95,5,2,1,652.47,1,614.08,1
wrinkled,8,560,6.33,6,2,2,662.13,0.97,691.22,1
wrinkles,8,586,6.37,6,2,2,642.59,1,608.36,1
wrist,5,4355,8.38,4,1,1,616.42,0.91,582.89,1
wrists,6,2255,7.72,5,1,2,699.52,0.94,636.85,1
write,5,132648,11.8,3,1,1,608,1,597.93,1
writer,6,22933,10.04,4,2,2,661.59,1,606.81,1
writers,7,19496,9.88,5,2,3,674.06,0.97,649.15,1
writer's,8,2003,7.6,5,2,3,697.32,0.94,678.15,1
writing,7,73085,11.2,5,2,2,695.12,0.97,625.37,1
writings,8,5891,8.68,6,2,3,746.63,0.94,639.54,1
written,7,103440,11.55,4,2,2,578.63,1,627.35,1
wronged,7,346,5.85,4,1,2,670.93,0.9,678.56,1
wrongful,8,560,6.33,5,2,2,644.23,1,641.81,0.96
wrongly,7,1415,7.25,5,2,2,669.82,0.97,594.52,1
wrongs,6,1294,7.17,4,1,2,614.59,0.94,577.75,1
Wyoming,7,1981,7.59,6,3,1,779.76,1,631.85,1
yahoo,5,1800,7.5,4,2,1,659.19,0.97,594.26,0.96
Yale,4,4146,8.33,3,1,1,602.38,0.97,580.64,1
yank,4,1559,7.35,4,1,1,758.77,0.94,595.12,1
Yankee,6,1704,7.44,5,2,2,567.52,0.97,604.27,1
Yankees,7,1288,7.16,6,2,3,693,0.94,616.07,1
yanking,7,376,5.93,6,2,2,789.62,0.85,658.67,1
yanks,5,1020,6.93,5,1,2,715.62,0.91,576.52,1
yard,4,7418,8.91,4,1,1,623.47,1,559.19,1
yards,5,5654,8.64,5,1,2,654.91,0.97,609.58,1
yarn,4,3131,8.05,4,1,1,642.13,0.94,602.07,1
yarns,5,328,5.79,5,1,2,665.45,0.89,576.88,0.96
yawn,4,1333,7.2,3,1,1,701.26,0.94,575.66,1
yawning,7,333,5.81,5,2,2,743.87,0.94,620.86,1
yeah,4,50018,10.82,3,1,1,672.7,0.97,583.69,1
yearbook,8,880,6.78,6,2,2,606.88,1,624.71,1
yearly,6,2845,7.95,5,2,2,664.91,1,647.41,1
yearn,5,348,5.85,3,1,1,739.91,0.94,597.93,0.96
yearning,8,567,6.34,5,2,2,753.24,0.97,701.86,1
year's,6,8255,9.02,4,1,2,652,1,615.85,0.96
yeast,5,6894,8.84,4,1,1,628.09,0.97,621.58,1
