Occurrences,Word,Length,Freq_KF,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,OLD,OLDF,PLD,PLDF,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,Assoc_Freq_R1,Assoc_Types_R1,Assoc_Freq_R123,Assoc_Types_R123,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy
1,shred,5,3,"1,446",7.277,2.94,2.179,1.54,2.114,3,9,9,0,0,4.9,7.93,7.93,#,#,0,#,3,4.9,1.49,1.65,7.576,1.5,8.437,4.38,0.292,0,1.726,9.28,2.565,4.53,3.7,5.32,8,6,41,22,"19,505","4,876.25","2,543","Sr""Ed",4,1,{shred},"{Sr""Ed}",1,NN|VB,620.781,-0.361,158.17,28,0.94,650.25,-0.403,163.144,#,1
1,mother,6,216,"42,113",10.648,479.92,4.389,66.24,3.745,3,4,4,0,0,5.2,5.095,5.095,#,#,0,#,3,5.2,2.04,1.8,7.578,1.7,7.47,4.6,0.672,"7,838",1.59,2.63,5.52,7.53,4.73,6.11,826,313,"2,114",735,"23,028","4,605.60","4,867","m""V.D@`",4,2,{mother},"{m""V.D@`}",1,NN,566.206,-0.671,208.711,28,1,565.607,-0.692,101.523,#,1
1,music,5,216,"134,404",11.809,151.65,3.889,32.18,3.431,0,3,3,0,0,#,6.185,6.185,#,#,#,#,#,#,#,2,7.307,2.05,7.207,4.31,0.675,"8,288",1.489,3.81,3.13,7.67,5.57,6.5,"3,448",605,"8,421","1,382","11,367","2,841.75","1,970","mj""u.zIk",6,2,{music},"{mj""u.zIk}",1,NN,554.406,-0.79,137.17,25,0.97,599.48,-0.527,133.553,#,1
1,operation,9,113,"28,468",10.257,43.94,3.351,14.27,3.079,0,0,0,0,0,#,#,#,#,#,#,#,#,#,#,2.4,6.868,2.55,6.997,3.44,0.675,"8,094",2.041,7.84,#,2.94,5.71,3.78,73,31,247,95,"53,876","6,734.50","5,137","%A.p@`.r""e.Sn=",7,4,{oper--ate}>ion>,"{%A.p@`.r--""e.S$}>n=>",3,NN,717,-0.348,261.109,26,1,564.962,-0.655,67.265,#,0.963
1,overcome,8,26,"7,196",8.881,6.2,2.501,3.21,2.431,1,1,1,1,1,6,6.031,6.031,6.031,6.031,0,#,1,6,1.47,2.5,5.573,2.65,5.655,2.28,0.617,"4,380",2.159,8,#,6.81,5.75,6.32,94,37,289,126,"28,804","4,114.86","2,659","%o.v@`.k""Vm",6,3,<over<{come},"<%o.v@`<.{k""Vm}",2,VB,658.594,-0.44,314.422,29,1,578.31,-0.791,88.488,#,1
1,pick,4,55,"45,297",10.721,198.39,4.005,56.34,3.675,16,41,41,14,14,8.1,7.705,7.705,8.198,8.198,0,#,16,8.1,1.33,1.15,8.067,1,8.283,3.82,0.627,"5,240",1.988,5.26,3.259,5.91,3.62,5.94,150,55,448,160,"8,292","2,764.00","1,804","p""Ik",3,1,{pick},"{p""Ik}",1,VB|NN,535.031,-0.873,132.744,28,0.97,561.679,-0.789,83.521,#,1
1,piss,4,1,"6,979",8.851,23.59,3.081,9.67,2.91,14,29,29,7,7,7.1,8.095,8.095,7.328,7.328,4,9.9,10,6,1.24,1.5,8.05,1,8.728,4.73,0.301,0,1.235,7.56,4.769,2.73,4.74,5.63,56,22,140,60,"11,191","3,730.33","2,723","p""Is",3,1,{piss},"{p""Is}",1,VB|NN,672.806,-0.462,265.83,28,0.94,619.929,-0.472,117.378,#,1
1,player,6,51,"58,218",10.972,37.76,3.285,12.29,3.014,5,11,11,2,2,7.7,8.299,8.299,9.511,9.511,1,11.1,4,6.9,1.42,1.75,8.027,1.8,8.082,4.15,0.663,"7,492",1.381,6.89,4.72,5.55,5.95,5.68,173,70,444,176,"20,050","4,010.00","4,365","pl""e@`",4,1,{play}>er>,"{pl""e}>@`>",2,NN,535.471,-0.846,137.948,27,1,555.778,-0.756,84.823,#,0.964
1,pop,3,8,"22,982",10.042,67.47,3.537,18.45,3.19,20,32,32,17,17,7.3,6.982,6.982,7.318,7.318,1,11.7,19,7,1.38,1,7.534,1,7.547,4.22,0.644,"6,390",1.228,4.485,3.148,6.05,4.45,5.68,392,102,923,250,"3,688","1,844.00","1,206","p""Ap",3,1,{pop},"{p""Ap}",1,NN|VB,562.424,-0.739,176.644,27,1,563.926,-0.756,86.623,#,1
1,rabbit,6,11,"5,751",8.657,20.94,3.029,5.33,2.651,1,3,3,0,0,7.2,6.941,6.941,#,#,0,#,1,7.2,1.2,2.5,7.16,1.8,7.95,4.93,0.588,"2,403",1.479,3.94,5,7.21,3.98,5.95,300,87,712,240,"13,895","2,779.00","1,932","r""a.b@t",5,2,{rabbit},"{r""a.b@t}",1,NN|VB,589.667,-0.674,177.896,27,1,556.111,-0.771,84.474,#,1
