,Word,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,words_avg,val,Occurrences,Length,Freq_KF,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,OLD,OLDF,PLD,PLDF,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,Assoc_Freq_R1,Assoc_Types_R1,Assoc_Freq_R123,Assoc_Types_R123,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy
2,batter,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,NA,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,NA,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,NA,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,NA,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0.533678756,ambiguous,1,6,2,1364,7.218,3.98,2.31,1.17,1.996,16,26,26,11,11,6.6,6.861,6.861,7.107,7.107,5,10.3,11,4.9,1.1,1.25,6.914,1,7.456,4.41,0.515,0,1.693,7.05,#,5.24,3.85,6,29,20,106,59,33234,6646.8,6550,"b""a.4@`",4,2,{batter},"{b""a.4@`}",1,NN|VB,724.485,-0.216,263.558,27,0.97,639.481,-0.368,147.052,#,1
3,beat,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,NA,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0.632653061,ambiguous,1,4,68,33104,10.407,131.69,3.827,38.05,3.504,20,42,48,13,16,8.4,8.469,8.334,8.211,8.056,1,12.5,19,8.2,1.24,1,8.357,1,9.959,3.97,0.649,6293,1.739,6.15,2.76,4.38,5.52,5.59,261,97,756,263,13280,4426.67,2723,"b""it",3,1,{beat},"{b""it}",1,VB|NN,590.156,-0.663,156.457,21,1,550,-0.792,75.467,#,1
5,break,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,1,NA,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0.528205128,ambiguous,1,5,88,47766,10.774,221.08,4.052,59.88,3.701,6,21,25,0,0,6.7,5.691,5.829,#,#,0,#,6,6.7,1.6,1.65,8.122,1.2,7.811,3.71,0.673,8291,2.149,5.3,2.042,5.1,4.71,4.5,546,199,1520,551,13283,3320.75,2965,"br""ek",4,1,{break},"{br""ek}",1,VB|NN,604.147,-0.656,198.548,28,1,591.964,-0.703,140.455,#,1
6,catch,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.175257732,ambiguous,1,5,43,22587,10.025,135.51,3.84,44.89,3.576,8,31,31,7,7,7.8,7.381,7.381,7.323,7.323,3,10.5,5,6.1,1.29,1.65,7.825,1.35,8.653,4.11,0.631,5641,1.881,4.61,2.32,5.64,4,5.47,145,50,423,150,15973,3993.25,3440,"k""atS",3,1,{catch},"{k""atS}",1,VB|NN,549.061,-0.764,154.941,27,1,608.333,-0.537,91.724,#,1
7,check,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.132653061,ambiguous,1,5,88,170581,12.047,278.98,4.153,63.1,3.724,4,24,30,4,4,8,8.213,8.198,7.971,7.971,0,#,4,8,1.51,1.7,7.681,1.4,8.64,4.11,0.635,5893,1.915,5.53,4.045,6.55,3.38,4.67,243,113,683,267,11349,2837.25,2568,"tS""Ek",3,1,{check},"{tS""Ek}",1,VB|NN,596.091,-0.629,168.291,27,0.97,603.815,-0.521,108.052,#,0.964
8,close,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,NA,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,NA,0,0,1,0,0,0,1,0,0,0,0,0,1,NA,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.340206186,ambiguous,1,5,234,84927,11.35,219.43,4.049,61.77,3.715,3,21,25,2,2,8.9,5.691,5.868,8.644,8.644,0,#,3,8.9,1.27,1.6,8.121,1.15,7.723,3.2,0.692,9214,2.216,4.5,1.625,5.23,3.81,5.94,598,189,1651,507,9992,2498,2306,"kl""oz",4,1,{close},"{kl""oz}",1,VB,542.706,-0.844,140.991,28,1,590.429,-0.656,96.967,#,1
9,club,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,NA,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.287179487,ambiguous,1,4,145,63264,11.055,98.78,3.702,25.7,3.334,2,3,3,0,0,7.6,6.314,6.314,#,#,0,#,2,7.6,1.45,1.85,7.274,1.75,7.337,3.78,0.667,7584,1.606,5.89,5.458,6.5,3.76,5.11,315,129,829,302,3015,1005,1097,"kl""Vb",4,1,{club},"{kl""Vb}",1,NN|VB,547.029,-0.839,177.86,27,1,606.074,-0.56,127.971,#,1
12,court,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,NA,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0.530612245,ambiguous,1,5,230,57767,10.964,100.73,3.711,21.92,3.265,1,27,27,0,0,10.4,7.124,7.124,#,#,0,#,1,10.4,1.05,1.85,8.245,1,8.993,4.31,0.669,7806,1.776,8.39,3.739,3.52,4.43,3.94,473,127,1644,362,13092,3273,4964,"k""Ort",4,1,{court},"{k""Ort}",1,NN|VB,586.844,-0.708,227.311,27,0.94,591.556,-0.532,95.542,#,1
15,crush,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,NA,1,0,1,1,NA,0,1,0,1,0,NA,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,NA,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0.497409326,ambiguous,1,5,4,3571,8.181,16.8,2.933,7.45,2.797,4,6,6,2,2,7.6,6.676,6.676,9.253,9.253,2,9.3,2,5.9,1.08,1.8,7.34,1.65,7.626,3.9,0.585,2136,1.882,7.58,2.391,4.72,5.6,3.96,72,38,245,118,8648,2162,1805,"kr""VS",4,1,{crush},"{kr""VS}",1,VB|NN,614.656,-0.729,253.993,28,0.97,587.964,-0.618,79.262,#,1
18,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.087628866,ambiguous,1,6,129,54882,10.913,24.04,3.089,11.1,2.969,1,0,0,0,0,3,#,#,#,#,0,#,1,3,3.58,2,7.536,2,8.454,2.15,0.684,8743,2.249,9.68,2.16,5.75,4.29,6.38,105,61,333,179,17866,3573.2,3768,"d@.r""Ekt",6,2,{direct},"{d@.r""Ekt}",1,JJ|VB|NN|RB,587,-0.649,138.133,26,0.94,630.769,-0.456,131.119,#,0.963
