Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,counterbalance-sg3w,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,branch-8rrr,branch-5rfv,branch-59ox,branch-njci,branch-di17,branch-gjr2,branch-1dat,branch-drsz,branch-21pl,branch-y4xh,branch-qzep,Question Key,Response
1,1572543673842,31/10/2019 17:41:13,1572543673712,-5,31/10/2019 12:41:13,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1536x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1572543682693,31/10/2019 17:41:22,1572543682614,-5,31/10/2019 12:41:22,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,happy,3 - fits quite well
3,1572543682863,31/10/2019 17:41:22,1572543682616,-5,31/10/2019 12:41:22,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,happy-quantised,3
4,1572543682863,31/10/2019 17:41:22,1572543682616,-5,31/10/2019 12:41:22,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,helpless,1 - doesn't fit at all
5,1572543682863,31/10/2019 17:41:22,1572543682616,-5,31/10/2019 12:41:22,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,helpless-quantised,1
6,1572543682863,31/10/2019 17:41:22,1572543682617,-5,31/10/2019 12:41:22,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,energetic,3 - fits quite well
7,1572543682863,31/10/2019 17:41:22,1572543682617,-5,31/10/2019 12:41:22,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,energetic-quantised,3
8,1572543682863,31/10/2019 17:41:22,1572543682617,-5,31/10/2019 12:41:22,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,tense,1 - doesn't fit at all
9,1572543682863,31/10/2019 17:41:22,1572543682617,-5,31/10/2019 12:41:22,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,tense-quantised,1
10,1572543682863,31/10/2019 17:41:22,1572543682618,-5,31/10/2019 12:41:22,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,cheerful,4 - fits very well
11,1572543682863,31/10/2019 17:41:22,1572543682618,-5,31/10/2019 12:41:22,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,cheerful-quantised,4
12,1572543682863,31/10/2019 17:41:22,1572543682619,-5,31/10/2019 12:41:22,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,inhibited,1 - doesn't fit at all
13,1572543682863,31/10/2019 17:41:22,1572543682619,-5,31/10/2019 12:41:22,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,inhibited-quantised,1
14,1572543682863,31/10/2019 17:41:22,1572543682619,-5,31/10/2019 12:41:22,10365,4,questionnaire-2nua,,3270212,ALM8YFO0272UR,908599,,complete,zrmrpt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x792,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,Continue,order9,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,Continue,,,,,,,,,END QUESTIONNAIRE,8907
1,1572543741663,31/10/2019 17:42:21,1572543742210,-7,31/10/2019 10:42:22,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,BEGIN QUESTIONNAIRE,
2,1572543750135,31/10/2019 17:42:30,1572543750747,-7,31/10/2019 10:42:30,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,happy,3 - fits quite well
3,1572543750353,31/10/2019 17:42:30,1572543750749,-7,31/10/2019 10:42:30,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,happy-quantised,3
4,1572543750353,31/10/2019 17:42:30,1572543750750,-7,31/10/2019 10:42:30,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,helpless,1 - doesn't fit at all
5,1572543750353,31/10/2019 17:42:30,1572543750750,-7,31/10/2019 10:42:30,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,helpless-quantised,1
6,1572543750353,31/10/2019 17:42:30,1572543750750,-7,31/10/2019 10:42:30,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,energetic,3 - fits quite well
7,1572543750353,31/10/2019 17:42:30,1572543750750,-7,31/10/2019 10:42:30,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,energetic-quantised,3
8,1572543750353,31/10/2019 17:42:30,1572543750750,-7,31/10/2019 10:42:30,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,tense,1 - doesn't fit at all
9,1572543750353,31/10/2019 17:42:30,1572543750750,-7,31/10/2019 10:42:30,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,tense-quantised,1
10,1572543750353,31/10/2019 17:42:30,1572543750750,-7,31/10/2019 10:42:30,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,cheerful,3 - fits quite well
11,1572543750353,31/10/2019 17:42:30,1572543750750,-7,31/10/2019 10:42:30,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,cheerful-quantised,3
12,1572543750353,31/10/2019 17:42:30,1572543750750,-7,31/10/2019 10:42:30,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,inhibited,1 - doesn't fit at all
13,1572543750353,31/10/2019 17:42:30,1572543750750,-7,31/10/2019 10:42:30,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,inhibited-quantised,1
14,1572543750353,31/10/2019 17:42:30,1572543750751,-7,31/10/2019 10:42:30,10365,4,questionnaire-2nua,,3270229,A3FSDH6HUZPNQ8,908601,,complete,pvfraj,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x944,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order3,,order1,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,END QUESTIONNAIRE,8541
1,1572543822341,31/10/2019 17:43:42,1572543829863,-5,31/10/2019 12:43:49,10365,4,questionnaire-2nua,,3270246,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x919,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,BEGIN QUESTIONNAIRE,
2,1572543828981,31/10/2019 17:43:48,1572543836553,-5,31/10/2019 12:43:56,10365,4,questionnaire-2nua,,3270246,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x919,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,happy,1 - doesn't fit at all
3,1572543829184,31/10/2019 17:43:49,1572543836555,-5,31/10/2019 12:43:56,10365,4,questionnaire-2nua,,3270246,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x919,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,happy-quantised,1
4,1572543829184,31/10/2019 17:43:49,1572543836555,-5,31/10/2019 12:43:56,10365,4,questionnaire-2nua,,3270246,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x919,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,helpless,1 - doesn't fit at all
5,1572543829184,31/10/2019 17:43:49,1572543836555,-5,31/10/2019 12:43:56,10365,4,questionnaire-2nua,,3270246,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x919,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,helpless-quantised,1
6,1572543829184,31/10/2019 17:43:49,1572543836556,-5,31/10/2019 12:43:56,10365,4,questionnaire-2nua,,3270246,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x919,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,energetic,1 - doesn't fit at all
7,1572543829184,31/10/2019 17:43:49,1572543836556,-5,31/10/2019 12:43:56,10365,4,questionnaire-2nua,,3270246,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x919,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,energetic-quantised,1
8,1572543829184,31/10/2019 17:43:49,1572543836556,-5,31/10/2019 12:43:56,10365,4,questionnaire-2nua,,3270246,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x919,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,tense,2 - fits somewhat
9,1572543829184,31/10/2019 17:43:49,1572543836556,-5,31/10/2019 12:43:56,10365,4,questionnaire-2nua,,3270246,ACJ6NSCIWMUZI,908605,,complete,wdggwl,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1903x919,approve with $2.15 bonus,IPANAT BELNI,2,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,ACCEPT,,,,,,≥38,≥43,≥48,≤52,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order8,,order8,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,tense-quantised,2
