Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-nc6u,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,Question Key,Response
1,1563477521134,18/07/2019 19:18:41,1563477518846,-7,18/07/2019 12:18:38,8700,20,questionnaire-kw49,,2832664,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,BEGIN QUESTIONNAIRE,
2,1563477523261,18/07/2019 19:18:43,1563477521016,-7,18/07/2019 12:18:41,8700,20,questionnaire-kw49,,2832664,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1903x947,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,END QUESTIONNAIRE,2170
1,1563477630854,18/07/2019 19:20:30,1563477630737,-4,18/07/2019 15:20:30,8700,20,questionnaire-kw49,,2832669,AIHHRINW9IN1I,784838,,complete,fthbsn,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.142,1440x900,1440x798,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,BEGIN QUESTIONNAIRE,
2,1563477648576,18/07/2019 19:20:48,1563477648470,-4,18/07/2019 15:20:48,8700,20,questionnaire-kw49,,2832669,AIHHRINW9IN1I,784838,,complete,fthbsn,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.142,1440x900,1425x798,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,END QUESTIONNAIRE,17733
1,1563477735265,18/07/2019 19:22:15,1563477733443,-4,18/07/2019 15:22:13,8700,20,questionnaire-kw49,,2832674,A1P458P1C6JOXP,784840,,complete,rordlp,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x576,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,BEGIN QUESTIONNAIRE,
2,1563477757842,18/07/2019 19:22:37,1563477756125,-4,18/07/2019 15:22:36,8700,20,questionnaire-kw49,,2832674,A1P458P1C6JOXP,784840,,complete,rordlp,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x576,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,END QUESTIONNAIRE,22683
1,1563477758983,18/07/2019 19:22:38,1563477750252,-4,18/07/2019 15:22:30,8700,20,questionnaire-kw49,,2832676,AT37XBKO802OL,784841,,complete,yjblfz,,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.142,1366x768,1366x625,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,BEGIN QUESTIONNAIRE,
2,1563477771654,18/07/2019 19:22:51,1563477763020,-4,18/07/2019 15:22:43,8700,20,questionnaire-kw49,,2832676,AT37XBKO802OL,784841,,complete,yjblfz,,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.142,1366x768,1349x625,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,END QUESTIONNAIRE,12768
1,1563478000829,18/07/2019 19:26:40,1563477977066,-7,18/07/2019 12:26:17,8700,20,questionnaire-kw49,,2832687,A3BY2QC25OCJBB,784842,,complete,xdatrg,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1360x768,1360x615,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,l_pos,18 and over,BEGIN QUESTIONNAIRE,
2,1563478228931,18/07/2019 19:30:28,1563478204750,-7,18/07/2019 12:30:04,8700,20,questionnaire-kw49,,2832687,A3BY2QC25OCJBB,784842,,complete,xdatrg,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1360x768,1343x615,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,l_pos,18 and over,END QUESTIONNAIRE,227685
1,1563478064307,18/07/2019 19:27:44,1563478064487,-5,18/07/2019 14:27:44,8700,20,questionnaire-kw49,,2832689,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,Consent_Q,1,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,BEGIN QUESTIONNAIRE,
2,1563478068237,18/07/2019 19:27:48,1563478068459,-5,18/07/2019 14:27:48,8700,20,questionnaire-kw49,,2832689,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1583x789,words,Consent_Q,1,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,END QUESTIONNAIRE,3972
1,1563478633962,18/07/2019 19:37:13,1563478635557,-4,18/07/2019 15:37:15,8700,20,questionnaire-kw49,,2832707,3ebe8757,784848,,complete,eblhtj,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,940x772,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,l_pos,18 and over,BEGIN QUESTIONNAIRE,
2,1563478647902,18/07/2019 19:37:27,1563478649633,-4,18/07/2019 15:37:29,8700,20,questionnaire-kw49,,2832707,3ebe8757,784848,,complete,eblhtj,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,923x772,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,l_pos,18 and over,END QUESTIONNAIRE,14076
1,1563479378970,18/07/2019 19:49:38,1563479378243,-4,18/07/2019 15:49:38,8700,20,questionnaire-kw49,,2832723,A3K1P4SPR8XS7R,784849,,complete,hirqtc,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 75.0.3770.100,1440x900,1440x821,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,BEGIN QUESTIONNAIRE,
2,1563479405320,18/07/2019 19:50:05,1563479404650,-4,18/07/2019 15:50:04,8700,20,questionnaire-kw49,,2832723,A3K1P4SPR8XS7R,784849,,complete,hirqtc,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 75.0.3770.100,1440x900,1440x821,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,END QUESTIONNAIRE,26407
1,1563482791895,18/07/2019 20:46:31,1563482791318,-4,18/07/2019 16:46:31,8700,20,questionnaire-kw49,,2832766,AB66CTVQ90RCV,784861,,complete,arzctw,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1366x768,1366x657,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,l_pos,18 and over,BEGIN QUESTIONNAIRE,
2,1563482794261,18/07/2019 20:46:34,1563482793762,-4,18/07/2019 16:46:33,8700,20,questionnaire-kw49,,2832766,AB66CTVQ90RCV,784861,,complete,arzctw,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1366x768,1349x657,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,l_pos,18 and over,END QUESTIONNAIRE,2444
1,1563483581543,18/07/2019 20:59:41,1563483601719,-4,18/07/2019 17:00:01,8700,20,questionnaire-kw49,,2832776,A2GR3333S2F53G,784863,,complete,pybydq,,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.142,1920x1080,1236x926,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,l_pos,18 and over,BEGIN QUESTIONNAIRE,
2,1563483607995,18/07/2019 21:00:07,1563483628261,-4,18/07/2019 17:00:28,8700,20,questionnaire-kw49,,2832776,A2GR3333S2F53G,784863,,complete,pybydq,,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.142,1920x1080,1219x926,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,l_pos,18 and over,END QUESTIONNAIRE,26542
1,1563483687438,18/07/2019 21:01:27,1563483680764,-7,18/07/2019 14:01:20,8700,20,questionnaire-kw49,,2832778,vnsyomb2,784864,,complete,zcqzys,,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.142,1536x960,1396x745,words,Consent_Q,1,a_pos,words,English_Native,No_Psych,Accurate,l_pos,18 and over,BEGIN QUESTIONNAIRE,
