Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-nc6u,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,Question Key,Response
1,1563477525853,18/07/2019 19:18:45,1563477523680,-7,18/07/2019 12:18:43,8700,20,questionnaire-rok5,,2832665,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,Demographics,4,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,BEGIN QUESTIONNAIRE,
2,1563477536275,18/07/2019 19:18:56,1563477534144,-7,18/07/2019 12:18:54,8700,20,questionnaire-rok5,,2832665,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,Demographics,4,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,sex,Female
3,1563477536572,18/07/2019 19:18:56,1563477534146,-7,18/07/2019 12:18:54,8700,20,questionnaire-rok5,,2832665,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,Demographics,4,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,sex-quantised,1
4,1563477536572,18/07/2019 19:18:56,1563477534146,-7,18/07/2019 12:18:54,8700,20,questionnaire-rok5,,2832665,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,Demographics,4,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,sex-text,
5,1563477536572,18/07/2019 19:18:56,1563477534146,-7,18/07/2019 12:18:54,8700,20,questionnaire-rok5,,2832665,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,Demographics,4,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,age,29
6,1563477536572,18/07/2019 19:18:56,1563477534146,-7,18/07/2019 12:18:54,8700,20,questionnaire-rok5,,2832665,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,Demographics,4,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,age-quantised,13
7,1563477536572,18/07/2019 19:18:56,1563477534146,-7,18/07/2019 12:18:54,8700,20,questionnaire-rok5,,2832665,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,Demographics,4,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,race,Hispanic or Latino
8,1563477536572,18/07/2019 19:18:56,1563477534146,-7,18/07/2019 12:18:54,8700,20,questionnaire-rok5,,2832665,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,Demographics,4,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,race-quantised,4
9,1563477536572,18/07/2019 19:18:56,1563477534146,-7,18/07/2019 12:18:54,8700,20,questionnaire-rok5,,2832665,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,Demographics,4,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,race-text,
10,1563477536572,18/07/2019 19:18:56,1563477534147,-7,18/07/2019 12:18:54,8700,20,questionnaire-rok5,,2832665,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,Demographics,4,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,eng_native,Yes
