Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-nc6u,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,# exwords,# wordlist,Metadata
1,1563478087037,18/07/2019 19:28:07,1563478087186,-5,18/07/2019 14:28:07,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,
2,1563478091350,18/07/2019 19:28:11,1563478091572,-5,18/07/2019 14:28:11,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,1,1,1,instructions,advancementZone,continue_keyboard,4321.419999992941,,,0,1,0,,,,,,instructions,,,,,
3,1563478099689,18/07/2019 19:28:19,1563478099908,-5,18/07/2019 14:28:19,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,1,1,2,Screen 1,Zone2,response_keyboard_single,8316.170000005513,negative,1,1,0,0,,,,,,instructions,,,,,
4,1563478101142,18/07/2019 19:28:21,1563478101355,-5,18/07/2019 14:28:21,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,1,1,3,Screen 2,Zone2,response_keyboard_single,1427.174999989802,positive,1,1,0,0,,,,,,instructions,,,,,
5,1563478103534,18/07/2019 19:28:23,1563478103747,-5,18/07/2019 14:28:23,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,1,1,4,Screen 3,advancementZone,continue_keyboard,2374.580000003334,,,0,1,0,,,,,,instructions,,,,,
6,1563478103754,18/07/2019 19:28:23,1563478103986,-5,18/07/2019 14:28:23,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,2,1,1,Screen 1,fixation,fixation,250.39400000000023,,,0,1,0,,,,,,fixation,,,,,
7,1563478105120,18/07/2019 19:28:25,1563478105346,-5,18/07/2019 14:28:25,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,5,1,1,example_word,advancementZone,response_keyboard,1292.9549999826122,negative,1,0,1,0,,,,,1,example,,,PAPER,,EX
8,1563478105353,18/07/2019 19:28:25,1563478105588,-5,18/07/2019 14:28:25,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,4,2,1,Screen 1,fixation,fixation,250.36900000000242,,,0,1,0,,,,,,fixation,,,,,
9,1563478106424,18/07/2019 19:28:26,1563478106651,-5,18/07/2019 14:28:26,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,7,2,1,example_word,advancementZone,response_keyboard,1027.4150000186637,negative,1,0,1,0,,,,,1,example,,,WALK,,EX
10,1563478106659,18/07/2019 19:28:26,1563478106887,-5,18/07/2019 14:28:26,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,6,3,1,Screen 1,fixation,fixation,250.0239999999976,,,0,1,0,,,,,,fixation,,,,,
11,1563478107380,18/07/2019 19:28:27,1563478107611,-5,18/07/2019 14:28:27,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,3,3,1,example_word,advancementZone,response_keyboard,700.9499999985565,negative,1,0,1,0,,,,,1,example,,,TABLE,,EX
12,1563478107643,18/07/2019 19:28:27,1563478107855,-5,18/07/2019 14:28:27,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,8,4,1,Screen 1,fixation,fixation,250.07600000000093,,,0,1,0,,,,,,fixation,,,,,
13,1563478112365,18/07/2019 19:28:32,1563478112593,-5,18/07/2019 14:28:32,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,9,1,1,begin text,advancementZone,continue_keyboard,4707.470000023022,,,0,1,0,,,,,,begin,1,,,,
14,1563478112678,18/07/2019 19:28:32,1563478112838,-5,18/07/2019 14:28:32,8700,20,task-3raa,,2832691,A1POAW2RQBTBXB,784843,,complete,qwbehx,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1600x900,1600x789,words,CB_button_Words,19,l_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,10,5,1,Screen 1,fixation,fixation,250.15899999999965,,,0,1,0,,,,,,fixation,,,,,
