Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-nc6u,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,# exwords,# wordlist,Metadata
1,1563477539885,18/07/2019 19:18:59,1563477537698,-7,18/07/2019 12:18:57,8700,20,task-jdgj,,2832667,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,CB_button_Words,19,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,
2,1563477545432,18/07/2019 19:19:05,1563477543305,-7,18/07/2019 12:19:03,8700,20,task-jdgj,,2832667,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,CB_button_Words,19,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,1,1,1,instructions,advancementZone,continue_keyboard,5569.650000001275,,,0,1,0,,,,,,instructions,,,,,
3,1563477559619,18/07/2019 19:19:19,1563477557489,-7,18/07/2019 12:19:17,8700,20,task-jdgj,,2832667,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,CB_button_Words,19,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,1,1,2,Screen 1,Zone2,response_keyboard_single,14176.924999999756,positive,1,1,0,0,,,,,,instructions,,,,,
4,1563477560947,18/07/2019 19:19:20,1563477558816,-7,18/07/2019 12:19:18,8700,20,task-jdgj,,2832667,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,CB_button_Words,19,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,1,1,3,Screen 2,Zone2,response_keyboard_single,1320.0899999992544,negative,1,1,0,0,,,,,,instructions,,,,,
5,1563477562369,18/07/2019 19:19:22,1563477560141,-7,18/07/2019 12:19:20,8700,20,task-jdgj,,2832667,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,CB_button_Words,19,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,1,1,4,Screen 3,advancementZone,continue_keyboard,1318.5099999991508,,,0,1,0,,,,,,instructions,,,,,
6,1563477562572,18/07/2019 19:19:22,1563477560387,-7,18/07/2019 12:19:20,8700,20,task-jdgj,,2832667,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,CB_button_Words,19,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,2,1,1,Screen 1,fixation,fixation,250.02999999999884,,,0,1,0,,,,,,fixation,,,,,
7,1563477563354,18/07/2019 19:19:23,1563477561236,-7,18/07/2019 12:19:21,8700,20,task-jdgj,,2832667,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,CB_button_Words,19,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,5,1,1,example_word,advancementZone,response_keyboard,836.0400000001391,positive,1,0,1,0,,,,,1,example,,,PAPER,,EX
8,1563477563588,18/07/2019 19:19:23,1563477561472,-7,18/07/2019 12:19:21,8700,20,task-jdgj,,2832667,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,CB_button_Words,19,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,4,2,1,Screen 1,fixation,fixation,250.07600000000093,,,0,1,0,,,,,,fixation,,,,,
9,1563477564152,18/07/2019 19:19:24,1563477562035,-7,18/07/2019 12:19:22,8700,20,task-jdgj,,2832667,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,CB_button_Words,19,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,3,2,1,example_word,advancementZone,response_keyboard,554.5599999986734,positive,1,0,1,0,,,,,1,example,,,TABLE,,EX
10,1563477564404,18/07/2019 19:19:24,1563477562270,-7,18/07/2019 12:19:22,8700,20,task-jdgj,,2832667,A1TP2H8ES94JDK,784837,,complete,asfoxb,,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.142,1920x1080,1920x947,words,CB_button_Words,19,a_pos,words,English_Native,No_Psych,Accurate,a_pos,18 and over,screen,6,3,1,Screen 1,fixation,fixation,250.02100000000064,,,0,1,0,,,,,,fixation,,,,,
