Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1570642879301,09/10/2019 17:41:19,1570642880682,-4,09/10/2019 13:41:20,9792,17,task-dhn3,,3166294,A22UUVL27L2WU1,875886,,complete,kotbhd,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1242x568,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 2 and 4,order2,,,,,,,,,,Continue,,Continue,order12,,,,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1570642911794,09/10/2019 17:41:51,1570642912587,-4,09/10/2019 13:41:52,9792,17,task-dhn3,,3166294,A22UUVL27L2WU1,875886,,complete,kotbhd,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1242x568,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 2 and 4,order2,,,,,,,,,,Continue,,Continue,order12,,,,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 2 and 4,1,1,1,Screen 1,advancementZone,continue_button,31771.985000001223,,,0,1,0,,,,,,congrats,,,,,,,,,,,,,,,,,
3,1570642914171,09/10/2019 17:41:54,1570642915573,-4,09/10/2019 13:41:55,9792,17,task-dhn3,,3166294,A22UUVL27L2WU1,875886,,complete,kotbhd,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1242x568,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 2 and 4,order2,,,,,,,,,,Continue,,Continue,order12,,,,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 2 and 4,2,1,1,Screen 1,Zone1,timelimit_screen,2999.949999999997,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1570642915639,09/10/2019 17:41:55,1570642917071,-4,09/10/2019 13:41:57,9792,17,task-dhn3,,3166294,A22UUVL27L2WU1,875886,,complete,kotbhd,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1242x568,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 2 and 4,order2,,,,,,,,,,Continue,,Continue,order12,,,,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 2 and 4,3,1,1,Screen 1,Zone3,timelimit_screen,1499.9360000000015,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1570642916124,09/10/2019 17:41:56,1570642917556,-4,09/10/2019 13:41:57,9792,17,task-dhn3,,3166294,A22UUVL27L2WU1,875886,,complete,kotbhd,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1242x568,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 2 and 4,order2,,,,,,,,,,Continue,,Continue,order12,,,,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 2 and 4,21,1,1,stim,Zone3,timelimit_screen,483.76800000000367,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,,27M_SP_O.jpg,,4598.jpg,,,,,,,,,
6,1570642916811,09/10/2019 17:41:56,1570642918257,-4,09/10/2019 13:41:58,9792,17,task-dhn3,,3166294,A22UUVL27L2WU1,875886,,complete,kotbhd,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1242x568,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 2 and 4,order2,,,,,,,,,,Continue,,Continue,order12,,,,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 2 and 4,21,1,2,fix,advancementZone,response_keyboard,671.3500000005297,positive,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,27M_SP_O.jpg,,4598.jpg,,,,,,,,,
7,1570642917609,09/10/2019 17:41:57,1570642919057,-4,09/10/2019 13:41:59,9792,17,task-dhn3,,3166294,A22UUVL27L2WU1,875886,,complete,kotbhd,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1242x568,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 2 and 4,order2,,,,,,,,,,Continue,,Continue,order12,,,,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 2 and 4,21,1,2,fix,Zone3,timelimit_screen,1499.9819999999963,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,,27M_SP_O.jpg,,4598.jpg,,,,,,,,,
8,1570642918093,09/10/2019 17:41:58,1570642919538,-4,09/10/2019 13:41:59,9792,17,task-dhn3,,3166294,A22UUVL27L2WU1,875886,,complete,kotbhd,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1242x568,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 2 and 4,order2,,,,,,,,,,Continue,,Continue,order12,,,,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 2 and 4,7,2,1,stim,Zone3,timelimit_screen,483.4780000000028,,,0,1,0,,,1,,1,trial,,,negative,block1,,20M_AN_C.jpg,,9561.jpg,,,,,,,,,
9,1570642918389,09/10/2019 17:41:58,1570642919843,-4,09/10/2019 13:41:59,9792,17,task-dhn3,,3166294,A22UUVL27L2WU1,875886,,complete,kotbhd,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1242x568,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 2 and 4,order2,,,,,,,,,,Continue,,Continue,order12,,,,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 2 and 4,7,2,2,fix,advancementZone,response_keyboard,283.9449999992212,negative,1,1,0,0,,,,,1,trial,,,negative,block1,,20M_AN_C.jpg,,9561.jpg,,,,,,,,,
10,1570642919593,09/10/2019 17:41:59,1570642921039,-4,09/10/2019 13:42:01,9792,17,task-dhn3,,3166294,A22UUVL27L2WU1,875886,,complete,kotbhd,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1242x568,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 2 and 4,order2,,,,,,,,,,Continue,,Continue,order12,,,,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 2 and 4,7,2,2,fix,Zone3,timelimit_screen,1499.5429999999978,,,0,1,0,,,1,,1,trial,,,negative,block1,,20M_AN_C.jpg,,9561.jpg,,,,,,,,,
