Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1570643249841,09/10/2019 17:47:29,1570643250575,-4,09/10/2019 13:47:30,9792,17,task-shzk,,3166343,A3FNC8ELMK8YJA,875896,,complete,kxmxic,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1302x697,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order2,,,Continue,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1570643257289,09/10/2019 17:47:37,1570643257743,-4,09/10/2019 13:47:37,9792,17,task-shzk,,3166343,A3FNC8ELMK8YJA,875896,,complete,kxmxic,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1302x697,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order2,,,Continue,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 2 and 4 -2,1,1,1,Screen 1,advancementZone,continue_button,6975.835000004736,,,0,1,0,,,,,,progress2,1,,,,,,,,,,,,,,,,
3,1570643259955,09/10/2019 17:47:39,1570643260723,-4,09/10/2019 13:47:40,9792,17,task-shzk,,3166343,A3FNC8ELMK8YJA,875896,,complete,kxmxic,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1302x697,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order2,,,Continue,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 2 and 4 -2,2,1,1,Screen 1,Zone1,timelimit_screen,2999.815999999999,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1570643261466,09/10/2019 17:47:41,1570643262216,-4,09/10/2019 13:47:42,9792,17,task-shzk,,3166343,A3FNC8ELMK8YJA,875896,,complete,kxmxic,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1302x697,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order2,,,Continue,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 2 and 4 -2,3,1,1,Screen 1,Zone3,timelimit_screen,1499.9130000000005,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1570643261919,09/10/2019 17:47:41,1570643262702,-4,09/10/2019 13:47:42,9792,17,task-shzk,,3166343,A3FNC8ELMK8YJA,875896,,complete,kxmxic,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1302x697,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order2,,,Continue,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 2 and 4 -2,5,1,1,stim,Zone3,timelimit_screen,483.3109999999997,,,0,1,0,,,1,,1,trial,,,negative,block1,,08F_AN_C.jpg,,9185.jpg,,,,,,,,,
6,1570643262168,09/10/2019 17:47:42,1570643262976,-4,09/10/2019 13:47:42,9792,17,task-shzk,,3166343,A3FNC8ELMK8YJA,875896,,complete,kxmxic,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1302x697,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order2,,,Continue,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 2 and 4 -2,5,1,2,fix,advancementZone,response_keyboard,225.69500000099652,negative,1,1,0,0,,,,,1,trial,,,negative,block1,,08F_AN_C.jpg,,9185.jpg,,,,,,,,,
7,1570643263387,09/10/2019 17:47:43,1570643264194,-4,09/10/2019 13:47:44,9792,17,task-shzk,,3166343,A3FNC8ELMK8YJA,875896,,complete,kxmxic,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1302x697,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order2,,,Continue,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 2 and 4 -2,5,1,2,fix,Zone3,timelimit_screen,1499.9680000000008,,,0,1,0,,,1,,1,trial,,,negative,block1,,08F_AN_C.jpg,,9185.jpg,,,,,,,,,
8,1570643263903,09/10/2019 17:47:43,1570643264678,-4,09/10/2019 13:47:44,9792,17,task-shzk,,3166343,A3FNC8ELMK8YJA,875896,,complete,kxmxic,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1302x697,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order2,,,Continue,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 2 and 4 -2,4,2,1,stim,Zone3,timelimit_screen,483.2549999999992,,,0,1,0,,,1,,1,trial,,,negative,block1,,01F_AN_C.jpg,,7380.jpg,,,,,,,,,
9,1570643264153,09/10/2019 17:47:44,1570643264946,-4,09/10/2019 13:47:44,9792,17,task-shzk,,3166343,A3FNC8ELMK8YJA,875896,,complete,kxmxic,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1302x697,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order2,,,Continue,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 2 and 4 -2,4,2,2,fix,advancementZone,response_keyboard,245.3049999967334,negative,1,1,0,0,,,,,1,trial,,,negative,block1,,01F_AN_C.jpg,,7380.jpg,,,,,,,,,
10,1570643265403,09/10/2019 17:47:45,1570643266182,-4,09/10/2019 13:47:46,9792,17,task-shzk,,3166343,A3FNC8ELMK8YJA,875896,,complete,kxmxic,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1302x697,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order2,,,Continue,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 2 and 4 -2,4,2,2,fix,Zone3,timelimit_screen,1499.9089999999997,,,0,1,0,,,1,,1,trial,,,negative,block1,,01F_AN_C.jpg,,7380.jpg,,,,,,,,,
