Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1570642161900,09/10/2019 17:29:21,1570642164024,-7,09/10/2019 10:29:24,9792,17,task-udom,,3166221,A2YCP9JVYJ8UQR,875848,,complete,funafv,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1536x864,1536x864,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1570642165283,09/10/2019 17:29:25,1570642167482,-7,09/10/2019 10:29:27,9792,17,task-udom,,3166221,A2YCP9JVYJ8UQR,875848,,complete,funafv,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1536x864,1536x864,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,1,1,1,Screen 1,advancementZone,continue_button,3430.455000139773,,,0,1,0,,,,,,progress2,1,,,,,,,,,,,,,,,,
3,1570642168424,09/10/2019 17:29:28,1570642170475,-7,09/10/2019 10:29:30,9792,17,task-udom,,3166221,A2YCP9JVYJ8UQR,875848,,complete,funafv,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1536x864,1536x864,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,2,1,1,Screen 1,Zone1,timelimit_screen,2998.6899999999996,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1570642169830,09/10/2019 17:29:29,1570642171976,-7,09/10/2019 10:29:31,9792,17,task-udom,,3166221,A2YCP9JVYJ8UQR,875848,,complete,funafv,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1536x864,1536x864,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,3,1,1,Screen 1,Zone3,timelimit_screen,1499.3099999999995,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1570642170267,09/10/2019 17:29:30,1570642172459,-7,09/10/2019 10:29:32,9792,17,task-udom,,3166221,A2YCP9JVYJ8UQR,875848,,complete,funafv,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1536x864,1536x864,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,4,1,1,stim,Zone3,timelimit_screen,483.1110000000008,,,0,1,0,,,1,,1,trial,,,negative,block1,,,,,,,,03F_AN_C.jpg,,7380.jpg,,,
6,1570642170486,09/10/2019 17:29:30,1570642172596,-7,09/10/2019 10:29:32,9792,17,task-udom,,3166221,A2YCP9JVYJ8UQR,875848,,complete,funafv,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1536x864,1536x864,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,4,1,2,fix,advancementZone,response_keyboard,132.36499996855855,negative,1,1,0,0,,,,,1,trial,,,negative,block1,,,,,,,,03F_AN_C.jpg,,7380.jpg,,,
7,1570642171770,09/10/2019 17:29:31,1570642173959,-7,09/10/2019 10:29:33,9792,17,task-udom,,3166221,A2YCP9JVYJ8UQR,875848,,complete,funafv,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1536x864,1536x864,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,4,1,2,fix,Zone3,timelimit_screen,1499.3099999999995,,,0,1,0,,,1,,1,trial,,,negative,block1,,,,,,,,03F_AN_C.jpg,,7380.jpg,,,
8,1570642172271,09/10/2019 17:29:32,1570642174440,-7,09/10/2019 10:29:34,9792,17,task-udom,,3166221,A2YCP9JVYJ8UQR,875848,,complete,funafv,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1536x864,1536x864,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,16,2,1,stim,Zone3,timelimit_screen,483.1110000000008,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,,,,,,,,02F_SP_O.jpg,,2480.jpg,,,
9,1570642172489,09/10/2019 17:29:32,1570642174567,-7,09/10/2019 10:29:34,9792,17,task-udom,,3166221,A2YCP9JVYJ8UQR,875848,,complete,funafv,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1536x864,1536x864,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,16,2,2,fix,advancementZone,response_keyboard,123.57999989762902,positive,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,02F_SP_O.jpg,,2480.jpg,,,
10,1570642173740,09/10/2019 17:29:33,1570642175939,-7,09/10/2019 10:29:35,9792,17,task-udom,,3166221,A2YCP9JVYJ8UQR,875848,,complete,funafv,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1536x864,1536x864,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,16,2,2,fix,Zone3,timelimit_screen,1499.3099999999995,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,,,,,,,,02F_SP_O.jpg,,2480.jpg,,,
