Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1570645601224,09/10/2019 18:26:41,1570645601643,-4,09/10/2019 14:26:41,9792,18,task-b86o,,3166604,A315GZMPR49WIY,875944,,complete,ytpmhu,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order12,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1570645608943,09/10/2019 18:26:48,1570645609405,-4,09/10/2019 14:26:49,9792,18,task-b86o,,3166604,A315GZMPR49WIY,875944,,complete,ytpmhu,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order12,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 11 and 12 - 2,1,1,1,Screen 1,advancementZone,continue_button,7726.8199999962235,,,0,1,0,,,,,,progress2,1,,,,,,,,,,,,,,,,
3,1570645611990,09/10/2019 18:26:51,1570645612402,-4,09/10/2019 14:26:52,9792,18,task-b86o,,3166604,A315GZMPR49WIY,875944,,complete,ytpmhu,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order12,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 11 and 12 - 2,2,1,1,Screen 1,Zone1,timelimit_screen,3003.723,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1570645613506,09/10/2019 18:26:53,1570645613904,-4,09/10/2019 14:26:53,9792,18,task-b86o,,3166604,A315GZMPR49WIY,875944,,complete,ytpmhu,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order12,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 11 and 12 - 2,3,1,1,Screen 1,Zone3,timelimit_screen,1501.8650000000016,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1570645613927,09/10/2019 18:26:53,1570645614391,-4,09/10/2019 14:26:54,9792,18,task-b86o,,3166604,A315GZMPR49WIY,875944,,complete,ytpmhu,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order12,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 11 and 12 - 2,21,1,1,stim,Zone3,timelimit_screen,486.71299999999974,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,,,,,,,,,,,Slide38.jpeg,Slide38.jpeg,
6,1570645614084,09/10/2019 18:26:54,1570645614429,-4,09/10/2019 14:26:54,9792,18,task-b86o,,3166604,A315GZMPR49WIY,875944,,complete,ytpmhu,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order12,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 11 and 12 - 2,21,1,2,fix,advancementZone,response_keyboard,29.615000006742775,positive,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,,,,Slide38.jpeg,Slide38.jpeg,
7,1570645615412,09/10/2019 18:26:55,1570645615892,-4,09/10/2019 14:26:55,9792,18,task-b86o,,3166604,A315GZMPR49WIY,875944,,complete,ytpmhu,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order12,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 11 and 12 - 2,21,1,2,fix,Zone3,timelimit_screen,1501.857,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,,,,,,,,,,,Slide38.jpeg,Slide38.jpeg,
8,1570645615914,09/10/2019 18:26:55,1570645616379,-4,09/10/2019 14:26:56,9792,18,task-b86o,,3166604,A315GZMPR49WIY,875944,,complete,ytpmhu,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order12,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 11 and 12 - 2,18,2,1,stim,Zone3,timelimit_screen,486.73599999999897,,,0,1,0,,,1,,1,trial,,,positive,block1,,,,,,,,,,,Slide67.jpeg,Slide67.jpeg,
9,1570645616055,09/10/2019 18:26:56,1570645616460,-4,09/10/2019 14:26:56,9792,18,task-b86o,,3166604,A315GZMPR49WIY,875944,,complete,ytpmhu,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order12,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 11 and 12 - 2,18,2,2,fix,advancementZone,response_keyboard,75.18999998865183,negative,1,0,1,0,,,,,1,trial,,,positive,block1,,,,,,,,,,,Slide67.jpeg,Slide67.jpeg,
10,1570645617414,09/10/2019 18:26:57,1570645617881,-4,09/10/2019 14:26:57,9792,18,task-b86o,,3166604,A315GZMPR49WIY,875944,,complete,ytpmhu,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order12,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 11 and 12 - 2,18,2,2,fix,Zone3,timelimit_screen,1501.8419999999987,,,0,1,0,,,1,,1,trial,,,positive,block1,,,,,,,,,,,Slide67.jpeg,Slide67.jpeg,
