Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1571930096104,24/10/2019 15:14:56,1571930096919,-7,24/10/2019 08:14:56,10365,2,task-6nyj,,3240905,1t2je5zr,899149,,complete,ketezg,,computer,Desktop or Laptop,Windows 7,Firefox 69.0,1024x768,1024x608,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,,,Continue,order9,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1571930112778,24/10/2019 15:15:12,1571930113644,-7,24/10/2019 08:15:13,10365,2,task-6nyj,,3240905,1t2je5zr,899149,,complete,ketezg,,computer,Desktop or Laptop,Windows 7,Firefox 69.0,1024x768,1024x608,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,,,Continue,order9,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders7 and 9,1,1,1,Screen 1,advancementZone,continue_button,16635,,,0,1,0,,,,,,congrats,,,,,,,,,,,,,,,,,
3,1571930115742,24/10/2019 15:15:15,1571930116628,-7,24/10/2019 08:15:16,10365,2,task-6nyj,,3240905,1t2je5zr,899149,,complete,ketezg,,computer,Desktop or Laptop,Windows 7,Firefox 69.0,1024x768,1024x608,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,,,Continue,order9,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders7 and 9,2,1,1,Screen 1,Zone1,timelimit_screen,2999.9999805492625,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1571930117273,24/10/2019 15:15:17,1571930118125,-7,24/10/2019 08:15:18,10365,2,task-6nyj,,3240905,1t2je5zr,899149,,complete,ketezg,,computer,Desktop or Laptop,Windows 7,Firefox 69.0,1024x768,1024x608,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,,,Continue,order9,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders7 and 9,3,1,1,Screen 1,Zone3,timelimit_screen,1499.9999902746313,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1571930118008,24/10/2019 15:15:18,1571930118868,-7,24/10/2019 08:15:18,10365,2,task-6nyj,,3240905,1t2je5zr,899149,,complete,ketezg,,computer,Desktop or Laptop,Windows 7,Firefox 69.0,1024x768,1024x608,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,,,Continue,order9,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders7 and 9,20,1,1,stim,advancementZone,response_keyboard,713,positive,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,28M_SP_O.jpg,,2485.jpg,,,,
6,1571930119243,24/10/2019 15:15:19,1571930120107,-7,24/10/2019 08:15:20,10365,2,task-6nyj,,3240905,1t2je5zr,899149,,complete,ketezg,,computer,Desktop or Laptop,Windows 7,Firefox 69.0,1024x768,1024x608,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,,,Continue,order9,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders7 and 9,20,1,1,stim,Zone1,fixation,1983.333320474234,,,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,28M_SP_O.jpg,,2485.jpg,,,,
7,1571930120320,24/10/2019 15:15:20,1571930121083,-7,24/10/2019 08:15:21,10365,2,task-6nyj,,3240905,1t2je5zr,899149,,complete,ketezg,,computer,Desktop or Laptop,Windows 7,Firefox 69.0,1024x768,1024x608,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,,,Continue,order9,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders7 and 9,11,2,1,stim,advancementZone,response_keyboard,952,negative,1,0,1,0,,,,,1,trial,,,positive,block1,,,,,,,07F_HA_O.jpg,,1441.jpg,,,,
8,1571930121243,24/10/2019 15:15:21,1571930122118,-7,24/10/2019 08:15:22,10365,2,task-6nyj,,3240905,1t2je5zr,899149,,complete,ketezg,,computer,Desktop or Laptop,Windows 7,Firefox 69.0,1024x768,1024x608,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,,,Continue,order9,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders7 and 9,11,2,1,stim,Zone3,timelimit_screen,1999.999987032843,,,0,1,0,,,1,,1,trial,,,positive,block1,,,,,,,07F_HA_O.jpg,,1441.jpg,,,,
9,1571930121945,24/10/2019 15:15:21,1571930122835,-7,24/10/2019 08:15:22,10365,2,task-6nyj,,3240905,1t2je5zr,899149,,complete,ketezg,,computer,Desktop or Laptop,Windows 7,Firefox 69.0,1024x768,1024x608,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,,,Continue,order9,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders7 and 9,9,3,1,stim,advancementZone,response_keyboard,692,negative,1,1,0,0,,,,,1,trial,,,negative,block1,,,,,,,AM10ANS.jpg,,9432.jpg,,,,
10,1571930123211,24/10/2019 15:15:23,1571930124100,-7,24/10/2019 08:15:24,10365,2,task-6nyj,,3240905,1t2je5zr,899149,,complete,ketezg,,computer,Desktop or Laptop,Windows 7,Firefox 69.0,1024x768,1024x608,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 7 and 9,,,order7,,,,,,,,Continue,order9,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders7 and 9,9,3,1,stim,Zone1,fixation,1983.333320474234,,,0,1,0,,,,,1,trial,,,negative,block1,,,,,,,AM10ANS.jpg,,9432.jpg,,,,
