Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1571929962642,24/10/2019 15:12:42,1571929957158,-4,24/10/2019 11:12:37,10365,2,task-71u8,,3240850,A2NAKIXS3DVGAA,899130,,complete,gxpwzf,,computer,Desktop or Laptop,Linux x86_64,Firefox 60.0,1600x900,1055x767,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order11,,,,order11,,,Continue,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1571930050295,24/10/2019 15:14:10,1571930044834,-4,24/10/2019 11:14:04,10365,2,task-71u8,,3240850,A2NAKIXS3DVGAA,899130,,complete,gxpwzf,,computer,Desktop or Laptop,Linux x86_64,Firefox 60.0,1600x900,1055x767,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order11,,,,order11,,,Continue,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 11 and 12,1,1,1,Screen 1,advancementZone,continue_button,87558,,,0,1,0,,,,,,congrats,,,,,,,,,,,,,,,,,
3,1571930053234,24/10/2019 15:14:13,1571930047811,-4,24/10/2019 11:14:07,10365,2,task-71u8,,3240850,A2NAKIXS3DVGAA,899130,,complete,gxpwzf,,computer,Desktop or Laptop,Linux x86_64,Firefox 60.0,1600x900,1055x767,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order11,,,,order11,,,Continue,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 11 and 12,2,1,1,Screen 1,Zone1,timelimit_screen,3000.394425999999,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1571930054718,24/10/2019 15:14:14,1571930049309,-4,24/10/2019 11:14:09,10365,2,task-71u8,,3240850,A2NAKIXS3DVGAA,899130,,complete,gxpwzf,,computer,Desktop or Laptop,Linux x86_64,Firefox 60.0,1600x900,1055x767,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order11,,,,order11,,,Continue,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 11 and 12,3,1,1,Screen 1,Zone3,timelimit_screen,1499.5082679999905,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1571930055859,24/10/2019 15:14:15,1571930050467,-4,24/10/2019 11:14:10,10365,2,task-71u8,,3240850,A2NAKIXS3DVGAA,899130,,complete,gxpwzf,,computer,Desktop or Laptop,Linux x86_64,Firefox 60.0,1600x900,1055x767,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order11,,,,order11,,,Continue,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 11 and 12,29,1,1,stim,advancementZone,response_keyboard,1127,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,,,,Slide46.jpeg,Slide46.jpeg,
6,1571930056717,24/10/2019 15:14:16,1571930051293,-4,24/10/2019 11:14:11,10365,2,task-71u8,,3240850,A2NAKIXS3DVGAA,899130,,complete,gxpwzf,,computer,Desktop or Laptop,Linux x86_64,Firefox 60.0,1600x900,1055x767,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order11,,,,order11,,,Continue,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 11 and 12,29,1,1,stim,Zone1,fixation,1983.2410590000072,,,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,,,,Slide46.jpeg,Slide46.jpeg,
7,1571930057452,24/10/2019 15:14:17,1571930052051,-4,24/10/2019 11:14:12,10365,2,task-71u8,,3240850,A2NAKIXS3DVGAA,899130,,complete,gxpwzf,,computer,Desktop or Laptop,Linux x86_64,Firefox 60.0,1600x900,1055x767,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order11,,,,order11,,,Continue,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 11 and 12,35,2,1,stim,advancementZone,response_keyboard,732,positive,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,,,,Slide52.jpeg,Slide52.jpeg,
8,1571930058707,24/10/2019 15:14:18,1571930053292,-4,24/10/2019 11:14:13,10365,2,task-71u8,,3240850,A2NAKIXS3DVGAA,899130,,complete,gxpwzf,,computer,Desktop or Laptop,Linux x86_64,Firefox 60.0,1600x900,1055x767,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order11,,,,order11,,,Continue,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 11 and 12,35,2,1,stim,Zone3,timelimit_screen,1999.8860070000082,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,,,,,,,,,,,Slide52.jpeg,Slide52.jpeg,
9,1571930059295,24/10/2019 15:14:19,1571930053898,-4,24/10/2019 11:14:13,10365,2,task-71u8,,3240850,A2NAKIXS3DVGAA,899130,,complete,gxpwzf,,computer,Desktop or Laptop,Linux x86_64,Firefox 60.0,1600x900,1055x767,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order11,,,,order11,,,Continue,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 11 and 12,19,3,1,stim,advancementZone,response_keyboard,567,positive,1,1,0,0,,,,,1,trial,,,positive,block1,,,,,,,,,,,Slide68.jpeg,Slide68.jpeg,
10,1571930060687,24/10/2019 15:14:20,1571930055275,-4,24/10/2019 11:14:15,10365,2,task-71u8,,3240850,A2NAKIXS3DVGAA,899130,,complete,gxpwzf,,computer,Desktop or Laptop,Linux x86_64,Firefox 60.0,1600x900,1055x767,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order11,,,,order11,,,Continue,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 11 and 12,19,3,1,stim,Zone1,fixation,1983.7032319999998,,,0,1,0,,,,,1,trial,,,positive,block1,,,,,,,,,,,Slide68.jpeg,Slide68.jpeg,
