Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1571930255349,24/10/2019 15:17:35,1571930255224,-5,24/10/2019 10:17:35,10365,2,task-pdjg,,3240963,A2PXNSTBTS22EY,899158,,complete,rcogdz,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 77.0.3865.120,1440x900,791x766,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 1 and 3,order3,,Continue,order1,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1571930264288,24/10/2019 15:17:44,1571930264216,-5,24/10/2019 10:17:44,10365,2,task-pdjg,,3240963,A2PXNSTBTS22EY,899158,,complete,rcogdz,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 77.0.3865.120,1440x900,869x766,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 1 and 3,order3,,Continue,order1,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,1,1,1,Screen 1,advancementZone,continue_button,8952.779999992345,,,0,1,0,,,,,,congrats,,,,,,,,,,,,,,,,,
3,1571930267256,24/10/2019 15:17:47,1571930267203,-5,24/10/2019 10:17:47,10365,2,task-pdjg,,3240963,A2PXNSTBTS22EY,899158,,complete,rcogdz,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 77.0.3865.120,1440x900,869x766,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 1 and 3,order3,,Continue,order1,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,2,1,1,Screen 1,Zone1,timelimit_screen,2999.879999999999,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1571930268787,24/10/2019 15:17:48,1571930268704,-5,24/10/2019 10:17:48,10365,2,task-pdjg,,3240963,A2PXNSTBTS22EY,899158,,complete,rcogdz,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 77.0.3865.120,1440x900,869x766,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 1 and 3,order3,,Continue,order1,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,3,1,1,Screen 1,Zone3,timelimit_screen,1499.9400000000005,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1571930269365,24/10/2019 15:17:49,1571930269301,-5,24/10/2019 10:17:49,10365,2,task-pdjg,,3240963,A2PXNSTBTS22EY,899158,,complete,rcogdz,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 77.0.3865.120,1440x900,869x766,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 1 and 3,order3,,Continue,order1,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,24,1,1,stim,advancementZone,response_keyboard,582.8999999794178,positive,1,0,1,0,,,,,1,trial,,,ambiguous,block1,AF34SUS.JPG,,7570.jpg,,,,,,,,,,
6,1571930270791,24/10/2019 15:17:50,1571930270689,-5,24/10/2019 10:17:50,10365,2,task-pdjg,,3240963,A2PXNSTBTS22EY,899158,,complete,rcogdz,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 77.0.3865.120,1440x900,869x766,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 1 and 3,order3,,Continue,order1,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,24,1,1,stim,Zone1,fixation,1983.253999999999,,,0,1,0,,,,,1,trial,,,ambiguous,block1,AF34SUS.JPG,,7570.jpg,,,,,,,,,,
7,1571930271537,24/10/2019 15:17:51,1571930271491,-5,24/10/2019 10:17:51,10365,2,task-pdjg,,3240963,A2PXNSTBTS22EY,899158,,complete,rcogdz,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 77.0.3865.120,1440x900,869x766,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 1 and 3,order3,,Continue,order1,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,25,2,1,stim,advancementZone,response_keyboard,790.9549999749288,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,AM06SUS.JPG,,7590.jpg,,,,,,,,,,
8,1571930272772,24/10/2019 15:17:52,1571930272689,-5,24/10/2019 10:17:52,10365,2,task-pdjg,,3240963,A2PXNSTBTS22EY,899158,,complete,rcogdz,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 77.0.3865.120,1440x900,869x766,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 1 and 3,order3,,Continue,order1,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,25,2,1,stim,Zone3,timelimit_screen,2000.1769999999997,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,AM06SUS.JPG,,7590.jpg,,,,,,,,,,
9,1571930273381,24/10/2019 15:17:53,1571930273316,-5,24/10/2019 10:17:53,10365,2,task-pdjg,,3240963,A2PXNSTBTS22EY,899158,,complete,rcogdz,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 77.0.3865.120,1440x900,869x766,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 1 and 3,order3,,Continue,order1,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,11,3,1,stim,advancementZone,response_keyboard,614.2300000065006,positive,1,1,0,0,,,,,1,trial,,,positive,block1,24M_HA_O.jpg,,2057.jpg,,,,,,,,,,
10,1571930274725,24/10/2019 15:17:54,1571930274671,-5,24/10/2019 10:17:54,10365,2,task-pdjg,,3240963,A2PXNSTBTS22EY,899158,,complete,rcogdz,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 77.0.3865.120,1440x900,869x766,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 1 and 3,order3,,Continue,order1,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,11,3,1,stim,Zone1,fixation,1983.2540000000008,,,0,1,0,,,,,1,trial,,,positive,block1,24M_HA_O.jpg,,2057.jpg,,,,,,,,,,
