Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1571931212103,24/10/2019 15:33:32,1571931212757,-4,24/10/2019 11:33:32,10365,2,task-rugu,,3241349,AE87K978IXPYP,899229,,complete,ybsjcf,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,2560x1440,2560x1326,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,Continue,,,,,,order8,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1571931213508,24/10/2019 15:33:33,1571931214260,-4,24/10/2019 11:33:34,10365,2,task-rugu,,3241349,AE87K978IXPYP,899229,,complete,ybsjcf,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,2560x1440,2560x1326,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,Continue,,,,,,order8,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,1,1,1,Screen 1,advancementZone,continue_button,1435,,,0,1,0,,,,,,progress2,1,,,,,,,,,,,,,,,,
3,1571931216531,24/10/2019 15:33:36,1571931217249,-4,24/10/2019 11:33:37,10365,2,task-rugu,,3241349,AE87K978IXPYP,899229,,complete,ybsjcf,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,2560x1440,2560x1326,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,Continue,,,,,,order8,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,2,1,1,Screen 1,Zone1,timelimit_screen,3002.4111111,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1571931218015,24/10/2019 15:33:38,1571931218748,-4,24/10/2019 11:33:38,10365,2,task-rugu,,3241349,AE87K978IXPYP,899229,,complete,ybsjcf,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,2560x1440,2560x1326,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,Continue,,,,,,order8,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,3,1,1,Screen 1,Zone3,timelimit_screen,1501.6668988000001,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1571931218648,24/10/2019 15:33:38,1571931219391,-4,24/10/2019 11:33:39,10365,2,task-rugu,,3241349,AE87K978IXPYP,899229,,complete,ybsjcf,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,2560x1440,2560x1326,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,Continue,,,,,,order8,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,17,1,1,stim,advancementZone,response_keyboard,616,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,06F_SP_O.jpg,,2704.jpg,,,
6,1571931219979,24/10/2019 15:33:39,1571931220735,-4,24/10/2019 11:33:40,10365,2,task-rugu,,3241349,AE87K978IXPYP,899229,,complete,ybsjcf,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,2560x1440,2560x1326,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,Continue,,,,,,order8,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,17,1,1,stim,Zone1,fixation,1984.8868790000006,,,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,06F_SP_O.jpg,,2704.jpg,,,
7,1571931220479,24/10/2019 15:33:40,1571931221241,-4,24/10/2019 11:33:41,10365,2,task-rugu,,3241349,AE87K978IXPYP,899229,,complete,ybsjcf,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,2560x1440,2560x1326,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,Continue,,,,,,order8,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,11,2,1,stim,advancementZone,response_keyboard,469,negative,1,0,1,0,,,,,1,trial,,,positive,block1,,,,,,,,24M_HA_O.jpg,,2057.jpg,,,
8,1571931221979,24/10/2019 15:33:41,1571931222736,-4,24/10/2019 11:33:42,10365,2,task-rugu,,3241349,AE87K978IXPYP,899229,,complete,ybsjcf,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,2560x1440,2560x1326,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,Continue,,,,,,order8,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,11,2,1,stim,Zone3,timelimit_screen,2001.6915678999994,,,0,1,0,,,1,,1,trial,,,positive,block1,,,,,,,,24M_HA_O.jpg,,2057.jpg,,,
9,1571931222465,24/10/2019 15:33:42,1571931223223,-4,24/10/2019 11:33:43,10365,2,task-rugu,,3241349,AE87K978IXPYP,899229,,complete,ybsjcf,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,2560x1440,2560x1326,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,Continue,,,,,,order8,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,12,3,1,stim,advancementZone,response_keyboard,447,negative,1,0,1,0,,,,,1,trial,,,positive,block1,,,,,,,,36M_HA_O.jpg,,2340.jpg,,,
10,1571931223958,24/10/2019 15:33:43,1571931224720,-4,24/10/2019 11:33:44,10365,2,task-rugu,,3241349,AE87K978IXPYP,899229,,complete,ybsjcf,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,2560x1440,2560x1326,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 8 and 10,,,,order8,,,,,Continue,,Continue,,,,,,order8,,,,,,,,,,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,12,3,1,stim,Zone1,fixation,1984.1434418999997,,,0,1,0,,,,,1,trial,,,positive,block1,,,,,,,,36M_HA_O.jpg,,2340.jpg,,,
