Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1571930063843,24/10/2019 15:14:23,1571930064535,-4,24/10/2019 11:14:24,10365,2,task-shzk,,3240892,A6YDORFZZXXPQ,899107,,complete,kdcddq,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1280x720,1280x584,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order10,,,Continue,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1571930068876,24/10/2019 15:14:28,1571930069618,-4,24/10/2019 11:14:29,10365,2,task-shzk,,3240892,A6YDORFZZXXPQ,899107,,complete,kdcddq,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1280x720,1280x584,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order10,,,Continue,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,1,1,1,Screen 1,advancementZone,continue_button,4988,,,0,1,0,,,,,,progress2,1,,,,,,,,,,,,,,,,
3,1571930071876,24/10/2019 15:14:31,1571930072610,-4,24/10/2019 11:14:32,10365,2,task-shzk,,3240892,A6YDORFZZXXPQ,899107,,complete,kdcddq,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1280x720,1280x584,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order10,,,Continue,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,2,1,1,Screen 1,Zone1,timelimit_screen,3000.475383000001,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1571930073360,24/10/2019 15:14:33,1571930074110,-4,24/10/2019 11:14:34,10365,2,task-shzk,,3240892,A6YDORFZZXXPQ,899107,,complete,kdcddq,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1280x720,1280x584,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order10,,,Continue,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,3,1,1,Screen 1,Zone3,timelimit_screen,1500.0001109999976,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1571930074907,24/10/2019 15:14:34,1571930075628,-4,24/10/2019 11:14:35,10365,2,task-shzk,,3240892,A6YDORFZZXXPQ,899107,,complete,kdcddq,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1280x720,1280x584,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order10,,,Continue,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,22,1,1,stim,advancementZone,response_keyboard,1473,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,AF03SUS.JPG,,6837.jpg,,,
6,1571930075360,24/10/2019 15:14:35,1571930076093,-4,24/10/2019 11:14:36,10365,2,task-shzk,,3240892,A6YDORFZZXXPQ,899107,,complete,kdcddq,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1280x720,1280x584,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order10,,,Continue,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,22,1,1,stim,Zone1,fixation,1983.333480100002,,,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,AF03SUS.JPG,,6837.jpg,,,
7,1571930076657,24/10/2019 15:14:36,1571930077414,-4,24/10/2019 11:14:37,10365,2,task-shzk,,3240892,A6YDORFZZXXPQ,899107,,complete,kdcddq,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1280x720,1280x584,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order10,,,Continue,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,25,2,1,stim,advancementZone,response_keyboard,1294,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,AM06SUS.JPG,,7590.jpg,,,
8,1571930077362,24/10/2019 15:14:37,1571930078092,-4,24/10/2019 11:14:38,10365,2,task-shzk,,3240892,A6YDORFZZXXPQ,899107,,complete,kdcddq,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1280x720,1280x584,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order10,,,Continue,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,25,2,1,stim,Zone3,timelimit_screen,2000.0001479999992,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,,,,,,,,AM06SUS.JPG,,7590.jpg,,,
9,1571930078156,24/10/2019 15:14:38,1571930078912,-4,24/10/2019 11:14:38,10365,2,task-shzk,,3240892,A6YDORFZZXXPQ,899107,,complete,kdcddq,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1280x720,1280x584,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order10,,,Continue,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,6,3,1,stim,advancementZone,response_keyboard,792,negative,1,1,0,0,,,,,1,trial,,,negative,block1,,,,,,,,09F_AN_C.jpg,,9424.jpg,,,
10,1571930079331,24/10/2019 15:14:39,1571930080075,-4,24/10/2019 11:14:40,10365,2,task-shzk,,3240892,A6YDORFZZXXPQ,899107,,complete,kdcddq,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1280x720,1280x584,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 8 and 10,,,,,,,,,,,,order8,,order10,,,Continue,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,orders 8 and 10 - 2,6,3,1,stim,Zone1,fixation,1983.3334801,,,0,1,0,,,,,1,trial,,,negative,block1,,,,,,,,09F_AN_C.jpg,,9424.jpg,,,
