Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1571930775682,24/10/2019 15:26:15,1571930792225,-4,24/10/2019 11:26:32,10365,2,task-uyls,,3241188,ARI1EMAHUA9PO,899187,,complete,axdmex,,computer,Desktop or Laptop,Windows 8.1,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order1,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1571930791363,24/10/2019 15:26:31,1571930807988,-4,24/10/2019 11:26:47,10365,2,task-uyls,,3241188,ARI1EMAHUA9PO,899187,,complete,axdmex,,computer,Desktop or Laptop,Windows 8.1,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order1,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,1,1,1,Screen 1,advancementZone,continue_button,15691.74500007648,,,0,1,0,,,,,,congrats,,,,,,,,,,,,,,,,,
3,1571930794316,24/10/2019 15:26:34,1571930810968,-4,24/10/2019 11:26:50,10365,2,task-uyls,,3241188,ARI1EMAHUA9PO,899187,,complete,axdmex,,computer,Desktop or Laptop,Windows 8.1,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order1,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,2,1,1,Screen 1,Zone1,timelimit_screen,2995.957000000002,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1571930796147,24/10/2019 15:26:36,1571930812465,-4,24/10/2019 11:26:52,10365,2,task-uyls,,3241188,ARI1EMAHUA9PO,899187,,complete,axdmex,,computer,Desktop or Laptop,Windows 8.1,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order1,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,3,1,1,Screen 1,Zone3,timelimit_screen,1497.815999999999,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1571930796738,24/10/2019 15:26:36,1571930813386,-4,24/10/2019 11:26:53,10365,2,task-uyls,,3241188,ARI1EMAHUA9PO,899187,,complete,axdmex,,computer,Desktop or Laptop,Windows 8.1,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order1,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,24,1,1,stim,advancementZone,response_keyboard,900.3600000869483,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,AF34SUS.JPG,,7570.jpg,,,,,,,,,,
6,1571930796848,24/10/2019 15:26:36,1571930813405,-4,24/10/2019 11:26:53,10365,2,task-uyls,,3241188,ARI1EMAHUA9PO,899187,,complete,axdmex,,computer,Desktop or Laptop,Windows 8.1,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order1,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,24,1,1,stim,advancementZone,response_keyboard,919.385000015609,positive,2,0,1,0,,,,,1,trial,,,ambiguous,block1,AF34SUS.JPG,,7570.jpg,,,,,,,,,,
7,1571930797854,24/10/2019 15:26:37,1571930814445,-4,24/10/2019 11:26:54,10365,2,task-uyls,,3241188,ARI1EMAHUA9PO,899187,,complete,axdmex,,computer,Desktop or Laptop,Windows 8.1,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order1,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,24,1,1,stim,Zone1,fixation,1979.8359999999993,,,0,1,0,,,,,1,trial,,,ambiguous,block1,AF34SUS.JPG,,7570.jpg,,,,,,,,,,
8,1571930798387,24/10/2019 15:26:38,1571930815036,-4,24/10/2019 11:26:55,10365,2,task-uyls,,3241188,ARI1EMAHUA9PO,899187,,complete,axdmex,,computer,Desktop or Laptop,Windows 8.1,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order1,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,6,2,1,stim,advancementZone,response_keyboard,568.7400000169873,negative,1,1,0,0,,,,,1,trial,,,negative,block1,09F_AN_C.jpg,,9424.jpg,,,,,,,,,,
9,1571930799776,24/10/2019 15:26:39,1571930816442,-4,24/10/2019 11:26:56,10365,2,task-uyls,,3241188,ARI1EMAHUA9PO,899187,,complete,axdmex,,computer,Desktop or Laptop,Windows 8.1,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order1,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,6,2,1,stim,Zone3,timelimit_screen,1996.941999999999,,,0,1,0,,,1,,1,trial,,,negative,block1,09F_AN_C.jpg,,9424.jpg,,,,,,,,,,
10,1571930800432,24/10/2019 15:26:40,1571930817096,-4,24/10/2019 11:26:57,10365,2,task-uyls,,3241188,ARI1EMAHUA9PO,899187,,complete,axdmex,,computer,Desktop or Laptop,Windows 8.1,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",3,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,ACCEPT,,,,,,,,≥38,≤42,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order1,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,orders 1 and 3,7,3,1,stim,advancementZone,response_keyboard,640.030000009574,negative,1,1,0,0,,,,,1,trial,,,negative,block1,20M_AN_C.jpg,,9561.jpg,,,,,,,,,,
