Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,counterbalance-sg3w,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,branch-8rrr,branch-5rfv,branch-59ox,branch-njci,branch-di17,branch-gjr2,branch-1dat,branch-drsz,branch-21pl,branch-y4xh,branch-qzep,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1572544692711,31/10/2019 17:58:12,1572544694310,-4,31/10/2019 13:58:14,10365,4,task-dko9,,3270335,A28RR7H7BMA8IW,908639,,complete,kiuzbb,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1366x616,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 11 and 12,,,,,,,,order11,,,,order11,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,,Continue,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1572544697863,31/10/2019 17:58:17,1572544699493,-4,31/10/2019 13:58:19,10365,4,task-dko9,,3270335,A28RR7H7BMA8IW,908639,,complete,kiuzbb,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1366x616,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 11 and 12,,,,,,,,order11,,,,order11,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,,Continue,orders 11 and 12 - 2,1,1,1,Screen 1,advancementZone,continue_button,4948.709999996936,,,0,1,0,,,,,,progress2,1,,,,,,,,,,,,,,,,
3,1572544701132,31/10/2019 17:58:21,1572544702465,-4,31/10/2019 13:58:22,10365,4,task-dko9,,3270335,A28RR7H7BMA8IW,908639,,complete,kiuzbb,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1366x616,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 11 and 12,,,,,,,,order11,,,,order11,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,,Continue,orders 11 and 12 - 2,2,1,1,Screen 1,Zone1,timelimit_screen,2997.5419999999995,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1572544702307,31/10/2019 17:58:22,1572544703970,-4,31/10/2019 13:58:23,10365,4,task-dko9,,3270335,A28RR7H7BMA8IW,908639,,complete,kiuzbb,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1366x616,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 11 and 12,,,,,,,,order11,,,,order11,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,,Continue,orders 11 and 12 - 2,3,1,1,Screen 1,Zone3,timelimit_screen,1499.9210000000003,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1572544703589,31/10/2019 17:58:23,1572544705250,-4,31/10/2019 13:58:25,10365,4,task-dko9,,3270335,A28RR7H7BMA8IW,908639,,complete,kiuzbb,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1366x616,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 11 and 12,,,,,,,,order11,,,,order11,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,,Continue,orders 11 and 12 - 2,23,1,1,stim,advancementZone,response_keyboard,1219.455000005837,positive,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,,,,Slide8.jpeg,Slide8.jpeg,
6,1572544704276,31/10/2019 17:58:24,1572544705946,-4,31/10/2019 13:58:25,10365,4,task-dko9,,3270335,A28RR7H7BMA8IW,908639,,complete,kiuzbb,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1366x616,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 11 and 12,,,,,,,,order11,,,,order11,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,,Continue,orders 11 and 12 - 2,23,1,1,stim,Zone1,fixation,1981.7610000000004,,,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,,,,Slide8.jpeg,Slide8.jpeg,
7,1572544705480,31/10/2019 17:58:25,1572544707130,-4,31/10/2019 13:58:27,10365,4,task-dko9,,3270335,A28RR7H7BMA8IW,908639,,complete,kiuzbb,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1366x616,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 11 and 12,,,,,,,,order11,,,,order11,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,,Continue,orders 11 and 12 - 2,20,2,1,stim,advancementZone,response_keyboard,1127.89000000339,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,,,,Slide5.jpeg,Slide5.jpeg,
8,1572544706276,31/10/2019 17:58:26,1572544707946,-4,31/10/2019 13:58:27,10365,4,task-dko9,,3270335,A28RR7H7BMA8IW,908639,,complete,kiuzbb,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1366x616,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 11 and 12,,,,,,,,order11,,,,order11,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,,Continue,orders 11 and 12 - 2,20,2,1,stim,Zone3,timelimit_screen,1998.4279999999999,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,,,,,,,,,,,Slide5.jpeg,Slide5.jpeg,
9,1572544707484,31/10/2019 17:58:27,1572544709145,-4,31/10/2019 13:58:29,10365,4,task-dko9,,3270335,A28RR7H7BMA8IW,908639,,complete,kiuzbb,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1366x616,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 11 and 12,,,,,,,,order11,,,,order11,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,,Continue,orders 11 and 12 - 2,29,3,1,stim,advancementZone,response_keyboard,1157.7199999956065,positive,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,,,,Slide14.jpeg,Slide14.jpeg,
10,1572544708281,31/10/2019 17:58:28,1572544709926,-4,31/10/2019 13:58:29,10365,4,task-dko9,,3270335,A28RR7H7BMA8IW,908639,,complete,kiuzbb,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1366x616,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 11 and 12,,,,,,,,order11,,,,order11,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,,Continue,orders 11 and 12 - 2,29,3,1,stim,Zone1,fixation,1981.2440000000006,,,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,,,,Slide14.jpeg,Slide14.jpeg,
