Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,counterbalance-sg3w,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,branch-8rrr,branch-5rfv,branch-59ox,branch-njci,branch-di17,branch-gjr2,branch-1dat,branch-drsz,branch-21pl,branch-y4xh,branch-qzep,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1572543994545,31/10/2019 17:46:34,1572543984541,-4,31/10/2019 13:46:24,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1572543998911,31/10/2019 17:46:38,1572543988997,-4,31/10/2019 13:46:28,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,orders 5 and 6 - 2,1,1,1,Screen 1,advancementZone,continue_button,4428.779999998369,,,0,1,0,,,,,,progress2,1,,,,,,,,,,,,,,,,
3,1572544001851,31/10/2019 17:46:41,1572543991982,-4,31/10/2019 13:46:31,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,orders 5 and 6 - 2,2,1,1,Screen 1,Zone1,timelimit_screen,3004.3830000000007,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1572544003383,31/10/2019 17:46:43,1572543993479,-4,31/10/2019 13:46:33,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,orders 5 and 6 - 2,3,1,1,Screen 1,Zone3,timelimit_screen,1498.1539999999986,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1572544004391,31/10/2019 17:46:44,1572543994504,-4,31/10/2019 13:46:34,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,orders 5 and 6 - 2,18,1,1,stim,advancementZone,response_keyboard,1014.2849999974715,positive,1,1,0,0,,,,,1,trial,,,positive,block1,,,,,Slide67.jpeg,Slide67.jpeg,,,,,,,
6,1572544005344,31/10/2019 17:46:45,1572543995459,-4,31/10/2019 13:46:35,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,orders 5 and 6 - 2,18,1,1,stim,Zone1,fixation,1980.5390000000007,,,0,1,0,,,,,1,trial,,,positive,block1,,,,,Slide67.jpeg,Slide67.jpeg,,,,,,,
7,1572544005907,31/10/2019 17:46:45,1572543996021,-4,31/10/2019 13:46:36,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,orders 5 and 6 - 2,16,2,1,stim,advancementZone,response_keyboard,553.0550000003132,positive,1,1,0,0,,,,,1,trial,,,positive,block1,,,,,Slide65.jpeg,Slide65.jpeg,,,,,,,
8,1572544007334,31/10/2019 17:46:47,1572543997465,-4,31/10/2019 13:46:37,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,orders 5 and 6 - 2,16,2,1,stim,Zone3,timelimit_screen,2005.9580000000005,,,0,1,0,,,1,,1,trial,,,positive,block1,,,,,Slide65.jpeg,Slide65.jpeg,,,,,,,
9,1572544007912,31/10/2019 17:46:47,1572543998030,-4,31/10/2019 13:46:38,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,orders 5 and 6 - 2,15,3,1,stim,advancementZone,response_keyboard,557.0550000011281,positive,1,1,0,0,,,,,1,trial,,,positive,block1,,,,,Slide64.jpeg,Slide64.jpeg,,,,,,,
10,1572544009334,31/10/2019 17:46:49,1572543999442,-4,31/10/2019 13:46:39,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,orders 5 and 6 - 2,15,3,1,stim,Zone1,fixation,1977.1129999999994,,,0,1,0,,,,,1,trial,,,positive,block1,,,,,Slide64.jpeg,Slide64.jpeg,,,,,,,
11,1572544010083,31/10/2019 17:46:50,1572544000198,-4,31/10/2019 13:46:40,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,orders 5 and 6 - 2,11,4,1,stim,advancementZone,response_keyboard,748.7500000024738,negative,1,1,0,0,,,,,1,trial,,,negative,block1,,,,,Slide60.jpeg,Slide60.jpeg,,,,,,,
12,1572544011325,31/10/2019 17:46:51,1572544001445,-4,31/10/2019 13:46:41,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,orders 5 and 6 - 2,11,4,1,stim,Zone3,timelimit_screen,2003.1509999999998,,,0,1,0,,,1,,1,trial,,,negative,block1,,,,,Slide60.jpeg,Slide60.jpeg,,,,,,,
13,1572544011950,31/10/2019 17:46:51,1572544002069,-4,31/10/2019 13:46:42,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,orders 5 and 6 - 2,9,5,1,stim,advancementZone,response_keyboard,616.2850000000617,negative,1,1,0,0,,,,,1,trial,,,negative,block1,,,,,Slide58.jpeg,Slide58.jpeg,,,,,,,
14,1572544013310,31/10/2019 17:46:53,1572544003432,-4,31/10/2019 13:46:43,10365,4,task-jpit,,3270263,A2OSR830K1W0QL,908617,,complete,eholny,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.70,1280x720,1280x578,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,Continue,,,order6,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,Continue,,,,,,,,,,orders 5 and 6 - 2,9,5,1,stim,Zone1,fixation,1986.795000000002,,,0,1,0,,,,,1,trial,,,negative,block1,,,,,Slide58.jpeg,Slide58.jpeg,,,,,,,
