Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,counterbalance-sg3w,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,branch-8rrr,branch-5rfv,branch-59ox,branch-njci,branch-di17,branch-gjr2,branch-1dat,branch-drsz,branch-21pl,branch-y4xh,branch-qzep,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1578283028231,06/01/2020 03:57:08,1578283026864,-8,05/01/2020 19:57:06,10365,5,task-shzk,,3651530,A3RP4I76FH4Z7D,1029207,,complete,yrxcau,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.88,1366x768,1366x625,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,ACCEPT,,,,≥38,≥43,≥48,≥53,≥58,≤62,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order10,,order10,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1578283032561,06/01/2020 03:57:12,1578283031267,-8,05/01/2020 19:57:11,10365,5,task-shzk,,3651530,A3RP4I76FH4Z7D,1029207,,complete,yrxcau,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.88,1366x768,1366x625,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,ACCEPT,,,,≥38,≥43,≥48,≥53,≥58,≤62,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order10,,order10,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,orders 8 and 10 - 2,1,1,1,Screen 1,advancementZone,continue_button,4282.284999964759,,,0,1,0,,,,,,progress2,1,,,,,,,,,,,,,,,,
3,1578283035513,06/01/2020 03:57:15,1578283034236,-8,05/01/2020 19:57:14,10365,5,task-shzk,,3651530,A3RP4I76FH4Z7D,1029207,,complete,yrxcau,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.88,1366x768,1366x625,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,ACCEPT,,,,≥38,≥43,≥48,≥53,≥58,≤62,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order10,,order10,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,orders 8 and 10 - 2,2,1,1,Screen 1,Zone1,timelimit_screen,2995.684000000001,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1578283037032,06/01/2020 03:57:17,1578283035733,-8,05/01/2020 19:57:15,10365,5,task-shzk,,3651530,A3RP4I76FH4Z7D,1029207,,complete,yrxcau,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.88,1366x768,1366x625,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,ACCEPT,,,,≥38,≥43,≥48,≥53,≥58,≤62,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order10,,order10,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,orders 8 and 10 - 2,3,1,1,Screen 1,Zone3,timelimit_screen,1497.5109999999986,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1578283037829,06/01/2020 03:57:17,1578283036554,-8,05/01/2020 19:57:16,10365,5,task-shzk,,3651530,A3RP4I76FH4Z7D,1029207,,complete,yrxcau,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.88,1366x768,1366x625,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,ACCEPT,,,,≥38,≥43,≥48,≥53,≥58,≤62,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order10,,order10,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,orders 8 and 10 - 2,10,1,1,stim,advancementZone,response_keyboard,776.4850000385195,positive,1,1,0,0,,,,,1,trial,,,positive,block1,,,,,,,,03F_HA_O.jpg,,1460.jpg,,,
6,1578283038986,06/01/2020 03:57:18,1578283037712,-8,05/01/2020 19:57:17,10365,5,task-shzk,,3651530,A3RP4I76FH4Z7D,1029207,,complete,yrxcau,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.88,1366x768,1366x625,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,ACCEPT,,,,≥38,≥43,≥48,≥53,≥58,≤62,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order10,,order10,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,orders 8 and 10 - 2,10,1,1,stim,Zone1,fixation,1980.0340000000015,,,0,1,0,,,,,1,trial,,,positive,block1,,,,,,,,03F_HA_O.jpg,,1460.jpg,,,
7,1578283039744,06/01/2020 03:57:19,1578283038462,-8,05/01/2020 19:57:18,10365,5,task-shzk,,3651530,A3RP4I76FH4Z7D,1029207,,complete,yrxcau,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.88,1366x768,1366x625,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,ACCEPT,,,,≥38,≥43,≥48,≥53,≥58,≤62,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order10,,order10,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,orders 8 and 10 - 2,9,2,1,stim,advancementZone,response_keyboard,712.305000051856,negative,1,1,0,0,,,,,1,trial,,,negative,block1,,,,,,,,AM28ANS.jpg,,9910.jpg,,,
8,1578283040978,06/01/2020 03:57:20,1578283039710,-8,05/01/2020 19:57:19,10365,5,task-shzk,,3651530,A3RP4I76FH4Z7D,1029207,,complete,yrxcau,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.88,1366x768,1366x625,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,ACCEPT,,,,≥38,≥43,≥48,≥53,≥58,≤62,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order10,,order10,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,orders 8 and 10 - 2,9,2,1,stim,Zone3,timelimit_screen,1997.0609999999997,,,0,1,0,,,1,,1,trial,,,negative,block1,,,,,,,,AM28ANS.jpg,,9910.jpg,,,
9,1578283041540,06/01/2020 03:57:21,1578283040263,-8,05/01/2020 19:57:20,10365,5,task-shzk,,3651530,A3RP4I76FH4Z7D,1029207,,complete,yrxcau,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.88,1366x768,1366x625,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,ACCEPT,,,,≥38,≥43,≥48,≥53,≥58,≤62,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order10,,order10,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,orders 8 and 10 - 2,19,3,1,stim,advancementZone,response_keyboard,531.6599999787286,positive,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,08F_SP_O.jpg,,3310.jpg,,,
10,1578283042981,06/01/2020 03:57:22,1578283041689,-8,05/01/2020 19:57:21,10365,5,task-shzk,,3651530,A3RP4I76FH4Z7D,1029207,,complete,yrxcau,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.88,1366x768,1366x625,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,ACCEPT,,,,≥38,≥43,≥48,≥53,≥58,≤62,,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 8 and 10,,,,,,,,,order10,,order10,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,,,,,,,,Continue,,orders 8 and 10 - 2,19,3,1,stim,Zone1,fixation,1980.139000000001,,,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,,08F_SP_O.jpg,,3310.jpg,,,
