Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,counterbalance-sg3w,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,branch-8rrr,branch-5rfv,branch-59ox,branch-njci,branch-di17,branch-gjr2,branch-1dat,branch-drsz,branch-21pl,branch-y4xh,branch-qzep,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1574787406856,26/11/2019 16:56:46,1574787408279,-5,26/11/2019 11:56:48,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1574787429544,26/11/2019 16:57:09,1574787430962,-5,26/11/2019 11:57:10,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,1,1,1,Screen 1,advancementZone,continue_button,22547.700072327418,,,0,1,0,,,,,,progress2,1,,,,,,,,,,,,,,,,
3,1574787432496,26/11/2019 16:57:12,1574787433954,-5,26/11/2019 11:57:13,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,2,1,1,Screen 1,Zone1,timelimit_screen,3007.668764754373,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1574787434597,26/11/2019 16:57:14,1574787435441,-5,26/11/2019 11:57:15,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,3,1,1,Screen 1,Zone3,timelimit_screen,1492.4701824840413,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1574787435192,26/11/2019 16:57:15,1574787436648,-5,26/11/2019 11:57:16,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,11,1,1,stim,advancementZone,response_keyboard,1169.2003095201799,positive,1,1,0,0,,,,,1,trial,,,positive,block1,,07F_HA_O.jpg,,1441.jpg,,,,,,,,,
6,1574787435972,26/11/2019 16:57:15,1574787437423,-5,26/11/2019 11:57:17,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,11,1,1,stim,Zone1,fixation,1979.1410721487046,,,0,1,0,,,,,1,trial,,,positive,block1,,07F_HA_O.jpg,,1441.jpg,,,,,,,,,
7,1574787437035,26/11/2019 16:57:17,1574787438491,-5,26/11/2019 11:57:18,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,6,2,1,stim,advancementZone,response_keyboard,1017.4998666667925,negative,1,1,0,0,,,,,1,trial,,,negative,block1,,36M_AN_C.jpg,,9220.jpg,,,,,,,,,
8,1574787437989,26/11/2019 16:57:17,1574787439429,-5,26/11/2019 11:57:19,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,6,2,1,stim,Zone3,timelimit_screen,2004.535200434897,,,0,1,0,,,1,,1,trial,,,negative,block1,,36M_AN_C.jpg,,9220.jpg,,,,,,,,,
9,1574787438989,26/11/2019 16:57:18,1574787440453,-5,26/11/2019 11:57:20,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,22,3,1,stim,advancementZone,response_keyboard,982.799548257728,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,AF01SUS.JPG,,4233.jpg,,,,,,,,,
10,1574787439948,26/11/2019 16:57:19,1574787441408,-5,26/11/2019 11:57:21,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,22,3,1,stim,Zone1,fixation,1983.8344010906185,,,0,1,0,,,,,1,trial,,,ambiguous,block1,,AF01SUS.JPG,,4233.jpg,,,,,,,,,
11,1574787440782,26/11/2019 16:57:20,1574787442234,-5,26/11/2019 11:57:22,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,7,4,1,stim,advancementZone,response_keyboard,792.0001946197008,negative,1,1,0,0,,,,,1,trial,,,negative,block1,,AF07ANS.jpg,,9295.jpg,,,,,,,,,
12,1574787441957,26/11/2019 16:57:21,1574787443409,-5,26/11/2019 11:57:23,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,7,4,1,stim,Zone3,timelimit_screen,1996.9394180683812,,,0,1,0,,,1,,1,trial,,,negative,block1,,AF07ANS.jpg,,9295.jpg,,,,,,,,,
13,1574787442800,26/11/2019 16:57:22,1574787444260,-5,26/11/2019 11:57:24,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,15,5,1,stim,advancementZone,response_keyboard,799.7999534035553,positive,1,1,0,0,,,,,1,trial,,,positive,block1,,AM14HAS.jpg,,7502.jpg,,,,,,,,,
14,1574787443956,26/11/2019 16:57:23,1574787445404,-5,26/11/2019 11:57:25,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,15,5,1,stim,Zone3,timelimit_screen,1994.7817592685315,,,0,1,0,,,1,,1,trial,,,positive,block1,,AM14HAS.jpg,,7502.jpg,,,,,,,,,
15,1574787444894,26/11/2019 16:57:24,1574787446331,-5,26/11/2019 11:57:26,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,13,6,1,stim,advancementZone,response_keyboard,883.8999916725224,positive,1,1,0,0,,,,,1,trial,,,positive,block1,,28M_HA_O.jpg,,2091.jpg,,,,,,,,,
16,1574787445925,26/11/2019 16:57:25,1574787447376,-5,26/11/2019 11:57:27,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,13,6,1,stim,Zone1,fixation,1975.0325379812493,,,0,1,0,,,,,1,trial,,,positive,block1,,28M_HA_O.jpg,,2091.jpg,,,,,,,,,
17,1574787446741,26/11/2019 16:57:26,1574787448202,-5,26/11/2019 11:57:28,10365,5,task-tahj,,3423003,A2UFHATEG76AO5,969943,,complete,bzbhbt,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,,,,,Orders 2 and 4,order4,,,,,,,,Continue,,order4,,,,,,,,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Continue,,,,,,,,,,,orders 2 and 4 -2,12,7,1,stim,advancementZone,response_keyboard,778.1999736140642,positive,1,1,0,0,,,,,1,trial,,,positive,block1,,08F_HA_O.jpg,,1710.jpg,,,,,,,,,
