"Participant.Public.ID","sur_rate","hap_rate","ang_rate","amb_rate","pos_rate","neg_rate","amw_rate","pow_rate","new_rate","all_amb_rate","all_pos_rate","all_neg_rate","sur_rt","hap_rt","ang_rt","amb_rt","pos_rt","neg_rt","amw_rt","pow_rt","new_rt","sur_neg_rt","sur_pos_rt","amb_neg_rt","amb_pos_rt","amw_neg_rt","amw_pos_rt","face_bad","iaps_bad","word_bad","bad","sex","age","race","Participant.Completion.Code"
"01uh8i8r",0.291666666666667,0.0833333333333333,0.818181818181818,0.391304347826087,0,1,0.516129032258065,0.0625,1,0.41025641025641,0.05,0.947368421052632,726.783333331696,611.853333333177,658.49499999736,754.168478262094,705.618750002031,649.315000001176,781.056129029997,672.267500000089,679.034666664666,678.396428569353,746.707352939719,718.295000003612,777.22999999969,774.723437495595,787.811000000026,0,0,0,0,"Female",23,"Hispanic or Latino","cekhdw"
"0jepq2m5",0.916666666666667,0,1,0.333333333333333,0,0.916666666666667,0.428571428571429,0,0.857142857142857,0.552631578947368,0,0.921052631578947,771.137291664975,791.873750010079,678.000833329861,1011.97708333105,914.125833349923,941.640416674393,1001.54267857267,868.936562503223,985.994285716775,754.811136361571,950.725000002421,1013.72187500237,1011.10468749539,1030.41125000163,979.891250000946,0,0,0,0,"Female",51,"White - not of Hispanic Origin","plngbl"
"15ansyby",0.565217391304348,0,0.833333333333333,0.608695652173913,0.166666666666667,0.909090909090909,0.482758620689655,0,1,0.546666666666667,0.05,0.923076923076923,674.632826096216,563.710416676865,633.517083343274,673.216521734898,599.817916673298,617.168181808665,722.943448272919,627.039687518845,589.254687496577,640.577692314624,718.904500012286,628.75357143847,742.381111084897,710.709642851725,734.361666666033,0,0,0,0,"Female",54,"White - not of Hispanic Origin","apzawz"
"16j9g5bb",0.0833333333333333,0.0833333333333333,0.916666666666667,0.166666666666667,0,0.833333333333333,0.548387096774194,0,1,0.291139240506329,0.025,0.923076923076923,660.020833333116,591.899999998835,598.708333333586,817.687499999617,693.67499999953,731.658333333447,819.125806451813,696.787500000255,690.31999999958,654.899999999543,660.486363636168,805.999999999586,820.024999999623,799.258823529645,843.250000000158,0,0,0,0,"Female",34,"Asian","ysyknb"
"1ip3k464",0.666666666666667,0.0833333333333333,0.833333333333333,0.666666666666667,0.0833333333333333,0.916666666666667,0.32258064516129,0.125,0.933333333333333,0.531645569620253,0.1,0.897435897435897,820.342708336587,712.811666662068,733.874166672952,855.009583331897,742.240833334411,748.786250003226,878.261290320698,769.102500000372,874.741666665068,851.290625001639,758.446875006484,819.065624998984,926.897499997722,930.683000001591,853.298571425036,0,0,0,0,"Male",35,"White - not of Hispanic Origin","izpglr"
"1krfn3nk",0.625,0.166666666666667,0.75,0.583333333333333,0.166666666666667,0.833333333333333,0.413793103448276,0.0625,0.8125,0.532467532467532,0.125,0.8,480.006874985217,476.857916762432,505.58333331719,473.217291738062,444.401666638441,468.577083277826,513.995862068159,471.924687561113,508.290312485769,496.433333338549,452.62944439633,479.255000062819,464.764500083402,511.835000050875,515.5211764333,0,0,0,0,"Female",43,"White - not of Hispanic Origin","hwsums"
"1p5enr98",0.5,0.166666666666667,0.727272727272727,0.521739130434783,0.0833333333333333,0.818181818181818,0.59375,0.0625,0.9375,0.544303797468354,0.1,0.842105263157895,859.859375002998,787.127083337206,761.01045454429,902.490869565594,727.529583331489,771.042727267327,969.465468749149,776.169999999183,825.315000001865,758.24666666449,961.472083341505,869.773333327127,938.182727280285,964.809210526781,976.270769227995,0,0,0,0,"Female",40,"Hispanic or Latino","qgjmfh"
"1t2je5zr",0.217391304347826,0.0909090909090909,0.909090909090909,0.125,0,0.833333333333333,0.166666666666667,0,0.8125,0.168831168831169,0.0256410256410256,0.846153846153846,762.217391304348,750.181818181818,682.363636363636,710.875,740,705.416666666667,789.9,647.375,781.9375,913.4,720.222222222222,749,705.428571428571,796.4,788.6,0,0,0,0,"Male",44,"White - not of Hispanic Origin","ketezg"
"27j0t8d4",0.166666666666667,0,0.75,0.260869565217391,0.0909090909090909,0.7,0.28125,0,1,0.240506329113924,0.0263157894736842,0.842105263157895,671.610208333126,674.775833333115,668.019999997341,807.347608696664,742.682727274686,855.491000002075,875.344062500517,680.051333334025,791.861562496706,666.208750000805,672.69049999959,868.757500000355,785.673529413009,846.126666667664,886.776956522068,0,0,0,0,"Female",38,"White - not of Hispanic Origin","unopyq"
"2fxiswvf",0.625,0.0833333333333333,0.916666666666667,0.666666666666667,0.0833333333333333,0.916666666666667,0.233333333333333,0,1,0.487179487179487,0.05,0.95,958.399999998315,850.642916661551,890.218750001319,745.480208330264,716.866250001961,813.107916672986,1137.98933333407,930.384999996023,979.329062498437,876.937999999305,1094.16999999666,764.457812494584,707.525000001624,1203.37714285623,1118.08869565341,0,0,0,0,"Female",35,"White - not of Hispanic Origin","nhkqcx"
"2ga95a98",0.863636363636364,0.333333333333333,0.916666666666667,0.875,0.363636363636364,0.916666666666667,NA,NA,NA,NA,NA,NA,483.514545453628,470.363750025475,520.265416669038,468.577291700058,450.209999964996,459.502916647276,NA,NA,NA,471.127631571634,561.965000039588,461.578571459367,517.568333384891,NA,NA,0,0,1,1,"Male",31,"Asian","myaazl"
"2i4b7qxt",0.916666666666667,0.0833333333333333,1,0.521739130434783,0,0.833333333333333,0.21875,0,1,0.518987341772152,0.0256410256410256,0.947368421052632,526.108125016132,539.751250015494,508.205909091471,656.713913032866,598.42090907676,604.744166688761,581.288124991261,532.866250003281,587.886333318117,526.780909107236,518.707500013988,678.059583316402,633.427727269009,580.790714260989,581.427399995737,0,0,0,0,"Male",53,"White - not of Hispanic Origin","srshwn"
"2j5sot2h",0.375,0,0.916666666666667,0.458333333333333,0,0.916666666666667,0.296296296296296,0,1,0.373333333333333,0,0.95,923.491250025108,754.527916549705,886.083333364998,821.426666652163,803.892083349637,861.544166730406,919.767962941141,791.799687518505,871.175312524429,933.191111156096,917.671333346516,908.179090866311,748.020769240191,926.888749876524,916.769736863085,0,0,0,0,"Female",69,"White - not of Hispanic Origin","shqemc"
"3c5he0pd",0.565217391304348,0,0.916666666666667,0.333333333333333,0,0.916666666666667,0.366666666666667,0,0.9375,0.415584415584416,0,0.925,884.078913043437,742.566249999982,643.021250000101,758.243124999921,718.90666666665,676.250416666562,861.890666666687,726.377500000184,801.540937499965,835.171923076883,947.657999999957,673.023124999986,800.853124999889,962.670909090862,803.544210526375,0,0,0,0,"Male",51,"White - not of Hispanic Origin","zugwbc"
"3e1djr75",0.91304347826087,0,1,0.380952380952381,0,0.916666666666667,0.3,0,1,0.513513513513513,0,0.975,707.955217393844,698.981666646432,733.713749999879,866.169761902364,718.176666671449,788.669999999305,807.425333338324,665.836250005668,668.563124992943,698.272380955695,809.624999994412,917.338749990449,834.681153848158,833.856666667593,796.097619054351,0,0,0,0,"Female",33,"Asian","oxstuc"
"460h2czb",0.409090909090909,0,0.818181818181818,0.363636363636364,0,1,NA,NA,NA,NA,NA,NA,916.940227272705,867.129999999939,852.902272727263,940.04931818183,850.205833333339,839.747916666662,NA,NA,NA,980.727222222188,872.779999999985,1004.44375000002,903.252500000006,NA,NA,0,0,1,1,"Male",31,"Asian","oouecv"
"47htcz04",0.411764705882353,0,0.7,0.565217391304348,0,0.916666666666667,0.413793103448276,0,1,0.463768115942029,0,0.888888888888889,1161.42441176892,1106.25590909992,1127.70250000758,1120.7263043616,1172.26727269802,1044.54458333203,1282.0991379257,1042.82000000433,1151.05214286762,1375.60714287351,1011.4964999957,1185.12653847798,1037.0060000103,1430.277916661,1177.50235293608,0,0,0,0,"Male",76,"White - not of Hispanic Origin","szplnl"
"49zru4xn",0.391304347826087,0.0833333333333333,0.818181818181818,0.428571428571429,0.0909090909090909,0.7,0.59375,0.133333333333333,0.75,0.486842105263158,0.105263157894737,0.756756756756757,543.805434778535,507.58916666382,521.15727271038,691.166190474871,599.414999998937,665.014000015799,507.704687501246,535.800333328856,546.607499993115,608.073333330039,502.490357138283,742.146111093462,652.931250010928,515.995263164912,495.587692300503,0,0,0,0,"Female",43,"White - not of Hispanic Origin","iuwldg"
"4nht1c47",0.666666666666667,0,1,0.636363636363636,0,0.916666666666667,0.357142857142857,0,1,0.540540540540541,0,0.974358974358974,874.711458343275,723.41333332588,751.889999994698,822.650909095749,697.286250021231,807.036666665226,1015.12714286218,776.629374988261,857.154333327586,831.899062497541,960.336250034743,751.306785711287,947.503125018557,1142.21250001574,944.524166665764,0,0,0,0,"Male",47,"White - not of Hispanic Origin","hoiwpc"
"4pi628la",0.826086956521739,0,1,0.565217391304348,0,0.833333333333333,0.448275862068966,0,1,0.6,0,0.95,938.760217391257,839.566666666697,885.646666666806,1072.73282608697,935.910454545469,1037.89416666666,1057.69655172407,891.84562500003,957.134999999994,938.411052631511,940.418750000048,1107.93192307686,1026.97400000011,1042.50307692298,1070.04124999994,0,0,0,0,"Male",49,"White - not of Hispanic Origin","btoeyl"
"4wgdru3k",0.958333333333333,0,1,0.666666666666667,0.0833333333333333,1,0.5,0,1,0.697368421052632,0.025,1,651.27270833303,612.808750000113,606.394166667087,832.947499999742,773.669166666878,715.901249999661,878.712678571901,730.720937499882,713.192500001242,655.411521738722,556.080000002112,853.217187499922,792.408124999383,862.198571429222,895.22678571458,0,0,0,0,"Male",53,"White - not of Hispanic Origin","ewzsxj"
"4x34616e",0.875,0,1,0.625,0,0.916666666666667,0.689655172413793,0.166666666666667,1,0.727272727272727,0.0588235294117647,0.974358974358974,709.560833331731,650.065500001074,613.696818181779,742.549166667838,706.392499994157,669.587500002914,782.670517240306,707.617499996559,710.035625001183,681.696428569488,904.61166666743,734.364000001612,756.191111111548,753.499499999452,847.494999997758,0,0,0,0,"Female",30,"Hispanic or Latino","qgidor"
"54w43pb2",0.625,0.166666666666667,0.916666666666667,0.681818181818182,0.25,1,0.583333333333333,0.125,0.933333333333333,0.628571428571429,0.1875,0.947368421052632,679.838333341953,615.487916676405,641.698750017288,677.507500000171,682.065000000875,671.110909082927,695.257499988657,650.879375010845,689.027000001321,672.023000009358,692.863888896277,697.268333340374,635.162857128307,686.423928551709,707.624500000384,0,0,0,0,"Male",21,"White - not of Hispanic Origin","poqgac"
