"","Word","Length","Freq_HAL","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy","X","V.Mean.Sum","V.SD.Sum","V.Rat.Sum","A.Mean.Sum","A.SD.Sum","A.Rat.Sum","D.Mean.Sum","D.SD.Sum","D.Rat.Sum","V.Mean.M","V.SD.M","V.Rat.M","V.Mean.F","V.SD.F","V.Rat.F","A.Mean.M","A.SD.M","A.Rat.M","A.Mean.F","A.SD.F","A.Rat.F","D.Mean.M","D.SD.M","D.Rat.M","D.Mean.F","D.SD.F","D.Rat.F","V.Mean.Y","V.SD.Y","V.Rat.Y","V.Mean.O","V.SD.O","V.Rat.O","A.Mean.Y","A.SD.Y","A.Rat.Y","A.Mean.O","A.SD.O","A.Rat.O","D.Mean.Y","D.SD.Y","D.Rat.Y","D.Mean.O","D.SD.O","D.Rat.O","V.Mean.L","V.SD.L","V.Rat.L","V.Mean.H","V.SD.H","V.Rat.H","A.Mean.L","A.SD.L","A.Rat.L","A.Mean.H","A.SD.H","A.Rat.H","D.Mean.L","D.SD.L","D.Rat.L","D.Mean.H","D.SD.H","D.Rat.H"
"1342","deadly",6,5362,8.59,5,2,2,592.68,1,597.45,1,3114,1.9,1.17,20,5.04,2.75,23,3.73,2.33,22,2,1.26,11,1.78,1.09,9,4.45,3.11,11,5.58,2.39,12,4.62,2.56,8,2.92,1.89,13,2.11,1.54,9,1.73,0.79,11,4.55,3.17,11,5.5,2.35,12,4.14,2.35,14,2.43,1.72,7,1.83,1.03,12,2,1.41,8,5.33,2.92,15,4.5,2.51,8,3.64,2.24,14,3.88,2.64,8
"1352","decay",5,3565,8.18,4,2,1,685.15,1,702.48,1,3139,2.4,1.57,20,4.59,2.59,22,2.84,2.01,19,2.22,1.99,9,2.55,1.21,11,3.8,3.11,5,4.94,2.52,16,1.33,0.52,6,3.54,2.07,13,2.36,1.55,14,2.5,1.76,6,4.33,2.71,12,5.11,2.62,9,2.67,1.41,9,3,2.49,10,3,2,10,1.8,0.63,10,4.17,3.07,12,5.1,1.91,10,2.17,1.6,6,3.15,2.15,13
"2190","funeral",7,3227,8.08,8,3,2,651.21,1,664.81,1,5017,2.07,1.89,43,4.1,2.57,20,3.06,2.17,47,2.2,1.79,20,1.96,2.01,23,3.6,2.55,10,4.6,2.63,10,3.24,2.02,17,2.86,2.25,29,2.19,1.91,16,2,1.92,27,3,2.52,7,4.69,2.5,13,3.19,1.97,31,2.6,2.5,15,2.26,2.1,19,1.92,1.74,24,4.7,2.75,10,3.5,2.37,10,3.71,2.46,28,2.11,1.15,19
"5027","spineless",9,402,6,7,2,2,735.27,0.97,669.14,1,11604,2.95,1.61,20,4.57,1.97,23,4.1,2.23,21,2.33,1.22,9,3.45,1.75,11,3.91,2.12,11,5.17,1.7,12,4.5,1.77,8,3.85,2.51,13,2.79,1.42,14,3.33,2.07,6,3.44,2.13,9,5.29,1.54,14,4.75,2.38,8,3.69,2.14,13,3.4,1.35,10,2.5,1.78,10,4.62,2.22,13,4.5,1.72,10,3.58,2.39,12,4.78,1.92,9
"1809","evil",4,43736,10.69,3,2,1,579.73,0.97,639.08,1,4265,2.34,1.61,41,5.67,2.93,18,3.6,2.62,48,3,1.62,14,2,1.52,27,4.67,3.14,6,6.17,2.82,12,3.82,2.7,17,3.48,2.61,31,2.11,1.6,18,2.52,1.62,23,5.4,3.34,10,6,2.51,8,3.54,2.77,26,3.68,2.48,22,2.35,1.81,20,2.33,1.43,21,4.33,3.5,9,7,1.41,9,3.6,2.74,30,3.61,2.48,18
"5738","useless",7,13510,9.51,6,2,2,684.58,1,679.96,0.96,13270,2.8,1.44,40,4.39,2.42,41,4.65,2.7,20,2.54,1.39,13,3,1.44,26,4.68,2.75,19,4.14,2.17,21,4.9,2.77,10,4.4,2.76,10,2.93,1.44,15,2.79,1.44,24,4.29,2.72,21,4.5,2.12,20,3.62,1.85,8,5.33,3.03,12,3.2,1.44,20,2.4,1.35,20,4.22,2.58,27,4.71,2.13,14,4.44,2.65,9,4.82,2.86,11
"4548","rotten",6,2386,7.78,4,2,2,647.42,0.97,581.19,1,10497,2.43,1.5,23,4.9,2.24,40,3.37,2.07,43,2,1.07,8,2.67,1.68,15,4.21,2.42,14,5.27,2.09,26,3.5,2.1,14,3.31,2.09,29,2.42,1.98,12,2.45,0.82,11,4.94,1.56,17,4.87,2.67,23,3.57,2.37,23,3.15,1.69,20,2.09,1.22,11,2.75,1.71,12,4.58,2.27,19,5.19,2.23,21,3.17,2.35,23,3.6,1.73,20
"3882","piss",4,6979,8.85,3,1,1,672.81,0.94,619.93,1,9080,2.73,1.61,22,4.74,2.99,23,5.63,2.52,19,4.12,1.55,8,2,1,13,5.25,2.92,8,4.43,3.2,14,6.86,2.27,7,4.64,2.38,11,2.75,1.91,8,2.85,1.46,13,3.44,2.55,9,5.57,3.03,14,4.71,2.21,7,6.17,2.62,12,3.09,1.87,11,2.36,1.29,11,3.22,3.07,9,5.71,2.58,14,5.94,2.57,16,4,1.73,3
"1242","crook",5,1171,7.07,4,1,1,686.19,0.94,601.88,1,2931,2.86,1.46,22,4.62,2.9,26,3.82,2.5,22,2.56,1.74,9,3.08,1.26,13,4.1,2.38,10,4.94,3.21,16,2.89,2.26,9,4.46,2.54,13,2.75,1.83,8,2.93,1.27,14,5.23,2.92,13,4,2.86,13,3.27,2.33,11,4.36,2.66,11,2.75,1.54,12,3,1.41,10,4.2,2.83,15,5.18,3.03,11,3.85,2.58,13,3.78,2.54,9
"3299","misfire",7,191,5.25,6,2,2,756.57,0.9,706.27,1,7768,2.63,1.57,19,4.64,2.42,22,3,1.93,23,3.83,1.72,6,2.08,1.19,13,4.92,2.19,12,4.3,2.75,10,3.5,2.07,8,2.73,1.87,15,2.8,1.48,10,2.44,1.74,9,5.44,2.07,9,4.08,2.56,13,3.24,1.99,17,2,1.73,5,2.62,1.51,8,2.64,1.69,11,3.56,2.46,9,5.38,2.18,13,2.67,1.88,15,3.62,2,8
"2946","lawsuit",7,3855,8.26,5,2,2,684.35,1,629.3,1,6968,2.84,1.46,19,5.39,2.54,41,3.2,2.24,20,3.67,1.15,3,2.69,1.49,16,5,2.38,19,5.71,2.74,21,3.5,2.26,6,3.07,2.3,14,2.8,1.32,10,2.89,1.69,9,5.1,2.7,21,5.7,2.39,20,4.1,2.51,10,2.3,1.57,10,3.12,1.55,8,2.64,1.43,11,5.48,2.75,27,5.21,2.15,14,3.5,3.07,8,3,1.6,12
"5521","traffic",7,25455,10.14,6,2,1,584.35,0.97,582.71,1,12707,2.18,1.05,22,5.25,3.13,20,5.58,2.61,19,2.31,1.11,13,2,1,9,6.29,2.56,7,4.69,3.35,13,6.14,2.34,7,5.25,2.8,12,1.92,1.16,12,2.5,0.85,10,5.11,3.22,9,5.36,3.2,11,6.5,2.22,10,4.56,2.74,9,2,1.21,12,2.4,0.84,10,4.71,3.3,7,5.54,3.13,13,6.71,2.21,7,4.92,2.68,12
"5735","urine",5,3418,8.14,5,2,1,642.82,1,688.5,0.96,13263,2.9,1.8,20,4.38,2.28,42,4.55,2.4,22,3.44,2.24,9,2.45,1.29,11,4.38,2.47,16,4.32,2.23,25,4.5,1.58,10,4.58,3,12,3.43,2.51,7,2.67,1.37,12,4.05,2.44,21,4.65,2.16,20,4.27,2.45,11,4.82,2.44,11,3.08,2.18,13,2.57,0.79,7,4.13,2.65,23,4.68,1.77,19,3.36,2.25,11,5.73,2,11
"4868","slave",5,13149,9.48,4,1,1,608.25,0.94,650.11,1,11281,2.06,1.92,18,4.53,2.68,45,2.61,2.5,61,2.75,2.6,8,1.5,0.97,10,5.29,2.49,17,3.96,2.72,27,2.52,2.25,31,2.7,2.77,30,3,2.71,7,1.45,0.93,11,4.81,2.68,21,4.29,2.73,24,2.67,2.46,36,2.52,2.6,25,2.5,2.46,10,1.5,0.76,8,4.59,2.75,29,4.44,2.66,16,3.45,2.85,31,1.73,1.72,30
"6023","wreck",5,2161,7.68,3,1,1,625.13,0.94,620.11,1,13840,1.62,0.74,21,4.65,3.1,20,4.27,2.75,22,2,0.89,6,1.47,0.64,15,4.5,3.12,8,4.75,3.22,12,3.92,2.91,12,4.7,2.63,10,1.67,0.87,9,1.58,0.67,12,5,3,9,4.36,3.29,11,4.57,1.9,7,4.13,3.11,15,1.6,0.84,10,1.64,0.67,11,4.69,3.2,13,4.57,3.15,7,4.75,3.17,12,3.7,2.16,10
"3459","needy",5,979,6.89,4,2,2,668.36,1,643.28,1,8116,2.9,1.29,20,4.68,1.7,25,4.27,2.33,22,2.38,1.06,8,3.25,1.36,12,4.38,1.89,13,5,1.48,12,4.46,2.57,13,4,2.06,9,2.38,1.3,8,3.09,1.14,11,4.86,0.95,14,4.45,2.38,11,5.17,2.33,12,3.2,1.93,10,2.9,1.45,10,2.9,1.2,10,4.24,1.56,17,5.62,1.69,8,4.4,2.22,10,4.17,2.52,12
"29","accuse",6,3798,8.24,5,2,1,626.36,1,635.12,0.96,82,2.68,1.63,19,5.32,2.08,22,4,2.32,24,2.83,1.72,6,2.62,1.66,13,5.42,2.31,12,5.2,1.87,10,3.88,2.42,8,4.06,2.35,16,3.4,1.65,10,1.89,1.27,9,5.67,2,9,5.08,2.18,13,4.18,2.3,17,3.5,2.74,6,2.5,1.93,8,2.82,1.47,11,4.33,2.4,9,6,1.58,13,4.12,2.25,16,3.75,2.6,8
"1202","crappy",6,3155,8.06,5,2,2,713.35,1,606.14,1,2864,2.35,1.57,20,5.26,2.47,19,3.92,2.13,26,1.64,0.67,11,3.22,1.92,9,5.71,2.56,7,5,2.49,12,4.15,2.19,13,3.69,2.14,13,2.55,1.29,11,2.11,1.9,9,5.6,2.41,10,4.89,2.62,9,4.24,2.28,17,3.33,1.8,9,3,1.94,10,1.7,0.67,10,5.08,2.43,12,5.57,2.7,7,4,1.67,16,3.8,2.82,10
"4372","relapse",7,402,6,6,2,2,771.63,0.88,603.2,0.96,10107,2.91,1.8,22,4.05,2.5,19,3.62,2.27,21,2.4,1.14,5,3,2,16,4,2.83,8,4.09,2.39,11,4,2.49,10,3.27,2.1,11,2.58,1.24,12,3.3,2.31,10,5.3,2.11,10,2.67,2.24,9,3.08,1.83,12,4.33,2.69,9,2.09,1.22,11,3.73,1.95,11,3.88,2.53,8,4.18,2.6,11,4.22,2.54,9,3.17,2.04,12
"5756","vandal",6,191,5.25,5,2,1,727.17,0.88,652.7,0.96,13314,2.32,1.38,19,4.84,2.6,44,3.25,2.11,24,2.78,1.64,9,1.9,0.99,10,4.35,2.64,17,5.15,2.57,27,3.38,1.92,8,3.19,2.26,16,2.71,1.5,7,2.08,1.31,12,4.64,2.68,14,4.93,2.6,30,3.24,2.14,17,3,2.28,6,2.8,1.48,10,1.78,1.09,9,4.58,2.89,26,5.22,2.13,18,3.06,1.88,16,3.62,2.62,8
