"","Word","Length","Freq_HAL","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy","X","V.Mean.Sum","V.SD.Sum","V.Rat.Sum","A.Mean.Sum","A.SD.Sum","A.Rat.Sum","D.Mean.Sum","D.SD.Sum","D.Rat.Sum","V.Mean.M","V.SD.M","V.Rat.M","V.Mean.F","V.SD.F","V.Rat.F","A.Mean.M","A.SD.M","A.Rat.M","A.Mean.F","A.SD.F","A.Rat.F","D.Mean.M","D.SD.M","D.Rat.M","D.Mean.F","D.SD.F","D.Rat.F","V.Mean.Y","V.SD.Y","V.Rat.Y","V.Mean.O","V.SD.O","V.Rat.O","A.Mean.Y","A.SD.Y","A.Rat.Y","A.Mean.O","A.SD.O","A.Rat.O","D.Mean.Y","D.SD.Y","D.Rat.Y","D.Mean.O","D.SD.O","D.Rat.O","V.Mean.L","V.SD.L","V.Rat.L","V.Mean.H","V.SD.H","V.Rat.H","A.Mean.L","A.SD.L","A.Rat.L","A.Mean.H","A.SD.H","A.Rat.H","D.Mean.L","D.SD.L","D.Rat.L","D.Mean.H","D.SD.H","D.Rat.H","Val"
"1","THINKER","7","1007","6.91","5","2","2","568.34","0.97","582.48","1","12496","7.26","1.91","19","4.45","2.39","20","7.68","1.42","19","8.33","0.58","3","7.07","2.09","15","4.2","2.44","10","4.7","2.45","10","6.89","1.36","9","8.4","1.07","10","7","3.03","6","7.42","1.31","12","3.71","1.8","7","4.85","2.64","13","7.88","1.64","8","7.55","1.29","11","7.75","1.06","12","6.43","2.76","7","4","2.36","10","4.9","2.47","10","8.33","0.87","9","7.1","1.6","10","POS"
"2","HIRE","4","11829","9.38","3","1","1","637.23","0.94","573.32","1","5813","7.09","1.97","22","5.65","2.41","20","6.42","2.41","19","6.85","2.19","13","7.44","1.67","9","6.29","1.6","7","5.31","2.75","13","6.43","2.15","7","6.42","2.64","12","7","2.3","12","7.2","1.62","10","5.11","2.8","9","6.09","2.07","11","6.1","2.64","10","6.78","2.22","9","7.17","2.29","12","7","1.63","10","6.43","2.44","7","5.23","2.39","13","7.57","2.15","7","5.75","2.38","12","POS"
"3","NURTURE","7","961","6.87","4","2","1","790.76","0.88","664.88","1","8304","7.14","2.03","21","4.12","2.3","25","6.29","1.9","21","7.38","1.06","8","7","2.48","13","4.62","2.63","13","3.58","1.83","12","6.38","1.8","13","6.12","2.17","8","6.88","2.64","8","7.25","1.71","12","4.57","2.24","14","3.55","2.34","11","6.5","1.88","12","6","2","9","7.5","1.35","10","6.82","2.52","11","4.29","2.52","17","3.75","1.83","8","6.33","2.45","9","6.25","1.48","12","POS"
"4","GENTLEMAN","9","4731","8.46","8","3","2","729.26","1","671.35","0.96","5150","7.5","1.6","22","4.14","2.63","21","6.06","2.07","18","7.5","1.64","6","7.47","1.68","15","2.86","2.54","7","4.79","2.52","14","6","2.29","9","5.88","1.96","8","7.5","1.74","14","7.43","1.51","7","3.78","2.44","9","4.42","2.84","12","6.1","2.42","10","6","1.69","8","7.5","1.7","14","7.5","1.51","8","3.33","2.58","6","4.47","2.67","15","6.1","2.42","10","6","1.69","8","POS"
"5","LOVABLE","7","419","6.04","6","3","2","636.94","1","634.79","1","7245","8.26","0.99","19","5.41","2.72","22","6.83","2.33","24","8.33","1.21","6","8.23","0.93","13","5.5","2.68","12","5.3","2.91","10","5.25","3.11","8","7.62","1.36","16","7.8","1.14","10","8.78","0.44","9","5.89","2.8","9","5.08","2.72","13","6.82","2.35","17","7","2.68","6","8.88","0.35","8","7.82","1.08","11","5.78","2.82","9","5.15","2.73","13","7.06","2.43","16","6.38","2.2","8","POS"
"6","LEMONADE","8","403","6","7","3","2","643.42","0.97","614.15","1","7024","7.05","1.62","22","4.63","2.54","19","6","1.82","21","6.4","1.95","5","7.38","1.45","16","5.25","3.11","8","4.18","2.09","11","4.9","1.52","10","7","1.48","11","6.92","1.83","12","7.2","1.4","10","4.4","2.22","10","4.89","2.98","9","6.08","2.19","12","5.89","1.27","9","7","1.41","11","7.09","1.87","11","4.12","2.3","8","5","2.76","11","5.11","1.69","9","6.67","1.67","12","POS"
"7","MOTHER","6","42113","10.65","4","2","1","566.21","1","565.61","1","7922","7.53","1.86","80","4.73","2.92","106","6.11","2.64","74","7.03","2.19","30","7.84","1.59","49","4.8","2.89","41","4.68","2.95","65","5.78","2.58","37","6.39","2.72","36","7.65","1.88","46","7.36","1.87","33","5.1","2.89","52","4.37","2.92","54","6.08","2.57","39","6.12","2.79","34","7.67","1.87","45","7.34","1.85","35","5.17","2.94","54","4.27","2.84","52","6.15","2.8","34","6.08","2.54","40","POS"
"8","RABBIT","6","5751","8.66","5","2","1","589.67","1","556.11","1","9784","7.21","1.69","19","3.98","2.44","42","5.95","2.24","22","5.67","2.08","3","7.5","1.51","16","4.15","2.5","20","3.82","2.44","22","5.36","2.2","11","6.55","2.21","11","6.89","1.69","9","7.5","1.72","10","3.81","2.74","16","4.08","2.3","26","5.92","2.5","13","6","1.94","9","7.86","1.35","7","6.83","1.8","12","3.36","2.23","25","4.88","2.52","17","6.29","2.43","14","5.38","1.85","8","POS"
"9","BRAVE","5","5524","8.62","4","1","1","573.09","0.97","560.7","1","1444","7.38","1.46","42","4.95","2.28","43","6.84","2.03","55","7.76","1.2","17","7.12","1.59","25","4.7","2.26","10","5.06","2.34","32","6.78","2.05","18","6.86","2.04","37","7.38","1.5","29","7.38","1.45","13","4.53","2.33","15","5.18","2.26","28","6.52","2.26","29","7.19","1.7","26","7.43","1.44","23","7.32","1.53","19","5.05","2.3","19","4.88","2.31","24","7.06","2.18","33","6.5","1.77","22","POS"
"10","FEMININE","8","2642","7.88","7","3","2","733.73","0.97","681.61","1","4554","7.33","1.52","24","4.32","2.78","22","5.09","2.37","22","6.64","1.86","11","7.92","0.86","13","5.33","3.5","6","3.87","2.56","15","3","2.45","6","5.88","1.86","16","7.1","1.85","10","7.5","1.29","14","5.4","3.21","5","4","2.67","17","5.27","2.1","11","4.91","2.7","11","7.86","1.17","14","6.6","1.71","10","4.22","2.59","9","4.38","3.01","13","5.5","2.71","12","4.6","1.9","10","POS"
