Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,Question Key,Response
1,1570472222811,07/10/2019 18:17:02,1570472221281,-7,07/10/2019 11:17:01,9792,16,questionnaire-1r6c,,3157665,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,End of Survey,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,BEGIN QUESTIONNAIRE,
2,1570472270334,07/10/2019 18:17:50,1570472268838,-7,07/10/2019 11:17:48,9792,16,questionnaire-1r6c,,3157665,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,End of Survey,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,images ok,Yes - I was able to see all of the images and words
3,1570472270537,07/10/2019 18:17:50,1570472268845,-7,07/10/2019 11:17:48,9792,16,questionnaire-1r6c,,3157665,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,End of Survey,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,images ok-quantised,1
4,1570472270537,07/10/2019 18:17:50,1570472268846,-7,07/10/2019 11:17:48,9792,16,questionnaire-1r6c,,3157665,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,End of Survey,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,response-2,To see how emotion and words are related?
5,1570472270537,07/10/2019 18:17:50,1570472268847,-7,07/10/2019 11:17:48,9792,16,questionnaire-1r6c,,3157665,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,End of Survey,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,END QUESTIONNAIRE,47566
1,1570473390269,07/10/2019 18:36:30,1570473391746,-4,07/10/2019 14:36:31,9792,16,questionnaire-1r6c,,3157759,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,End of Survey,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,BEGIN QUESTIONNAIRE,
2,1570473404409,07/10/2019 18:36:44,1570473405946,-4,07/10/2019 14:36:45,9792,16,questionnaire-1r6c,,3157759,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,End of Survey,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,images ok,Yes - I was able to see all of the images and words
3,1570473404534,07/10/2019 18:36:44,1570473405947,-4,07/10/2019 14:36:45,9792,16,questionnaire-1r6c,,3157759,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,End of Survey,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,images ok-quantised,1
4,1570473404534,07/10/2019 18:36:44,1570473405947,-4,07/10/2019 14:36:45,9792,16,questionnaire-1r6c,,3157759,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,End of Survey,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,response-2,"I'm not sure, sorry"
5,1570473404534,07/10/2019 18:36:44,1570473405947,-4,07/10/2019 14:36:45,9792,16,questionnaire-1r6c,,3157759,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,End of Survey,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,END QUESTIONNAIRE,14201
