Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1570472801463,07/10/2019 18:26:41,1570472802943,-4,07/10/2019 14:26:42,9792,16,task-l2xg,,3157700,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1570472808772,07/10/2019 18:26:48,1570472809945,-4,07/10/2019 14:26:49,9792,16,task-l2xg,,3157700,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,example,1,1,1,instructions,advancementZone,continue_keyboard,6837.41999976337,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,
3,1570472819445,07/10/2019 18:26:59,1570472820449,-4,07/10/2019 14:27:00,9792,16,task-l2xg,,3157700,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,example,1,1,2,Screen 1,Zone2,response_keyboard_single,10497.369999997318,example,1,1,0,0,,,,,,instructions,,,,,,,,,,,,,,,,,
4,1570472821311,07/10/2019 18:27:01,1570472822843,-4,07/10/2019 14:27:02,9792,16,task-l2xg,,3157700,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,example,1,1,3,Screen 2,Zone2,response_keyboard_single,2385.7350000180304,example,1,1,0,0,,,,,,instructions,,,,,,,,,,,,,,,,,
5,1570472824121,07/10/2019 18:27:04,1570472825667,-4,07/10/2019 14:27:05,9792,16,task-l2xg,,3157700,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,example,1,1,4,Screen 4,advancementZone,continue_keyboard,2818.225000053644,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,
6,1570472829109,07/10/2019 18:27:09,1570472830655,-4,07/10/2019 14:27:10,9792,16,task-l2xg,,3157700,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,example,1,1,5,Screen 3,Zone1,timelimit_screen,5000.083999999999,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,
7,1570472830689,07/10/2019 18:27:10,1570472832155,-4,07/10/2019 14:27:12,9792,16,task-l2xg,,3157700,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,example,2,1,1,Screen 1,Zone3,timelimit_screen,1500.005000000001,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
8,1570472831096,07/10/2019 18:27:11,1570472832637,-4,07/10/2019 14:27:12,9792,16,task-l2xg,,3157700,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,example,6,1,1,stim,Zone3,timelimit_screen,483.35199999999895,,,0,1,0,,,1,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide4.jpeg
9,1570472831551,07/10/2019 18:27:11,1570472833088,-4,07/10/2019 14:27:13,9792,16,task-l2xg,,3157700,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,example,6,1,2,fix,advancementZone,response_keyboard,444.5400000549853,example,1,1,0,0,,,,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide4.jpeg
10,1570472832604,07/10/2019 18:27:12,1570472834138,-4,07/10/2019 14:27:14,9792,16,task-l2xg,,3157700,A31FD3QCYZ28Q2,872766,,complete,nwrmku,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1920x937,words,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,ACCEPT,,,,,≥38,≥43,≥48,≥53,≤57,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,example,6,1,2,fix,Zone3,timelimit_screen,1500.0950000000012,,,0,1,0,,,1,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide4.jpeg
