Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1570637648131,09/10/2019 16:14:08,1570637649837,-7,09/10/2019 09:14:09,9792,17,task-1ohd,,3165840,AAIQLE701DI9U,875563,,complete,clgnmi,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,2560x1440,2074x1308,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order12,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,
2,1570637660601,09/10/2019 16:14:20,1570637662354,-7,09/10/2019 09:14:22,9792,17,task-1ohd,,3165840,AAIQLE701DI9U,875563,,complete,clgnmi,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,2560x1440,2074x1308,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order12,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,12492,,,0,1,0,,,,,,IPANAT Instructions
3,1570637660773,09/10/2019 16:14:20,1570637662356,-7,09/10/2019 09:14:22,9792,17,task-1ohd,,3165840,AAIQLE701DI9U,875563,,complete,clgnmi,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,2560x1440,2074x1308,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order4,,,Continue,order12,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,END TASK,,,,,12520,,,0,1,0,,,,,,
1,1570637733321,09/10/2019 16:15:33,1570637732162,-4,09/10/2019 12:15:32,9792,17,task-1ohd,,3165861,AKMIORNF40ST7,875567,,complete,juidyy,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1536x864,1536x754,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,order3,,,Orders 1 and 3,,,,,,,Continue,,,order9,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,
2,1570637738509,09/10/2019 16:15:38,1570637737407,-4,09/10/2019 12:15:37,9792,17,task-1ohd,,3165861,AKMIORNF40ST7,875567,,complete,juidyy,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1536x864,1536x754,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,order3,,,Orders 1 and 3,,,,,,,Continue,,,order9,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,5207.705000007991,,,0,1,0,,,,,,IPANAT Instructions
3,1570637738634,09/10/2019 16:15:38,1570637737410,-4,09/10/2019 12:15:37,9792,17,task-1ohd,,3165861,AKMIORNF40ST7,875567,,complete,juidyy,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1536x864,1536x754,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,order3,,,Orders 1 and 3,,,,,,,Continue,,,order9,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,BCADFE,Images loaded ok,approve with $2.15 bonus,,,END TASK,,,,,5248,,,0,1,0,,,,,,
1,1570637734039,09/10/2019 16:15:34,1570637733395,-4,09/10/2019 12:15:33,9792,17,task-1ohd,,3165862,A40O6S62MI2VC,875574,,complete,fsmzta,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,3840x2160,1282x999,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,,,Continue,,,,order10,,,Continue,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,
2,1570637768224,09/10/2019 16:16:08,1570637767622,-4,09/10/2019 12:16:07,9792,17,task-1ohd,,3165862,A40O6S62MI2VC,875574,,complete,fsmzta,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,3840x2160,1282x999,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,,,Continue,,,,order10,,,Continue,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,34184.17000000045,,,0,1,0,,,,,,IPANAT Instructions
3,1570637768365,09/10/2019 16:16:08,1570637767626,-4,09/10/2019 12:16:07,9792,17,task-1ohd,,3165862,A40O6S62MI2VC,875574,,complete,fsmzta,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,3840x2160,1282x999,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,,,,Orders 5 and 6,,order5,,,,,,,,,Continue,,,,order10,,,Continue,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,END TASK,,,,,34232,,,0,1,0,,,,,,
1,1570638328920,09/10/2019 16:25:28,1570638328141,-4,09/10/2019 12:25:28,9792,17,task-1ohd,,3165914,A1DUPOUC9RNU4L,875577,,complete,hqhzcp,,computer,Desktop or Laptop,Chromium OS 10895.78.0,Chrome 69.0.3497.120,1366x768,1366x618,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,ACCEPT,,,,≥38,≥43,≥48,≥53,≥58,≤62,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order9,,,order5,,,Continue,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,
