Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1570645681242,09/10/2019 18:28:01,1570645681096,-4,09/10/2019 14:28:01,9792,18,task-myk4,,3166614,A2TKHXY755FAM,875947,,complete,pyaolr,,computer,Desktop or Laptop,Mac OS 10.6.8,Chrome 49.0.2623.112,1920x1200,1920x1102,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1570645685290,09/10/2019 18:28:05,1570645685032,-4,09/10/2019 14:28:05,9792,18,task-myk4,,3166614,A2TKHXY755FAM,875947,,complete,pyaolr,,computer,Desktop or Laptop,Mac OS 10.6.8,Chrome 49.0.2623.112,1920x1200,1920x1102,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders 1 and 3 - 2,1,1,1,Screen 1,advancementZone,continue_button,3859.585000000001,,,0,1,0,,,,,,progress2,1,,,,,,,,,,,,,,,,
3,1570645688313,09/10/2019 18:28:08,1570645688031,-4,09/10/2019 14:28:08,9792,18,task-myk4,,3166614,A2TKHXY755FAM,875947,,complete,pyaolr,,computer,Desktop or Laptop,Mac OS 10.6.8,Chrome 49.0.2623.112,1920x1200,1920x1102,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders 1 and 3 - 2,2,1,1,Screen 1,Zone1,timelimit_screen,3002.3999999998523,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1570645689781,09/10/2019 18:28:09,1570645689532,-4,09/10/2019 14:28:09,9792,18,task-myk4,,3166614,A2TKHXY755FAM,875947,,complete,pyaolr,,computer,Desktop or Laptop,Mac OS 10.6.8,Chrome 49.0.2623.112,1920x1200,1920x1102,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders 1 and 3 - 2,3,1,1,Screen 1,Zone3,timelimit_screen,1501.2000000001535,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1570645690110,09/10/2019 18:28:10,1570645690016,-4,09/10/2019 14:28:10,9792,18,task-myk4,,3166614,A2TKHXY755FAM,875947,,complete,pyaolr,,computer,Desktop or Laptop,Mac OS 10.6.8,Chrome 49.0.2623.112,1920x1200,1920x1102,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders 1 and 3 - 2,23,1,1,stim,Zone3,timelimit_screen,483.71999999972104,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,AF13SUS.JPG,,7460.jpg,,,,,,,,,,
6,1570645690490,09/10/2019 18:28:10,1570645690416,-4,09/10/2019 14:28:10,9792,18,task-myk4,,3166614,A2TKHXY755FAM,875947,,complete,pyaolr,,computer,Desktop or Laptop,Mac OS 10.6.8,Chrome 49.0.2623.112,1920x1200,1920x1102,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders 1 and 3 - 2,23,1,2,fix,advancementZone,response_keyboard,384.0650000000005,positive,1,0,1,0,,,,,1,trial,,,ambiguous,block1,AF13SUS.JPG,,7460.jpg,,,,,,,,,,
7,1570645691619,09/10/2019 18:28:11,1570645691516,-4,09/10/2019 14:28:11,9792,18,task-myk4,,3166614,A2TKHXY755FAM,875947,,complete,pyaolr,,computer,Desktop or Laptop,Mac OS 10.6.8,Chrome 49.0.2623.112,1920x1200,1920x1102,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders 1 and 3 - 2,23,1,2,fix,Zone3,timelimit_screen,1501.2000000001535,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,AF13SUS.JPG,,7460.jpg,,,,,,,,,,
8,1570645692071,09/10/2019 18:28:12,1570645692001,-4,09/10/2019 14:28:12,9792,18,task-myk4,,3166614,A2TKHXY755FAM,875947,,complete,pyaolr,,computer,Desktop or Laptop,Mac OS 10.6.8,Chrome 49.0.2623.112,1920x1200,1920x1102,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders 1 and 3 - 2,24,2,1,stim,Zone3,timelimit_screen,483.7200000001758,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,AF34SUS.JPG,,7570.jpg,,,,,,,,,,
9,1570645693748,09/10/2019 18:28:13,1570645693503,-4,09/10/2019 14:28:13,9792,18,task-myk4,,3166614,A2TKHXY755FAM,875947,,complete,pyaolr,,computer,Desktop or Laptop,Mac OS 10.6.8,Chrome 49.0.2623.112,1920x1200,1920x1102,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders 1 and 3 - 2,24,2,2,fix,Zone3,timelimit_screen,1501.6249999998763,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,AF34SUS.JPG,,7570.jpg,,,,,,,,,,
10,1570645693904,09/10/2019 18:28:13,1570645693597,-4,09/10/2019 14:28:13,9792,18,task-myk4,,3166614,A2TKHXY755FAM,875947,,complete,pyaolr,,computer,Desktop or Laptop,Mac OS 10.6.8,Chrome 49.0.2623.112,1920x1200,1920x1102,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,ACCEPT,,,,,,,≥38,≥43,≤47,,,,,,,,,,,,Orders 11 and 12,,,,,order12,,,Continue,,,Continue,,,,,order3,,,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,orders 1 and 3 - 2,18,3,1,stim,advancementZone,response_keyboard,61.99499999999898,positive,1,0,1,0,,,,,1,trial,,,ambiguous,block1,07F_SP_O.jpg,,3211.jpg,,,,,,,,,,
