Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1570661905695,09/10/2019 22:58:25,1570661905582,-4,09/10/2019 18:58:25,9792,18,task-tazw,,3167262,A10LHWALI4BZPC,876134,,complete,fdofue,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 77.0.3865.90,1680x1050,1680x947,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1570661917794,09/10/2019 22:58:37,1570661917722,-4,09/10/2019 18:58:37,9792,18,task-tazw,,3167262,A10LHWALI4BZPC,876134,,complete,fdofue,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 77.0.3865.90,1680x1050,1680x947,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 5 and 6,1,1,1,Screen 1,advancementZone,continue_button,12108.37999999967,,,0,1,0,,,,,,congrats,,,,,,,,,,,,,,,,,
3,1570661920764,09/10/2019 22:58:40,1570661920712,-4,09/10/2019 18:58:40,9792,18,task-tazw,,3167262,A10LHWALI4BZPC,876134,,complete,fdofue,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 77.0.3865.90,1680x1050,1680x947,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 5 and 6,2,1,1,Screen 1,Zone1,timelimit_screen,2999.880000000001,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1570661922264,09/10/2019 22:58:42,1570661922212,-4,09/10/2019 18:58:42,9792,18,task-tazw,,3167262,A10LHWALI4BZPC,876134,,complete,fdofue,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 77.0.3865.90,1680x1050,1680x947,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 5 and 6,3,1,1,Screen 1,Zone3,timelimit_screen,1499.9399999999987,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1570661922764,09/10/2019 22:58:42,1570661922695,-4,09/10/2019 18:58:42,9792,18,task-tazw,,3167262,A10LHWALI4BZPC,876134,,complete,fdofue,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 77.0.3865.90,1680x1050,1680x947,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 5 and 6,20,1,1,stim,Zone3,timelimit_screen,483.3140000000021,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,,,,,Slide5.jpeg,Slide5.jpeg,,,,,,,
6,1570661922889,09/10/2019 22:58:42,1570661922848,-4,09/10/2019 18:58:42,9792,18,task-tazw,,3167262,A10LHWALI4BZPC,876134,,complete,fdofue,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 77.0.3865.90,1680x1050,1680x947,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 5 and 6,20,1,2,fix,advancementZone,response_keyboard,145.27999999972963,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,Slide5.jpeg,Slide5.jpeg,,,,,,,
7,1570661924253,09/10/2019 22:58:44,1570661924196,-4,09/10/2019 18:58:44,9792,18,task-tazw,,3167262,A10LHWALI4BZPC,876134,,complete,fdofue,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 77.0.3865.90,1680x1050,1680x947,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 5 and 6,20,1,2,fix,Zone3,timelimit_screen,1499.9399999999987,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,,,,,Slide5.jpeg,Slide5.jpeg,,,,,,,
8,1570661924722,09/10/2019 22:58:44,1570661924679,-4,09/10/2019 18:58:44,9792,18,task-tazw,,3167262,A10LHWALI4BZPC,876134,,complete,fdofue,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 77.0.3865.90,1680x1050,1680x947,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 5 and 6,10,2,1,stim,Zone3,timelimit_screen,483.3139999999985,,,0,1,0,,,1,,1,trial,,,negative,block1,,,,,Slide27.jpeg,Slide27.jpeg,,,,,,,
9,1570661924848,09/10/2019 22:58:44,1570661924787,-4,09/10/2019 18:58:44,9792,18,task-tazw,,3167262,A10LHWALI4BZPC,876134,,complete,fdofue,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 77.0.3865.90,1680x1050,1680x947,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 5 and 6,10,2,2,fix,advancementZone,response_keyboard,102.35999999986234,negative,1,1,0,0,,,,,1,trial,,,negative,block1,,,,,Slide27.jpeg,Slide27.jpeg,,,,,,,
10,1570661926240,09/10/2019 22:58:46,1570661926179,-4,09/10/2019 18:58:46,9792,18,task-tazw,,3167262,A10LHWALI4BZPC,876134,,complete,fdofue,,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 77.0.3865.90,1680x1050,1680x947,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≤32,ACCEPT,,,,,,,,,,,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,orders 5 and 6,10,2,2,fix,Zone3,timelimit_screen,1499.9400000000023,,,0,1,0,,,1,,1,trial,,,negative,block1,,,,,Slide27.jpeg,Slide27.jpeg,,,,,,,
