Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
1,1570645951638,09/10/2019 18:32:31,1570645952097,-4,09/10/2019 14:32:32,9792,18,task-xsf9,,3166650,A2UP4TCLF892NV,875954,,complete,aqdwds,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1530x888,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,order3,,,Orders 1 and 3,,,,,,,Continue,,,order7,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1570645960875,09/10/2019 18:32:40,1570645961400,-4,09/10/2019 14:32:41,9792,18,task-xsf9,,3166650,A2UP4TCLF892NV,875954,,complete,aqdwds,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1530x888,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,order3,,,Orders 1 and 3,,,,,,,Continue,,,order7,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 7 and 9 - 2,1,1,1,Screen 1,advancementZone,continue_button,9265.855000005104,,,0,1,0,,,,,,progress2,1,,,,,,,,,,,,,,,,
3,1570645963843,09/10/2019 18:32:43,1570645964386,-4,09/10/2019 14:32:44,9792,18,task-xsf9,,3166650,A2UP4TCLF892NV,875954,,complete,aqdwds,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1530x888,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,order3,,,Orders 1 and 3,,,,,,,Continue,,,order7,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 7 and 9 - 2,2,1,1,Screen 1,Zone1,timelimit_screen,3000.0020000000004,,,0,1,0,,,1,,,reminder,,,,,,,,,,,,,,,,,
4,1570645965359,09/10/2019 18:32:45,1570645965885,-4,09/10/2019 14:32:45,9792,18,task-xsf9,,3166650,A2UP4TCLF892NV,875954,,complete,aqdwds,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1530x888,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,order3,,,Orders 1 and 3,,,,,,,Continue,,,order7,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 7 and 9 - 2,3,1,1,Screen 1,Zone3,timelimit_screen,1500.0280000000002,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
5,1570645965838,09/10/2019 18:32:45,1570645966370,-4,09/10/2019 14:32:46,9792,18,task-xsf9,,3166650,A2UP4TCLF892NV,875954,,complete,aqdwds,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1530x888,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,order3,,,Orders 1 and 3,,,,,,,Continue,,,order7,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 7 and 9 - 2,12,1,1,stim,Zone3,timelimit_screen,483.36199999999917,,,0,1,0,,,1,,1,trial,,,positive,block1,,,,,,,08F_HA_O.jpg,,2340.jpg,,,,
6,1570645966058,09/10/2019 18:32:46,1570645966605,-4,09/10/2019 14:32:46,9792,18,task-xsf9,,3166650,A2UP4TCLF892NV,875954,,complete,aqdwds,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1530x888,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,order3,,,Orders 1 and 3,,,,,,,Continue,,,order7,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 7 and 9 - 2,12,1,2,fix,advancementZone,response_keyboard,228.41000003973022,positive,1,1,0,0,,,,,1,trial,,,positive,block1,,,,,,,08F_HA_O.jpg,,2340.jpg,,,,
7,1570645967324,09/10/2019 18:32:47,1570645967869,-4,09/10/2019 14:32:47,9792,18,task-xsf9,,3166650,A2UP4TCLF892NV,875954,,complete,aqdwds,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1530x888,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,order3,,,Orders 1 and 3,,,,,,,Continue,,,order7,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 7 and 9 - 2,12,1,2,fix,Zone3,timelimit_screen,1499.9279999999999,,,0,1,0,,,1,,1,trial,,,positive,block1,,,,,,,08F_HA_O.jpg,,2340.jpg,,,,
8,1570645967808,09/10/2019 18:32:47,1570645968352,-4,09/10/2019 14:32:48,9792,18,task-xsf9,,3166650,A2UP4TCLF892NV,875954,,complete,aqdwds,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1530x888,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,order3,,,Orders 1 and 3,,,,,,,Continue,,,order7,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 7 and 9 - 2,24,2,1,stim,Zone3,timelimit_screen,483.4200000000019,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,,,,,,,AF30SUS.JPG,,7570.jpg,,,,
9,1570645968027,09/10/2019 18:32:48,1570645968575,-4,09/10/2019 14:32:48,9792,18,task-xsf9,,3166650,A2UP4TCLF892NV,875954,,complete,aqdwds,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1530x888,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,order3,,,Orders 1 and 3,,,,,,,Continue,,,order7,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 7 and 9 - 2,24,2,2,fix,advancementZone,response_keyboard,217.93000004254282,negative,1,0,1,0,,,,,1,trial,,,ambiguous,block1,,,,,,,AF30SUS.JPG,,7570.jpg,,,,
10,1570645969315,09/10/2019 18:32:49,1570645969852,-4,09/10/2019 14:32:49,9792,18,task-xsf9,,3166650,A2UP4TCLF892NV,875954,,complete,aqdwds,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1920x1080,1530x888,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",22,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,,order3,,,Orders 1 and 3,,,,,,,Continue,,,order7,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,orders 7 and 9 - 2,24,2,2,fix,Zone3,timelimit_screen,1499.931999999997,,,0,1,0,,,1,,1,trial,,,ambiguous,block1,,,,,,,AF30SUS.JPG,,7570.jpg,,,,
