"","wordlist","neg.avg","RT","Length","Freq_HAL"
"6","ACCUSE",0.833333333333333,871.975436805556,"6","3798"
"116","CRAPPY",0.970588235294118,737.457209940674,"6","3155"
"127","CROOK",0.941176470588235,774.695833337768,"5","1171"
"142","DEADLY",0.980392156862745,744.035682819255,"6","5362"
"145","DECAY",0.990196078431373,742.21759928136,"5","3565"
"184","EVIL",1,686.640390894416,"4","43736"
"226","FUNERAL",0.941176470588235,779.032155796887,"7","3227"
"328","LAWSUIT",0.882352941176471,834.999163464448,"7","3855"
"367","MISFIRE",0.970588235294118,848.173776238041,"7","191"
"388","NEGATIVE",1,715.508690415967,"8","24446"
"423","PISS",0.99009900990099,787.190447834995,"4","6979"
"481","ROTTEN",1,731.784003883042,"6","2386"
"506","SLAVE",0.990196078431373,726.177843532062,"5","13149"
"522","SPINELESS",0.950980392156863,854.581714433744,"9","402"
"607","URINE",0.941176470588235,788.738037486461,"5","3418"
"608","USELESS",0.911764705882353,823.765779321556,"7","13510"
"610","VANDAL",0.96078431372549,777.723381549165,"6","191"
"629","WRECK",0.980392156862745,798.249949635613,"5","2161"
