"","wordlist","neg.avg","RT"
"17","AMUSE",0.0196078431372549,795.707548564026
"69","BRAVE",0.0392156862745098,780.431565310019
"99","COMEDIAN",0.0196078431372549,789.317310939722
"100","COMIC",0.0396039603960396,771.335940409424
"214","FOOD",0.00980392156862745,761.320640448794
"224","FRUITFUL",0.03,769.249600310099
"332","LEMONADE",0,774.813973428322
"345","LOVABLE",0.0196078431372549,694.483426088518
"376","MOTHER",0,740.294952357042
"382","MUSIC",0.0196078431372549,736.012988976046
"435","POSITIVE",0.0196078431372549,708.337800929246
"547","SUNSET",0.0099009900990099,790.975943289107
"580","TREASURED",0.00980392156862745,767.616365307196
