"","Word","Length","Freq_HAL","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy","X","V.Mean.Sum","V.SD.Sum","V.Rat.Sum","A.Mean.Sum","A.SD.Sum","A.Rat.Sum","D.Mean.Sum","D.SD.Sum","D.Rat.Sum","V.Mean.M","V.SD.M","V.Rat.M","V.Mean.F","V.SD.F","V.Rat.F","A.Mean.M","A.SD.M","A.Rat.M","A.Mean.F","A.SD.F","A.Rat.F","D.Mean.M","D.SD.M","D.Rat.M","D.Mean.F","D.SD.F","D.Rat.F","V.Mean.Y","V.SD.Y","V.Rat.Y","V.Mean.O","V.SD.O","V.Rat.O","A.Mean.Y","A.SD.Y","A.Rat.Y","A.Mean.O","A.SD.O","A.Rat.O","D.Mean.Y","D.SD.Y","D.Rat.Y","D.Mean.O","D.SD.O","D.Rat.O","V.Mean.L","V.SD.L","V.Rat.L","V.Mean.H","V.SD.H","V.Rat.H","A.Mean.L","A.SD.L","A.Rat.L","A.Mean.H","A.SD.H","A.Rat.H","D.Mean.L","D.SD.L","D.Rat.L","D.Mean.H","D.SD.H","D.Rat.H"
"7","abortion",8,16764,9.73,6,3,2,686.45,0.97,660.69,1,23,2.58,1.84,19,5.43,2.38,47,4.73,2.95,44,2.8,2.05,5,2.5,1.83,14,4.93,2.16,14,5.64,2.47,33,4.27,2.93,22,5.18,2.97,22,2.8,1.81,10,2.33,1.94,9,5.61,2.44,23,5.25,2.36,24,4.59,2.95,29,5,3.05,15,2.91,1.92,11,2.12,1.73,8,5.12,2.39,25,5.77,2.39,22,4.16,3.1,25,5.47,2.63,19
"21","accident",8,11152,9.32,7,3,2,621.78,0.97,610.48,1,61,2.55,1.25,42,4.93,2.56,43,3,2.11,48,2.55,1.22,22,2.55,1.32,20,4.2,2.51,15,5.32,2.54,28,4.22,2.71,18,2.27,1.2,30,2.52,1.29,21,2.57,1.25,21,4.94,2.58,18,4.92,2.6,25,3.33,2.35,33,2.27,1.22,15,2.36,1.29,25,2.82,1.19,17,5.08,2.7,24,4.74,2.42,19,2.85,2.31,26,3.18,1.89,22
"29","accuse",6,3798,8.24,5,2,1,626.36,1,635.12,0.96,82,2.68,1.63,19,5.32,2.08,22,4,2.32,24,2.83,1.72,6,2.62,1.66,13,5.42,2.31,12,5.2,1.87,10,3.88,2.42,8,4.06,2.35,16,3.4,1.65,10,1.89,1.27,9,5.67,2,9,5.08,2.18,13,4.18,2.3,17,3.5,2.74,6,2.5,1.93,8,2.82,1.47,11,4.33,2.4,9,6,1.58,13,4.12,2.25,16,3.75,2.6,8
"32","acne",4,536,6.28,4,2,1,627.94,0.94,656.52,1,92,2.18,1.47,17,4.47,2.5,19,3.44,1.96,25,1.8,0.84,5,2.33,1.67,12,4.7,2.58,10,4.22,2.54,9,3.81,2.01,16,2.78,1.79,9,2.71,1.7,7,1.8,1.23,10,3.5,2.14,8,5.18,2.6,11,3.45,2.09,20,3.4,1.52,5,2.22,1.39,9,2.12,1.64,8,3.9,2.42,10,5.11,2.57,9,3.53,1.78,19,3.17,2.64,6
"44","addicted",8,2311,7.75,7,3,2,661.73,1,626.31,0.96,127,2.89,2.11,19,4.77,2.33,22,2.84,1.89,19,3.33,1.58,9,2.5,2.51,10,4.33,2.23,12,5.3,2.45,10,3.5,1.22,6,2.54,2.11,13,3.67,2.69,9,2.2,1.14,10,4.89,2.62,9,4.69,2.21,13,3.5,2.17,10,2.11,1.27,9,3.17,2.52,12,2.43,1.13,7,4.11,2.09,9,5.23,2.45,13,2.25,1.83,8,3.27,1.9,11
"76","afraid",6,23303,10.06,5,2,1,599.59,1,653.76,1,221,2.25,1.16,20,5.12,2.57,42,2.71,1.9,24,1.67,1.15,3,2.35,1.17,17,4.75,2.93,16,5.28,2.37,25,2.75,1.58,8,2.69,2.09,16,2,1.29,7,2.38,1.12,13,4.29,2.74,21,5.9,2.17,20,2.94,2.14,17,1.83,0.75,6,2.67,1,9,1.91,1.22,11,4.39,2.76,23,6,2.05,19,3,2.19,16,2.12,0.99,8
"87","agony",5,2245,7.72,5,3,2,657.88,0.97,633.26,1,244,2.46,1.64,41,5.78,2.78,18,4,2.81,18,2.72,1.74,18,2.26,1.57,23,5.5,2.95,6,5.92,2.81,12,3.6,2.63,10,4.5,3.12,8,2.53,1.63,30,2.27,1.74,11,6,2.75,10,5.5,2.98,8,4.14,2.85,7,3.91,2.91,11,2.36,1.68,22,2.58,1.64,19,4.56,3.13,9,7,1.8,9,4.22,2.54,9,3.78,3.19,9
"160","annoy",5,3874,8.26,3,2,1,650.03,0.97,684.63,0.96,441,2.49,1.42,41,5.04,2.4,23,4.64,2.28,44,2.68,1.7,19,2.32,1.13,22,5.86,2.12,7,4.87,2.47,15,4.1,2.1,20,5.08,2.38,24,2.68,1.73,19,2.33,1.11,21,5,2.67,10,5.33,2.19,12,4.48,2.21,23,4.81,2.4,21,2.4,1.67,20,2.57,1.16,21,5.1,2.36,20,4.67,3.21,3,4.43,2.15,23,4.86,2.46,21
"161","annoyance",9,1402,7.25,6,2,2,757.1,0.97,697.11,0.96,442,2.95,1.23,20,4.1,2.59,20,3.45,1.87,22,2.86,0.9,7,3,1.41,13,3.78,2.49,9,4.36,2.77,11,2.17,1.83,6,3.94,1.69,16,2.9,1.37,10,2.89,1.17,9,3.88,2.8,8,4.25,2.56,12,3.93,1.83,15,2.43,1.62,7,2.91,1.3,11,3,1.22,9,4.33,2.74,12,3.75,2.49,8,3.55,1.81,11,3.36,2.01,11
"162","annoyed",7,3693,8.21,4,2,2,725.37,0.94,614.28,1,443,2.8,1.2,20,5.29,2.53,21,4.08,2.64,25,2,1,3,2.94,1.2,17,5.43,3.21,7,5.15,2.34,13,5,2.73,8,3.65,2.57,17,2.43,0.98,7,3,1.29,13,5.86,2.19,7,4.92,2.81,13,4.5,2.68,14,3.55,2.62,11,2.89,1.27,9,2.73,1.19,11,5.73,2.37,11,4.8,2.74,10,3.72,2.61,18,5,2.71,7
