"","wordlist","neg.avg","neg.sd","RT","RT.sd","avg.cor","avg.inc","Length","Freq_HAL","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy","X","V.Mean.Sum","V.SD.Sum","V.Rat.Sum","A.Mean.Sum","A.SD.Sum","A.Rat.Sum","D.Mean.Sum","D.SD.Sum","D.Rat.Sum","V.Mean.M","V.SD.M","V.Rat.M","V.Mean.F","V.SD.F","V.Rat.F","A.Mean.M","A.SD.M","A.Rat.M","A.Mean.F","A.SD.F","A.Rat.F","D.Mean.M","D.SD.M","D.Rat.M","D.Mean.F","D.SD.F","D.Rat.F","V.Mean.Y","V.SD.Y","V.Rat.Y","V.Mean.O","V.SD.O","V.Rat.O","A.Mean.Y","A.SD.Y","A.Rat.Y","A.Mean.O","A.SD.O","A.Rat.O","D.Mean.Y","D.SD.Y","D.Rat.Y","D.Mean.O","D.SD.O","D.Rat.O","V.Mean.L","V.SD.L","V.Rat.L","V.Mean.H","V.SD.H","V.Rat.H","A.Mean.L","A.SD.L","A.Rat.L","A.Mean.H","A.SD.H","A.Rat.H","D.Mean.L","D.SD.L","D.Rat.L","D.Mean.H","D.SD.H","D.Rat.H","Val"
"48","BEAT",0.561224489795918,0.498788770668088,927.456068051255,335.236412622186,0,1,"4","33104","10.41","3","1","1","590.16","1","550","1","1007","4.38","2.2","21","5.52","2.34","21","5.59","1.94","17","5.17","2.48","6","4.21","2.08","14","5.71","2.5","7","5.43","2.34","14","6.22","1.72","9","4.88","2.03","8","4.85","2.08","13","3.86","2.41","7","5.22","2.82","9","5.75","2.01","12","6","2.24","9","5.12","1.55","8","4.38","2.22","13","4.38","2.33","8","5.33","2.8","6","5.6","2.23","15","5.44","2.55","9","5.75","1.04","8","AMB"
"83","CATCH",0.40625,0.493710441453287,889.894687861231,316.649305290499,0,1,"5","22587","10.03","3","1","1","549.06","1","608.33","1","1843","5.64","1.76","22","4","2.14","21","5.47","2.35","17","5.5","2.43","6","5.73","1.58","15","4.43","2.82","7","3.79","1.81","14","4.89","2.8","9","6.12","1.64","8","5.36","1.98","14","6.29","1.25","7","3.33","1.8","9","4.5","2.32","12","5.11","2.98","9","5.88","1.46","8","5.43","1.79","14","6","1.77","8","4.17","2.23","6","3.93","2.19","15","5.11","2.98","9","5.88","1.46","8","AMB"
"88","CHECK",0.45,0.5,895.205598746339,370.668902698632,0,1,"5","170581","12.05","3","1","1","596.09","0.97","603.81","0.96","1988","6.55","1.87","22","3.38","2.18","21","4.67","1.85","18","5.67","2.5","6","7","1.51","15","3.71","2.69","7","3.21","1.97","14","3.89","1.54","9","5.62","1.92","8","6.71","2.13","14","6.43","1.4","7","3.22","2.64","9","3.5","1.88","12","4.7","2.45","10","4.62","0.74","8","6.5","1.56","14","6.62","2.45","8","3.5","2.95","6","3.33","1.91","15","4.7","2.45","10","4.62","0.74","8","AMB"
"95","CLOSE",0.452631578947368,0.500391783795491,895.454585634762,365.654208526376,0,1,"5","84927","11.35","4","1","1","542.71","1","590.43","1","2226","5.23","2.09","22","3.81","2.06","21","5.94","1.95","17","5.33","2.66","6","5.27","1.98","15","3.86","2.61","7","3.79","1.85","14","6","1.94","9","5.88","2.1","8","5.14","2.44","14","5.57","1.4","7","4.22","2.59","9","3.5","1.62","12","6.33","2.29","9","5.5","1.51","8","5.79","2.01","14","4.25","1.98","8","4","3.03","6","3.73","1.67","15","6.44","2.24","9","5.38","1.51","8","AMB"
"110","COURT",0.525773195876289,0.501929267617183,889.709169538261,299.681815438592,0,1,"5","57767","10.96","4","1","1","586.84","0.94","591.56","1","2814","3.52","2.09","21","4.43","2.71","21","3.94","2.48","18","4.33","2.73","6","3.14","1.83","14","4.14","3.02","7","4.57","2.65","14","4.33","2","9","3.12","2.85","8","3.38","2.06","13","3.71","2.43","7","4","2.65","9","4.75","2.83","12","4.8","2.78","10","2.88","1.64","8","3.08","1.44","13","4.25","2.82","8","4.83","3.19","6","4.27","2.6","15","3.8","3.05","10","4.12","1.73","8","AMB"
"111","COURTROOM",0.452631578947368,0.500391783795491,883.487265342425,295.077890708269,0.452631578947368,0.547368421052632,"9","985","6.89","7","2","2","721.36","0.97","666.21","1","2818","2.84","1.38","19","4.67","2.87","18","3.45","1.6","22","2.8","1.1","5","2.86","1.51","14","4.5","2.88","6","4.75","2.99","12","3.8","1.32","10","3.17","1.8","12","3.1","0.74","10","2.56","1.88","9","5.2","2.94","10","4","2.83","8","3","1.34","11","3.91","1.76","11","2.82","1.08","11","2.88","1.81","8","2.89","2.8","9","6.44","1.59","9","3.18","1.6","11","3.73","1.62","11","NEG"
"205","FIGHTER",0.46875,0.501642040544954,900.068964204706,294.335390556951,0,1,"7","13334","9.5","4","2","2","649.55","0.97","672.96","1","4610","5.1","2.3","21","5.3","2.16","23","6.42","2.27","26","5.27","2.33","11","4.9","2.38","10","5.64","1.8","11","5","2.49","12","6.45","1.75","11","6.21","2.64","14","6","2.67","10","4.27","1.62","11","5.18","2.14","11","5.42","2.27","12","6.06","2.46","17","6.88","1.73","8","5.23","2.55","13","4.88","1.96","8","5.6","2.35","15","4.75","1.75","8","6.88","2.42","17","5.56","1.74","9","AMB"
"261","HANG",0.557894736842105,0.499271585874228,884.947577716315,279.126557364617,0,1,"4","17803","9.79","3","1","1","602.58","0.97","644.22","1","5584","3.1","1.84","21","4.86","2.37","21","4.61","2.12","18","3","2.37","6","3.14","1.75","14","3.71","2.56","7","5.43","2.14","14","3.56","1.33","9","5.88","2.36","8","3.08","2.02","13","3.14","1.77","7","5","2.35","9","4.75","2.49","12","5","2.67","10","4.12","1.13","8","3.38","1.98","13","2.62","1.6","8","5.5","2.88","6","4.6","2.2","15","4.8","2.57","10","4.38","1.51","8","AMB"
"268","HEADSTONE",0.515463917525773,0.502356987564945,907.852991995928,314.425123688232,0.515463917525773,0.484536082474227,"9","284","5.65","7","2","2","731.85","0.97","565.56","1","5670","2.45","1.23","20","4.18","2.51","17","3.6","2.19","20","2.8","1.64","5","2.33","1.11","15","4.33","2.16","6","4.09","2.77","11","3.89","2.03","9","3.36","2.38","11","3","1.05","10","1.9","1.2","10","4.2","2.04","10","4.14","3.24","7","4","2.16","10","3.2","2.25","10","2.75","1.29","12","2","1.07","8","3.33","3.08","9","5.12","1.25","8","3.4","2.37","10","3.8","2.1","10","NEG"
"395","OPERATION",0.463157894736842,0.501286139797389,891.093938362163,294.283063513211,0.463157894736842,0.536842105263158,"9","28468","10.26","7","4","3","717","1","564.96","0.96","8435","2.94","1.8","18","5.71","2.92","21","3.78","1.86","18","3.12","1.89","8","2.8","1.81","10","4.86","3.53","7","6.14","2.6","14","3.82","2.23","11","3.71","1.25","7","3.18","1.83","11","2.57","1.81","7","6.33","3.77","9","5.25","2.14","12","3.82","2.04","11","3.71","1.7","7","2.67","1.67","12","3.5","2.07","6","5.75","3.57","12","5.67","1.94","9","4.33","2.29","9","3.22","1.2","9","NEG"
