"","wordlist","neg.avg","neg.sd","RT","RT.sd","avg.cor","avg.inc","Length","Freq_HAL","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy","X","V.Mean.Sum","V.SD.Sum","V.Rat.Sum","A.Mean.Sum","A.SD.Sum","A.Rat.Sum","D.Mean.Sum","D.SD.Sum","D.Rat.Sum","V.Mean.M","V.SD.M","V.Rat.M","V.Mean.F","V.SD.F","V.Rat.F","A.Mean.M","A.SD.M","A.Rat.M","A.Mean.F","A.SD.F","A.Rat.F","D.Mean.M","D.SD.M","D.Rat.M","D.Mean.F","D.SD.F","D.Rat.F","V.Mean.Y","V.SD.Y","V.Rat.Y","V.Mean.O","V.SD.O","V.Rat.O","A.Mean.Y","A.SD.Y","A.Rat.Y","A.Mean.O","A.SD.O","A.Rat.O","D.Mean.Y","D.SD.Y","D.Rat.Y","D.Mean.O","D.SD.O","D.Rat.O","V.Mean.L","V.SD.L","V.Rat.L","V.Mean.H","V.SD.H","V.Rat.H","A.Mean.L","A.SD.L","A.Rat.L","A.Mean.H","A.SD.H","A.Rat.H","D.Mean.L","D.SD.L","D.Rat.L","D.Mean.H","D.SD.H","D.Rat.H","Val"
"1","ABORTION",0.59,0.49431107042371,743.163844752015,239.043695850861,0.59,0.41,"8","16764","9.73","6","3","2","686.45","0.97","660.69","1","23","2.58","1.84","19","5.43","2.38","47","4.73","2.95","44","2.8","2.05","5","2.5","1.83","14","4.93","2.16","14","5.64","2.47","33","4.27","2.93","22","5.18","2.97","22","2.8","1.81","10","2.33","1.94","9","5.61","2.44","23","5.25","2.36","24","4.59","2.95","29","5","3.05","15","2.91","1.92","11","2.12","1.73","8","5.12","2.39","25","5.77","2.39","22","4.16","3.1","25","5.47","2.63","19","NEG"
"2","ABUNDANT",0.458333333333333,0.500876424861918,864.530734644431,277.218361341825,0.541666666666667,0.458333333333333,"8","1381","7.23","8","3","2","660.75","0.97","618.93","0.96","42","7.55","1.39","20","4.21","2.7","19","5.81","1.88","26","7.64","1.5","11","7.44","1.33","9","4","2.45","7","4.33","2.93","12","5.77","1.64","13","5.85","2.15","13","7","1.61","11","8.22","0.67","9","4.7","2.95","10","3.67","2.45","9","6","2","17","5.44","1.67","9","7.6","1.78","10","7.5","0.97","10","4.92","2.91","12","3","1.91","7","5.44","1.63","16","6.4","2.17","10","POS"
"3","ACCIDENT",0.62,0.487831731214563,796.59229357537,273.727239965131,0.62,0.38,"8","11152","9.32","7","3","2","621.78","0.97","610.48","1","61","2.55","1.25","42","4.93","2.56","43","3","2.11","48","2.55","1.22","22","2.55","1.32","20","4.2","2.51","15","5.32","2.54","28","4.22","2.71","18","2.27","1.2","30","2.52","1.29","21","2.57","1.25","21","4.94","2.58","18","4.92","2.6","25","3.33","2.35","33","2.27","1.22","15","2.36","1.29","25","2.82","1.19","17","5.08","2.7","24","4.74","2.42","19","2.85","2.31","26","3.18","1.89","22","NEG"
"4","ACCOMPLISH",0.39,0.490207130000197,746.418998164457,254.338196078213,0.61,0.39,"10","7794","8.96","8","3","1","773.12","0.97","616.81","1","68","7.45","1.15","20","5.16","2.81","19","7.27","1.52","22","7.43","1.27","7","7.46","1.13","13","4.89","2.62","9","5.4","3.1","10","7.33","1.86","6","7.25","1.44","16","7.5","1.43","10","7.44","0.88","9","4","3.42","8","6","2.05","11","6.8","1.57","15","8.29","0.76","7","7.27","1.1","11","7.67","1.22","9","4.75","2.96","12","5.86","2.61","7","6.73","1.9","11","7.82","0.75","11","POS"
"5","ACCURATE",0.42156862745098,0.49624879000384,694.235138815193,186.021992197379,0.57843137254902,0.42156862745098,"8","21492","9.98","7","3","2","728.24","1","669.56","1","79","7.42","1.57","19","4.35","2.25","23","6.47","1.93","19","6.89","1.27","9","7.9","1.73","10","4.86","2.34","7","4.13","2.33","15","6.6","2.17","10","6.33","1.73","9","8.22","1.09","9","6.7","1.64","10","5.1","2.51","10","3.75","2.01","12","6","2","8","6.7","1.95","10","7.33","1.78","12","7.57","1.27","7","4.7","2.18","20","2","1","3","6.38","1.92","8","6.55","2.02","11","POS"
"6","ACCUSE",0.83,0.377525168068637,849.904095541697,238.200907278482,0,1,"6","3798","8.24","5","2","1","626.36","1","635.12","0.96","82","2.68","1.63","19","5.32","2.08","22","4","2.32","24","2.83","1.72","6","2.62","1.66","13","5.42","2.31","12","5.2","1.87","10","3.88","2.42","8","4.06","2.35","16","3.4","1.65","10","1.89","1.27","9","5.67","2","9","5.08","2.18","13","4.18","2.3","17","3.5","2.74","6","2.5","1.93","8","2.82","1.47","11","4.33","2.4","9","6","1.58","13","4.12","2.25","16","3.75","2.6","8","NEG"
"7","ACHIEVE",0.387755102040816,0.489743317183888,696.118569989514,155.63315436093,0.612244897959184,0.387755102040816,"7","15544","9.65","4","2","1","702.82","0.97","651.17","1","86","7.75","1.16","20","4.7","2.96","23","6.61","2.44","28","7.25","0.89","8","8.08","1.24","12","3.67","2.4","9","5.36","3.18","14","7.07","1.98","14","6.14","2.82","14","8","1.22","9","7.55","1.13","11","5","2.76","12","4.36","3.26","11","6.07","2.89","14","7.14","1.83","14","7.6","1.26","10","7.9","1.1","10","4.82","2.82","11","4.58","3.2","12","6.92","2.07","12","6.38","2.73","16","POS"
"8","ACNE",0.554455445544555,0.499504705178089,754.678169394481,228.646914816635,0.554455445544555,0.445544554455446,"4","536","6.28","4","2","1","627.94","0.94","656.52","1","92","2.18","1.47","17","4.47","2.5","19","3.44","1.96","25","1.8","0.84","5","2.33","1.67","12","4.7","2.58","10","4.22","2.54","9","3.81","2.01","16","2.78","1.79","9","2.71","1.7","7","1.8","1.23","10","3.5","2.14","8","5.18","2.6","11","3.45","2.09","20","3.4","1.52","5","2.22","1.39","9","2.12","1.64","8","3.9","2.42","10","5.11","2.57","9","3.53","1.78","19","3.17","2.64","6","NEG"
"9","ADDICTED",0.504950495049505,0.502469150818986,763.443015143618,211.018840354356,0.504950495049505,0.495049504950495,"8","2311","7.75","7","3","2","661.73","1","626.31","0.96","127","2.89","2.11","19","4.77","2.33","22","2.84","1.89","19","3.33","1.58","9","2.5","2.51","10","4.33","2.23","12","5.3","2.45","10","3.5","1.22","6","2.54","2.11","13","3.67","2.69","9","2.2","1.14","10","4.89","2.62","9","4.69","2.21","13","3.5","2.17","10","2.11","1.27","9","3.17","2.52","12","2.43","1.13","7","4.11","2.09","9","5.23","2.45","13","2.25","1.83","8","3.27","1.9","11","NEG"
"10","ADMIRE",0.415841584158416,0.495324675998951,706.993219474933,357.9617330622,0.584158415841584,0.415841584158416,"6","3160","8.06","5","2","1","621.03","1","602.27","1","153","7.35","1.27","20","5","2.27","22","7.33","1.65","21","7.33","0.71","9","7.36","1.63","11","5.2","2.44","10","4.83","2.21","12","6.38","1.51","8","7.92","1.5","13","7.21","1.31","14","7.67","1.21","6","5.62","2.2","8","4.64","2.31","14","6.62","1.41","8","7.77","1.69","13","7.1","1.45","10","7.6","1.07","10","5.17","1.95","12","4.8","2.7","10","7.42","1.62","12","7.22","1.79","9","POS"
