"","wordlist","neg.avg","neg.sd","RT","RT.sd","avg.cor","avg.inc","Length","Freq_HAL","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy","X","V.Mean.Sum","V.SD.Sum","V.Rat.Sum","A.Mean.Sum","A.SD.Sum","A.Rat.Sum","D.Mean.Sum","D.SD.Sum","D.Rat.Sum","V.Mean.M","V.SD.M","V.Rat.M","V.Mean.F","V.SD.F","V.Rat.F","A.Mean.M","A.SD.M","A.Rat.M","A.Mean.F","A.SD.F","A.Rat.F","D.Mean.M","D.SD.M","D.Rat.M","D.Mean.F","D.SD.F","D.Rat.F","V.Mean.Y","V.SD.Y","V.Rat.Y","V.Mean.O","V.SD.O","V.Rat.O","A.Mean.Y","A.SD.Y","A.Rat.Y","A.Mean.O","A.SD.O","A.Rat.O","D.Mean.Y","D.SD.Y","D.Rat.Y","D.Mean.O","D.SD.O","D.Rat.O","V.Mean.L","V.SD.L","V.Rat.L","V.Mean.H","V.SD.H","V.Rat.H","A.Mean.L","A.SD.L","A.Rat.L","A.Mean.H","A.SD.H","A.Rat.H","D.Mean.L","D.SD.L","D.Rat.L","D.Mean.H","D.SD.H","D.Rat.H","Val"
"17","AMUSE",0.0196078431372549,0.139333076031824,795.707548564026,270.588137475673,0,1,"5","644","6.47","5","2","1","749.36","0.97","653.33","0.96","385","7.1","1.37","20","5.17","1.99","23","6.8","1.64","20","6.89","1.45","9","7.27","1.35","11","5.45","1.92","11","4.92","2.11","12","6.43","1.51","7","7","1.73","13","7","1.24","14","7.33","1.75","6","4.89","2.26","9","5.36","1.86","14","7.14","1.21","7","6.62","1.85","13","6.9","1.45","10","7.3","1.34","10","5.08","1.66","13","5.3","2.45","10","7.18","1.17","11","6.33","2.06","9","POS"
"69","BRAVE",0.0392156862745098,0.195066306444553,780.431565310019,253.853386506384,0,1,"5","5524","8.62","4","1","1","573.09","0.97","560.7","1","1444","7.38","1.46","42","4.95","2.28","43","6.84","2.03","55","7.76","1.2","17","7.12","1.59","25","4.7","2.26","10","5.06","2.34","32","6.78","2.05","18","6.86","2.04","37","7.38","1.5","29","7.38","1.45","13","4.53","2.33","15","5.18","2.26","28","6.52","2.26","29","7.19","1.7","26","7.43","1.44","23","7.32","1.53","19","5.05","2.3","19","4.88","2.31","24","7.06","2.18","33","6.5","1.77","22","POS"
"99","COMEDIAN",0.0196078431372549,0.139333076031824,789.317310939722,337.222585930405,0,1,"8","1124","7.02","8","3","2","662.53","0.97","701.42","1","2357","7.6","1.19","20","5.78","2.04","23","6.48","1.91","21","7.33","0.87","9","7.82","1.4","11","6.09","1.7","11","5.5","2.35","12","6","1.85","8","6.77","1.96","13","7.57","1.22","14","7.67","1.21","6","6.11","2.03","9","5.57","2.1","14","6.5","1.51","8","6.46","2.18","13","7.8","1.03","10","7.4","1.35","10","5.54","2.07","13","6.1","2.08","10","6.75","1.66","12","6.11","2.26","9","POS"
"100","COMIC",0.0396039603960396,0.195999595877539,771.335940409424,261.110975416046,0,1,"5","17078","9.75","5","2","1","594.03","1","593.52","1","2365","7.5","1.47","18","4.3","2.45","20","5.6","1.71","25","7.2","1.48","5","7.62","1.5","13","4.45","2.66","11","4.11","2.32","9","5.19","1.76","16","6.33","1.41","9","7.86","1.68","7","7.27","1.35","11","4.33","2.5","9","4.27","2.53","11","5.65","1.79","20","5.4","1.52","5","7.78","1.48","9","7.22","1.48","9","4.09","2.47","11","4.56","2.55","9","5.37","1.77","19","6.33","1.37","6","POS"
"116","CRAPPY",0.970588235294118,0.16979208910779,737.457209940674,235.619395494026,0,1,"6","3155","8.06","5","2","2","713.35","1","606.14","1","2864","2.35","1.57","20","5.26","2.47","19","3.92","2.13","26","1.64","0.67","11","3.22","1.92","9","5.71","2.56","7","5","2.49","12","4.15","2.19","13","3.69","2.14","13","2.55","1.29","11","2.11","1.9","9","5.6","2.41","10","4.89","2.62","9","4.24","2.28","17","3.33","1.8","9","3","1.94","10","1.7","0.67","10","5.08","2.43","12","5.57","2.7","7","4","1.67","16","3.8","2.82","10","NEG"
"127","CROOK",0.941176470588235,0.23645607097364,774.695833337768,207.234259901679,0,1,"5","1171","7.07","4","1","1","686.19","0.94","601.88","1","2931","2.86","1.46","22","4.62","2.9","26","3.82","2.5","22","2.56","1.74","9","3.08","1.26","13","4.1","2.38","10","4.94","3.21","16","2.89","2.26","9","4.46","2.54","13","2.75","1.83","8","2.93","1.27","14","5.23","2.92","13","4","2.86","13","3.27","2.33","11","4.36","2.66","11","2.75","1.54","12","3","1.41","10","4.2","2.83","15","5.18","3.03","11","3.85","2.58","13","3.78","2.54","9","NEG"
"142","DEADLY",0.980392156862745,0.139333076031824,744.035682819255,262.985888567163,0,1,"6","5362","8.59","5","2","2","592.68","1","597.45","1","3114","1.9","1.17","20","5.04","2.75","23","3.73","2.33","22","2","1.26","11","1.78","1.09","9","4.45","3.11","11","5.58","2.39","12","4.62","2.56","8","2.92","1.89","13","2.11","1.54","9","1.73","0.79","11","4.55","3.17","11","5.5","2.35","12","4.14","2.35","14","2.43","1.72","7","1.83","1.03","12","2","1.41","8","5.33","2.92","15","4.5","2.51","8","3.64","2.24","14","3.88","2.64","8","NEG"
"145","DECAY",0.990196078431373,0.0990147542976674,742.21759928136,243.119078359088,0,1,"5","3565","8.18","4","2","1","685.15","1","702.48","1","3139","2.4","1.57","20","4.59","2.59","22","2.84","2.01","19","2.22","1.99","9","2.55","1.21","11","3.8","3.11","5","4.94","2.52","16","1.33","0.52","6","3.54","2.07","13","2.36","1.55","14","2.5","1.76","6","4.33","2.71","12","5.11","2.62","9","2.67","1.41","9","3","2.49","10","3","2","10","1.8","0.63","10","4.17","3.07","12","5.1","1.91","10","2.17","1.6","6","3.15","2.15","13","NEG"
"184","EVIL",1,0,686.640390894416,166.659934526967,0,1,"4","43736","10.69","3","2","1","579.73","0.97","639.08","1","4265","2.34","1.61","41","5.67","2.93","18","3.6","2.62","48","3","1.62","14","2","1.52","27","4.67","3.14","6","6.17","2.82","12","3.82","2.7","17","3.48","2.61","31","2.11","1.6","18","2.52","1.62","23","5.4","3.34","10","6","2.51","8","3.54","2.77","26","3.68","2.48","22","2.35","1.81","20","2.33","1.43","21","4.33","3.5","9","7","1.41","9","3.6","2.74","30","3.61","2.48","18","NEG"
"203","FEMININE",0.0588235294117647,0.23645607097364,804.278132469993,259.597692381503,0,1,"8","2642","7.88","7","3","2","733.73","0.97","681.61","1","4554","7.33","1.52","24","4.32","2.78","22","5.09","2.37","22","6.64","1.86","11","7.92","0.86","13","5.33","3.5","6","3.87","2.56","15","3","2.45","6","5.88","1.86","16","7.1","1.85","10","7.5","1.29","14","5.4","3.21","5","4","2.67","17","5.27","2.1","11","4.91","2.7","11","7.86","1.17","14","6.6","1.71","10","4.22","2.59","9","4.38","3.01","13","5.5","2.71","12","4.6","1.9","10","POS"
